Datum/Zeit,O3 [ug/m3],NO2 [ug/m3],SO2 [ug/m3],PM10 [ug/m3],PM2.5 [ug/m3],EC [ug/m3],CPC [1/cm3],NOX [ug/m3 eq. NO2],TEMP [C],PREC [mm],RAD [W/m2]
01.01.2000,12.6,38.6,11.7,,,,,60.3,2.8,0.3,19.8
02.01.2000,43.3,28.5,6.9,,,,,38.8,3.6,0.0,24.6
03.01.2000,56.9,23.6,4.4,,,,,26.3,2.3,0.0,49.8
04.01.2000,33.8,45.4,10.2,,,,,75.8,3.8,1.0,63.0
05.01.2000,12.8,51.5,12.1,,,,,133.5,5.9,3.2,50.8
06.01.2000,17.5,40.9,8.2,,,,,66.3,4.3,0.0,56.0
07.01.2000,3.5,42.1,17.7,,,,,115.3,4.5,0.0,19.8
08.01.2000,21.3,42.0,14.1,,,,,88.5,5.6,0.0,53.9
09.01.2000,15.7,42.7,12.8,,,,,68.2,4.6,6.0,11.4
10.01.2000,40.2,34.3,3.1,,,,,42.2,2.4,1.4,6.5
11.01.2000,18.1,41.3,5.9,,,,,82.3,3.2,0.0,6.2
12.01.2000,24.4,36.5,7.3,,,,,55.8,2.4,0.0,9.8
13.01.2000,22.4,43.2,10.6,,,,,70.0,1.8,0.0,66.2
14.01.2000,24.0,50.0,9.4,,,,,92.5,0.7,0.0,69.0
15.01.2000,17.4,46.3,7.3,,,,,73.5,-1.3,0.0,51.4
16.01.2000,18.9,42.0,7.5,,,,,54.1,-0.4,0.0,22.9
17.01.2000,34.9,39.1,13.6,,,,,103.1,0.7,0.0,31.0
18.01.2000,46.1,20.6,4.1,,,,,21.3,4.5,0.3,18.6
19.01.2000,55.4,45.2,6.9,,,,,57.0,2.6,0.0,37.7
20.01.2000,51.8,37.2,10.9,,,,,75.0,0.3,0.0,52.8
21.01.2000,59.5,15.3,4.5,,,,,15.9,2.4,0.0,17.9
22.01.2000,67.0,13.7,3.2,,,,,13.7,3.1,0.8,9.5
23.01.2000,58.8,15.5,3.1,,,,,15.9,2.1,3.4,33.1
24.01.2000,51.4,31.8,9.8,,,,,40.0,-3.8,1.4,29.0
25.01.2000,54.8,43.6,16.1,,,,,55.8,-6.4,0.0,86.7
