Datum/Zeit,O3 [ug/m3],NO2 [ug/m3],SO2 [ug/m3],CO [mg/m3],PM10 [ug/m3],PM2.5 [ug/m3],EC [ug/m3],NMVOC [ppm],NOX [ug/m3 eq. NO2],TEMP [C],PREC [mm],RAD [W/m2]
01.01.2000,42.3,34.2,7.0,0.53,,,,0.1,41.6,1.5,1.1,23.4
02.01.2000,37.2,33.8,6.2,0.53,,,,0.1,53.7,2.3,0.0,18.2
03.01.2000,48.2,31.8,3.6,0.47,,,,0.1,37.2,1.1,0.0,42.6
04.01.2000,32.1,50.2,6.8,0.78,,,,0.2,83.0,0.5,1.0,66.9
05.01.2000,31.8,44.5,5.2,0.93,,,,0.2,96.0,3.8,2.5,25.2
06.01.2000,16.5,41.7,3.0,0.61,,,,0.1,56.6,2.1,0.0,27.6
07.01.2000,21.3,50.2,6.1,0.99,,,,0.2,102.7,1.9,0.0,57.2
08.01.2000,46.6,48.7,7.7,0.77,,,,0.1,72.1,2.7,0.0,66.4
09.01.2000,35.9,46.7,9.7,0.68,,,,0.1,69.1,2.5,1.7,16.7
10.01.2000,10.6,47.1,4.9,0.58,,,,0.1,81.0,2.8,0.8,12.7
11.01.2000,19.0,38.6,3.7,0.51,,,,0.1,70.8,2.4,0.0,12.8
12.01.2000,19.4,37.8,3.5,0.48,,,,0.1,53.9,1.1,0.0,11.2
13.01.2000,38.7,40.6,5.6,0.79,,,,0.2,87.1,0.1,0.0,48.8
14.01.2000,20.7,48.3,4.5,0.81,,,,0.2,112.3,-2.5,0.0,55.5
15.01.2000,23.9,48.6,4.7,0.86,,,,0.2,103.7,-2.3,0.0,28.6
16.01.2000,32.6,27.4,5.0,0.46,,,,0.1,33.9,-1.5,0.0,17.3
17.01.2000,22.9,47.1,9.6,0.85,,,,0.2,96.8,-0.6,0.0,27.2
18.01.2000,29.6,41.3,7.5,0.47,,,,0.1,56.7,3.9,0.3,17.4
19.01.2000,59.4,44.4,6.8,0.66,,,,0.2,100.5,0.9,0.0,31.1
20.01.2000,40.0,50.6,8.8,0.86,,,,0.2,139.6,-1.4,0.0,68.2
21.01.2000,42.8,36.5,5.4,0.43,,,,0.1,40.5,1.4,0.0,7.3
22.01.2000,47.3,30.0,4.3,0.4,,,,0.1,31.9,1.6,1.9,11.9
23.01.2000,54.3,29.9,3.8,0.37,,,,0.0,31.8,1.0,2.0,28.6
24.01.2000,56.7,30.4,7.3,0.42,,,,0.1,45.8,-5.4,0.0,79.3
25.01.2000,51.8,50.2,10.3,0.6,,,,0.1,71.1,-8.0,0.0,84.3
26.01.2000,31.3,70.2,12.6,1.06,,,,0.2,156.9,-8.2,0.0,65.2
27.01.2000,33.6,77.1,9.4,1.24,,,,0.3,152.1,-7.7,0.0,67.2
28.01.2000,12.6,102.1,18.1,1.82,,,,0.4,293.8,-3.9,0.0,62.7
29.01.2000,80.0,31.1,6.4,0.36,,,,0.1,35.2,4.6,3.6,17.1
30.01.2000,73.2,14.7,3.1,0.21,,,,0.0,14.8,8.3,4.1,13.8
31.01.2000,74.7,32.4,4.3,0.63,,,,0.1,82.1,7.5,0.0,88.2
01.02.2000,39.3,53.1,9.4,1.58,,,,0.4,248.9,4.0,0.0,94.4
02.02.2000,3.1,59.0,11.4,1.65,,,,0.4,277.3,3.7,12.0,14.0
03.02.2000,40.6,48.4,5.8,0.74,,,,0.2,101.5,4.3,0.0,47.8
04.02.2000,30.3,53.3,8.4,1.22,,,,0.3,175.2,1.7,0.0,102.2
05.02.2000,64.1,54.4,10.9,1.31,,,,0.3,166.9,5.3,0.0,85.8
06.02.2000,34.1,49.4,10.2,1.39,,,,0.3,169.3,4.0,0.0,77.0
07.02.2000,79.5,34.0,7.0,0.71,,,,0.1,89.2,6.1,0.5,24.4
08.02.2000,85.0,22.0,2.8,0.28,,,,0.0,24.9,8.9,17.8,22.2
09.02.2000,83.4,21.4,1.8,0.3,,,,0.0,25.1,5.2,5.5,68.5
10.02.2000,73.1,39.7,5.8,0.68,,,,0.1,72.1,4.7,0.0,119.0
11.02.2000,71.3,37.5,3.3,0.4,,,,0.0,42.4,3.7,13.4,16.7
12.02.2000,49.6,31.8,4.9,0.44,,,,0.1,39.0,2.2,0.0,26.5
13.02.2000,65.7,18.2,2.9,0.32,,,,0.0,18.7,4.2,10.4,20.7
14.02.2000,60.8,44.0,5.3,0.7,,,,0.1,86.9,5.6,0.0,43.5
15.02.2000,73.1,30.5,3.3,0.41,,,,0.1,39.0,6.7,8.2,31.5
16.02.2000,83.0,20.8,1.6,0.29,,,,0.0,22.6,4.4,7.6,32.8
17.02.2000,78.3,32.4,3.1,0.44,,,,0.1,57.0,0.4,2.6,45.1
18.02.2000,60.2,32.6,4.2,0.45,,,,0.1,42.2,2.0,5.6,29.0
19.02.2000,80.7,13.8,1.8,0.26,,,,0.0,14.3,5.1,6.0,46.9
20.02.2000,57.9,21.0,2.5,0.34,,,,0.0,21.5,1.5,2.3,38.4
21.02.2000,73.8,38.7,5.3,0.56,,,,0.1,57.0,-0.6,0.0,124.9
22.02.2000,81.3,41.1,6.6,0.54,,,,0.1,54.5,0.6,0.0,144.4
23.02.2000,67.4,61.6,9.1,0.78,,,,0.2,104.9,1.2,0.0,114.0
24.02.2000,63.0,52.3,5.4,0.67,,,,0.1,68.2,2.0,1.9,48.5
25.02.2000,58.8,31.8,3.6,,,,,0.0,35.4,7.4,5.1,55.8
26.02.2000,40.7,38.1,3.6,,,,,0.1,65.9,5.9,0.9,50.4
27.02.2000,72.2,40.5,5.1,,,,,0.1,81.9,6.2,0.0,130.6
28.02.2000,98.9,39.9,6.7,,,,,0.1,107.7,8.9,0.0,152.3
29.02.2000,90.2,36.5,2.9,,,,,0.1,41.3,7.7,18.8,16.9
01.03.2000,86.2,26.3,2.2,,,,,0.0,32.8,5.4,12.8,27.1
02.03.2000,,,3.9,,,,,0.1,,3.2,0.0,103.6
03.03.2000,92.1,,3.3,,,,,0.1,,6.5,0.0,132.7
04.03.2000,89.3,,2.2,,,,,0.0,,4.7,7.2,115.2
05.03.2000,,,,,,,,,,,,
06.03.2000,,,,,,,,,,,,
07.03.2000,106.0,52.0,9.7,,,,,0.2,119.4,5.4,0.0,160.0
08.03.2000,74.7,42.8,7.4,,,,,0.2,108.4,6.8,2.1,54.5
09.03.2000,83.6,17.4,2.8,,,,,0.0,20.2,13.6,0.1,119.1
10.03.2000,67.2,30.8,2.8,,,,,0.1,39.1,10.4,0.0,66.7
11.03.2000,80.0,22.5,3.1,,,,,0.1,36.2,9.7,0.0,144.3
12.03.2000,95.7,18.0,2.4,,,,,0.0,19.6,9.1,0.0,172.2
13.03.2000,70.7,52.1,6.4,,,,,0.2,99.6,7.5,0.0,173.4
14.03.2000,72.0,39.6,4.9,,,,,0.2,64.4,9.0,5.4,69.0
15.03.2000,,28.0,2.6,,,,,0.1,39.4,5.0,3.0,119.0
16.03.2000,60.5,39.0,4.5,,,,,0.1,56.2,3.0,3.4,14.5
17.03.2000,63.0,32.7,3.6,,,,,0.1,42.8,5.7,2.0,31.4
18.03.2000,46.3,28.5,2.9,,,,,0.1,32.8,5.9,10.3,33.9
19.03.2000,66.1,16.7,2.0,,,,,0.0,18.2,5.6,1.4,64.0
20.03.2000,93.4,19.5,2.5,,,,,0.0,21.7,5.0,0.0,190.4
21.03.2000,96.7,40.0,5.0,,,,,0.1,68.2,6.6,0.0,202.0
22.03.2000,105.3,49.9,6.9,,,,,0.2,114.7,8.0,0.0,201.9
23.03.2000,50.6,76.6,9.3,,,,,0.3,178.6,9.6,0.0,126.8
24.03.2000,77.6,53.8,5.6,,,,,0.2,86.8,9.3,2.6,57.0
25.03.2000,108.9,32.2,4.1,,,,,0.1,60.2,10.2,0.6,169.1
26.03.2000,86.7,12.9,1.5,,,,,0.0,13.4,6.1,9.0,51.6
27.03.2000,74.4,23.9,1.9,,,,,0.1,26.8,4.4,4.0,86.7
28.03.2000,86.7,21.5,2.0,,,,,0.1,27.3,4.6,4.2,114.7
29.03.2000,54.0,31.1,1.9,,,,,0.1,39.9,4.8,,16.1
30.03.2000,,19.3,1.8,,,,,0.1,21.0,4.9,1.1,69.3
31.03.2000,121.0,37.6,4.4,,,,,0.1,44.1,7.8,0.0,197.7
01.04.2000,100.0,27.7,3.0,,,,,0.1,36.7,6.0,4.5,103.5
02.04.2000,113.1,33.2,4.1,,,,,0.1,63.6,7.0,0.0,215.2
03.04.2000,117.4,51.7,6.3,,,,,0.2,102.0,12.0,0.0,162.3
04.04.2000,114.4,31.9,5.0,,,,,0.1,71.5,11.9,0.0,211.0
05.04.2000,89.7,26.1,2.0,,,,,0.0,30.0,8.5,7.2,48.3
06.04.2000,82.9,20.8,1.2,,,,,0.0,23.3,4.1,5.6,40.7
07.04.2000,97.9,26.6,3.6,,,,,0.1,37.2,5.6,0.0,254.4
08.04.2000,112.5,33.1,4.5,,,,,0.1,55.7,7.8,0.0,257.8
09.04.2000,127.4,32.8,4.8,,,,,0.1,48.6,9.1,0.0,203.0
10.04.2000,117.4,26.7,3.3,,,,,0.0,30.9,11.0,0.0,210.5
11.04.2000,87.0,32.1,3.2,,,,,0.1,43.0,8.7,6.5,62.1
12.04.2000,97.6,15.3,1.5,,,,,0.0,17.1,7.5,,154.8
13.04.2000,79.7,24.8,2.3,,,,,0.1,28.8,7.7,1.2,77.9
14.04.2000,118.2,34.5,4.2,,,,,0.1,59.8,11.2,0.0,247.7
15.04.2000,101.1,25.8,3.3,,,,,0.1,45.6,8.5,0.0,62.3
16.04.2000,113.2,25.9,3.6,,,,,0.1,33.6,9.8,0.0,183.3
17.04.2000,98.2,25.7,2.5,,,,,0.1,28.7,9.0,0.0,57.6
18.04.2000,89.3,19.3,1.6,,,,,0.0,21.7,8.3,2.0,95.0
19.04.2000,97.1,35.5,3.2,,,,,0.1,72.3,10.0,0.0,176.5
20.04.2000,121.5,32.9,4.0,,,,,0.1,74.2,11.6,0.0,266.5
21.04.2000,138.3,28.1,3.9,,,,,0.1,47.2,15.4,0.0,263.1
22.04.2000,145.5,24.9,3.1,,,,,0.1,34.6,16.8,0.0,265.4
23.04.2000,111.1,18.9,2.7,,,,,0.1,20.0,15.4,3.9,147.7
24.04.2000,92.3,8.6,1.5,,,,,0.0,9.2,9.2,14.6,81.6
25.04.2000,101.9,27.9,2.1,,,,,0.1,45.7,11.3,0.0,247.2
26.04.2000,140.3,38.1,3.4,,,,,0.2,62.6,15.4,0.0,261.4
27.04.2000,83.6,50.3,4.7,,,,,0.2,103.2,15.3,0.0,148.6
28.04.2000,99.9,37.6,3.2,,,,,0.1,69.2,15.4,0.0,144.2
29.04.2000,73.6,15.3,1.2,,,,,0.0,17.0,12.8,0.0,116.1
30.04.2000,106.2,23.5,2.0,,,,,0.1,28.0,15.6,0.0,256.6
01.05.2000,115.2,21.1,1.5,,,,,0.0,25.2,16.9,0.0,208.2
02.05.2000,121.7,24.1,1.1,,,,,0.0,27.9,17.0,0.0,205.8
03.05.2000,124.0,26.9,1.8,,,,,0.1,36.9,17.1,0.0,227.0
04.05.2000,127.2,21.2,1.3,,,,,0.1,23.8,17.2,0.0,230.1
05.05.2000,133.4,22.6,1.4,,,,,0.1,25.7,16.6,10.2,247.0
06.05.2000,120.2,26.6,1.3,,,,,0.1,35.3,16.1,0.0,214.9
07.05.2000,130.1,26.7,1.9,,,,,0.1,41.1,17.9,0.0,279.3
08.05.2000,120.7,34.9,1.8,,,,,0.1,48.8,15.6,6.3,199.9
09.05.2000,116.0,31.5,1.3,,,,,0.1,49.4,17.5,0.1,293.2
10.05.2000,,,,,,,,0.2,,19.9,,277.4
11.05.2000,141.8,34.6,2.7,,,,,0.3,58.7,20.7,0.0,269.4
12.05.2000,93.0,18.1,0.9,,,,,0.0,18.7,15.8,10.4,95.7
13.05.2000,102.8,17.2,0.7,,,,,0.1,20.1,16.4,0.0,154.6
14.05.2000,116.2,22.2,1.2,,,,,0.1,30.0,17.4,0.0,263.7
15.05.2000,136.8,41.2,2.5,,,,,0.2,62.0,18.7,0.0,311.0
16.05.2000,139.4,28.2,1.9,,,,,0.2,51.0,20.7,0.0,307.1
17.05.2000,123.2,26.9,1.6,,,,,0.1,34.8,18.0,8.5,211.0
18.05.2000,56.6,27.6,0.6,,,,,0.1,31.2,12.2,4.4,40.0
19.05.2000,88.7,15.3,0.7,,,,,0.1,17.9,11.5,1.5,195.0
20.05.2000,101.1,15.5,1.0,,,,,0.1,16.6,12.1,0.5,229.8
21.05.2000,103.6,19.4,1.5,,,,,0.1,24.9,12.5,7.2,253.7
22.05.2000,86.6,15.7,1.0,,,,,0.0,21.3,12.2,3.5,284.8
23.05.2000,118.6,26.0,1.8,,,,,0.1,40.9,14.4,0.0,325.0
24.05.2000,126.2,34.7,2.1,,,,,0.1,47.7,16.8,0.0,310.4
25.05.2000,74.3,39.3,2.6,,,,,0.1,52.7,16.6,0.0,112.2
26.05.2000,117.6,17.8,1.1,,,,,0.0,21.4,18.5,0.0,264.1
27.05.2000,87.8,14.1,0.7,,,,,0.0,15.4,12.6,4.6,104.0
28.05.2000,76.8,17.1,1.1,,,,,0.0,21.9,11.8,5.4,97.6
29.05.2000,74.9,23.7,1.2,,,,,0.0,26.9,12.0,1.6,121.9
30.05.2000,66.5,27.1,1.6,,,,,0.1,39.0,11.3,19.2,82.7
31.05.2000,69.2,16.8,0.9,,,,,0.0,20.7,14.3,10.6,136.4
01.06.2000,111.7,17.8,1.4,,,,,0.1,23.9,16.0,0.0,334.3
02.06.2000,123.5,30.9,2.1,,,,,0.1,45.3,19.9,0.0,332.1
03.06.2000,149.2,27.4,1.9,,,,,0.1,36.3,21.4,0.0,278.3
04.06.2000,127.5,16.2,1.3,,,,,0.1,16.9,22.4,0.1,295.8
05.06.2000,125.1,26.6,1.4,,,,,0.1,32.2,20.8,20.3,218.6
06.06.2000,72.9,26.3,0.5,,,,,0.1,30.0,12.8,6.2,39.7
07.06.2000,105.2,18.4,0.8,,,,,0.0,20.9,15.7,0.0,304.9
08.06.2000,126.2,32.7,1.4,,,,,0.1,40.5,17.7,0.0,337.2
09.06.2000,138.1,36.9,1.5,,,,,0.1,47.5,21.9,0.0,331.4
10.06.2000,129.1,23.3,1.7,,,,,0.1,34.7,22.2,0.0,287.7
11.06.2000,103.4,20.0,1.3,,,,,0.0,21.2,19.9,0.0,182.9
12.06.2000,104.2,11.6,1.0,,,,,,12.2,18.8,0.1,200.5
13.06.2000,138.9,18.1,1.1,,,,,,20.6,21.3,17.3,289.6
14.06.2000,107.5,34.2,1.0,,,,,0.1,41.6,19.5,0.1,236.2
15.06.2000,82.5,19.0,0.7,,,,,0.0,24.0,20.5,0.8,296.5
16.06.2000,113.2,16.9,1.2,,,,,0.0,18.5,18.3,0.0,223.3
17.06.2000,129.6,17.7,1.8,,,,,0.0,18.6,17.2,0.0,352.1
18.06.2000,134.5,22.8,1.6,,,,,0.1,25.1,19.2,0.0,355.5
19.06.2000,148.8,43.1,2.3,,,,,0.1,58.0,21.6,0.0,343.5
20.06.2000,166.2,48.3,2.3,,,,,0.1,72.1,24.0,0.0,334.0
21.06.2000,,25.5,2.3,,,,,0.1,27.8,25.2,0.0,329.9
22.06.2000,110.1,27.4,1.5,,,,,0.1,35.5,20.8,0.0,250.9
23.06.2000,79.3,19.7,0.6,,,,,0.0,22.3,16.5,0.6,78.5
24.06.2000,62.3,13.9,0.8,,,,,0.0,15.2,14.2,6.4,104.8
25.06.2000,79.7,10.9,1.0,,,,,,13.3,12.3,3.7,115.0
26.06.2000,108.4,21.8,1.4,,,,,0.0,34.3,15.2,0.0,276.9
27.06.2000,117.8,29.7,2.0,,,,,0.1,42.2,16.0,0.0,339.0
28.06.2000,88.8,47.6,2.6,,,,,0.1,67.5,14.4,2.8,134.8
29.06.2000,119.0,28.7,1.8,,,,,0.1,42.4,17.2,0.0,314.7
30.06.2000,134.5,39.4,2.5,,,,,0.1,56.2,19.0,0.0,332.4
01.07.2000,129.3,28.6,2.0,,,,,0.1,41.8,20.8,0.9,253.7
02.07.2000,109.5,11.3,0.8,,,,,,13.3,23.5,2.7,319.0
03.07.2000,89.6,27.6,0.5,,,,,0.0,31.3,18.9,33.1,115.8
04.07.2000,75.2,25.3,0.6,,,,,0.0,33.1,18.8,9.7,179.3
05.07.2000,83.6,18.2,,,,,,0.0,22.1,19.2,0.0,241.7
06.07.2000,125.8,23.7,,,,,,0.1,28.9,20.9,0.0,327.1
07.07.2000,90.9,31.9,,,,,,0.1,37.5,18.7,14.1,109.2
08.07.2000,77.0,17.7,,,,,,0.0,19.5,14.0,3.5,67.9
09.07.2000,72.9,8.1,,,,,,0.0,8.7,13.8,6.4,111.5
10.07.2000,64.1,16.0,,,,,,0.0,19.3,14.4,16.5,65.6
11.07.2000,59.8,19.0,,,,,,0.0,24.8,13.0,5.9,128.8
12.07.2000,58.9,19.7,,,,,,0.0,24.0,12.1,2.2,137.8
13.07.2000,82.8,17.6,,,,,,0.0,27.6,13.0,2.1,158.9
14.07.2000,59.6,16.1,,,,,,,18.8,12.7,14.4,61.3
15.07.2000,64.5,10.7,,,,,,,12.4,10.7,7.3,105.1
16.07.2000,66.1,11.5,,,,,,,13.6,11.4,7.4,147.1
17.07.2000,77.2,16.9,,,,,,,29.2,14.0,0.0,289.6
18.07.2000,111.4,23.8,,,,,,,33.7,16.3,0.0,332.7
19.07.2000,97.9,27.5,,,,,,,41.1,17.4,0.0,249.0
20.07.2000,91.8,19.2,,,,,,,30.3,16.7,0.0,276.8
21.07.2000,128.8,32.2,,,,,,0.1,49.4,18.0,0.0,317.7
22.07.2000,143.3,34.2,,,,,,0.1,41.3,19.3,0.0,317.3
23.07.2000,98.5,35.6,,,,,,0.1,44.7,18.6,1.2,138.9
24.07.2000,74.4,21.5,,,,,,0.1,28.5,18.4,5.3,117.5
25.07.2000,95.2,13.5,,,,,,0.1,15.5,19.1,3.0,223.1
26.07.2000,79.0,19.2,,,,,,0.1,22.1,19.0,1.2,224.6
27.07.2000,96.7,25.7,,,,,,0.1,49.6,19.6,0.0,239.4
28.07.2000,73.2,21.2,,,,,,0.0,25.0,16.6,16.7,163.8
29.07.2000,60.2,12.6,,,,,,0.0,13.7,14.5,27.9,76.2
30.07.2000,75.3,9.6,,,,,,0.0,10.9,15.9,3.8,177.1
31.07.2000,100.6,19.5,,,,,,0.1,48.4,17.7,0.0,313.3
01.08.2000,127.1,20.2,,,,,,0.1,27.8,20.6,0.0,306.6
02.08.2000,,28.4,,,,,,0.1,57.6,19.1,4.7,117.4
03.08.2000,,20.9,,,,,,0.0,32.9,16.5,2.7,84.0
04.08.2000,82.1,22.2,,,,,,0.1,42.3,16.3,0.0,144.2
05.08.2000,57.1,21.0,,,,,,0.0,30.4,14.9,8.9,53.0
06.08.2000,73.8,16.1,,,,,,0.0,17.0,15.5,12.8,73.5
07.08.2000,94.1,24.9,,,,,,0.1,30.7,17.0,0.1,178.6
08.08.2000,86.6,27.2,,,,,,0.1,44.1,18.6,1.8,209.9
09.08.2000,92.6,20.6,,,,,,0.1,25.6,19.8,0.0,278.5
10.08.2000,121.9,28.2,,,,,,0.1,45.8,20.9,0.0,264.5
11.08.2000,,40.5,,,,,,0.2,74.8,22.1,0.0,284.7
12.08.2000,155.5,35.9,,,,,,0.1,53.7,21.9,0.0,274.3
13.08.2000,155.5,26.2,,,,,,0.1,37.6,22.3,0.0,271.2
14.08.2000,170.5,38.1,,,,,,0.1,45.3,22.4,0.0,244.6
15.08.2000,133.0,33.2,,,,,,0.1,43.9,22.5,0.0,242.5
16.08.2000,139.8,29.4,,,,,,0.1,40.6,22.9,0.0,266.3
17.08.2000,133.0,37.8,,,,,,0.1,67.9,22.1,0.0,201.1
18.08.2000,,36.0,,,,,,0.1,63.9,21.0,4.7,116.8
19.08.2000,157.1,24.1,,,,,,0.1,38.0,22.8,1.4,230.3
20.08.2000,136.7,19.1,,,,,,0.1,28.0,24.5,0.0,236.5
21.08.2000,99.4,19.4,,,,,,0.0,22.2,18.9,,
22.08.2000,96.7,20.8,,,,,,0.1,32.8,17.9,0.0,213.0
23.08.2000,113.9,29.7,,,,,,0.1,63.9,19.1,0.0,256.6
24.08.2000,139.7,38.3,,,,,,0.2,65.9,20.5,0.0,252.9
25.08.2000,141.7,40.1,,,,,,0.2,70.8,20.5,0.0,251.5
26.08.2000,153.4,37.2,,,,,,0.1,48.9,20.5,0.0,233.9
27.08.2000,97.0,13.1,,,,,,0.0,13.4,16.8,26.4,23.8
28.08.2000,96.5,27.1,,,,,,0.1,46.6,16.7,0.1,226.0
29.08.2000,109.0,35.1,,,,,,0.1,73.1,16.6,0.0,222.2
30.08.2000,64.2,35.9,,,,,,0.1,74.0,16.1,4.1,89.5
31.08.2000,78.4,28.8,,,,,,0.1,44.5,15.4,10.6,63.4
01.09.2000,112.1,19.2,,,,,,0.1,27.6,17.8,0.1,206.9
02.09.2000,76.8,7.3,,,,,,0.0,8.0,15.4,2.5,165.9
03.09.2000,84.9,9.4,,,,,,0.0,9.7,13.5,12.0,86.9
04.09.2000,57.2,22.8,,,,,,0.0,30.3,12.2,8.7,102.2
05.09.2000,78.7,28.9,,,,,,0.1,63.5,13.3,0.1,175.7
06.09.2000,70.1,30.4,,,,,,0.1,58.8,13.7,4.5,120.8
07.09.2000,78.3,25.4,,,,,,0.1,39.3,14.4,11.4,185.9
