Datum/Zeit,O3 [ug/m3],NO2 [ug/m3],SO2 [ug/m3],CO [mg/m3],PM10 [ug/m3],PM2.5 [ug/m3],CPC [1/cm3],NOX [ug/m3 eq. NO2],TEMP [C],PREC [mm],RAD [W/m2]
01.01.2000,83.8,3.0,0.4,0.16,,,,3.6,0.5,0.9,31.7
02.01.2000,82.0,4.9,0.5,0.18,,,,5.6,-0.4,0.1,57.7
03.01.2000,89.7,5.6,0.5,0.19,,,,6.7,-0.6,0.0,53.0
04.01.2000,91.2,4.1,0.7,0.16,,,,4.7,2.2,0.0,59.4
05.01.2000,81.8,3.8,0.4,0.14,,,,4.5,3.7,2.5,22.8
06.01.2000,88.5,3.5,0.5,0.15,,,,4.2,3.3,0.0,48.7
07.01.2000,87.1,3.5,1.4,0.14,,,,4.0,2.0,0.0,57.8
08.01.2000,84.4,4.6,1.1,0.18,,,,5.4,0.8,0.0,58.7
09.01.2000,85.9,2.9,0.6,0.15,,,,3.6,2.1,2.5,31.4
10.01.2000,84.2,20.9,0.9,0.37,,,,26.1,-0.8,1.8,17.9
11.01.2000,26.8,34.5,1.3,0.5,,,,51.0,-1.7,0.0,19.4
12.01.2000,18.3,22.9,0.6,0.36,,,,25.2,-3.5,0.0,19.6
13.01.2000,88.7,6.2,0.6,0.19,,,,7.2,-3.6,0.0,64.5
14.01.2000,91.9,3.6,0.7,0.18,,,,4.2,-0.9,0.0,65.5
15.01.2000,75.7,41.1,1.0,0.58,,,,56.1,-5.7,0.0,28.1
16.01.2000,53.6,26.8,0.7,0.45,,,,30.3,-6.4,0.0,23.8
17.01.2000,80.8,8.3,0.9,0.24,,,,9.1,-2.2,0.0,42.0
18.01.2000,68.5,10.5,1.0,0.21,,,,11.5,-0.0,0.0,16.8
19.01.2000,77.5,11.5,1.2,0.22,,,,13.1,-3.4,2.9,26.7
20.01.2000,77.1,10.5,1.3,0.25,,,,12.2,-5.7,0.0,63.4
21.01.2000,73.4,7.2,1.3,0.21,,,,8.2,-2.9,0.0,13.9
22.01.2000,72.1,6.1,0.9,0.2,,,,6.8,-1.8,2.8,9.3
23.01.2000,73.0,7.1,1.2,0.22,,,,7.9,-3.2,4.3,11.9
24.01.2000,58.5,17.5,3.2,0.34,,,,21.7,-8.5,3.7,45.5
25.01.2000,59.2,21.0,3.9,0.39,,,,25.0,-11.8,0.0,50.7
26.01.2000,98.3,6.9,1.2,0.21,,,,7.7,-8.3,0.0,84.0
27.01.2000,,,,,,,,,,,
28.01.2000,,,,,,,,,,,
29.01.2000,97.3,5.2,0.9,0.17,,,,5.9,2.9,0.0,20.6
30.01.2000,80.5,5.1,0.4,0.16,,,,5.7,4.5,3.5,7.8
31.01.2000,75.3,7.5,0.5,0.16,,,,8.4,4.5,0.0,70.4
01.02.2000,79.2,4.6,0.4,0.12,,,,5.5,8.2,0.0,87.5
02.02.2000,79.7,7.2,0.8,0.16,,,,7.9,5.5,17.7,16.5
