Station: Basel-Binningen
Vorstädtisch
Stundenmittelwerte, PREC: Stundensummen
MEZ/CET
Quelle: NABEL/MeteoSchweiz
Die Messwerte des laufenden Jahres sind vorläufig und noch nicht abschliessend geprüft.
Datum/Zeit;O3 [ug/m3];NO2 [ug/m3];SO2 [ug/m3];PM10 [ug/m3];PM2.5 [ug/m3];EC [ug/m3];CPC [1/cm3];NOX [ug/m3 eq. NO2];TEMP [C];PREC [mm];RAD [W/m2]
01.01.2019 01:00;8.0;23.7;3.2;36.7;30.7;1.2;16237.9;24.7;5.7;0.0;0.0
01.01.2019 02:00;5.2;25.0;3.3;63.5;52.3;1.3;13383.9;28.8;5.8;0.0;0.0
01.01.2019 03:00;2.4;31.5;2.9;74.7;60.5;1.5;13104.2;41.2;5.8;0.0;0.0
01.01.2019 04:00;5.8;29.6;2.1;70.8;57.7;1.4;9960.1;32.8;5.5;0.0;0.0
01.01.2019 05:00;3.2;29.5;1.6;50.1;41.9;1.2;9336.1;33.8;5.1;0.0;0.0
01.01.2019 06:00;3.5;28.1;1.9;49.7;41.3;1.1;9663.6;32.5;5.0;0.0;0.0
01.01.2019 07:00;2.7;27.6;1.8;42.4;34.9;1.0;10817.6;33.6;3.9;0.0;0.0
01.01.2019 08:00;4.8;24.9;1.2;35.4;29.9;0.8;9263.5;30.6;2.6;0.0;0.0
01.01.2019 09:00;15.4;16.1;0.7;26.3;22.1;0.6;5129.4;17.1;3.9;0.0;5.7
01.01.2019 10:00;23.7;11.4;0.7;18.5;15.9;0.5;3468.1;12.5;4.2;0.0;36.5
01.01.2019 11:00;24.0;9.0;0.9;16.1;13.9;0.4;4316.0;10.4;4.3;0.0;48.8
01.01.2019 12:00;30.3;6.3;0.7;10.2;8.6;0.3;2429.1;7.1;5.1;0.0;70.8
01.01.2019 13:00;33.4;5.6;0.6;7.5;6.2;0.2;1765.1;6.2;5.5;0.0;58.0
01.01.2019 14:00;41.2;5.3;0.5;11.3;9.1;0.3;2035.3;5.5;5.7;0.0;44.5
01.01.2019 15:00;53.4;4.1;0.5;9.9;8.1;0.2;1707.8;4.1;5.8;0.0;56.5
01.01.2019 16:00;57.6;3.8;0.4;8.2;6.4;0.1;1968.5;3.6;5.6;0.0;15.7
01.01.2019 17:00;53.3;5.4;0.3;8.6;6.6;0.2;3667.9;5.3;5.3;0.0;2.7
01.01.2019 18:00;50.7;5.8;0.4;7.7;5.9;0.2;3607.4;5.8;5.1;0.0;0.0
01.01.2019 19:00;51.5;4.7;0.3;5.5;4.5;0.2;2614.2;4.8;5.0;0.0;0.0
01.01.2019 20:00;52.3;4.7;0.3;4.4;3.4;0.1;2679.6;4.5;4.9;0.0;0.0
01.01.2019 21:00;53.7;4.0;0.3;3.2;2.5;0.1;2247.3;4.1;5.2;0.0;0.0
01.01.2019 22:00;56.2;3.8;0.3;3.4;2.6;0.1;2082.7;3.6;4.9;0.0;0.0
01.01.2019 23:00;62.1;2.8;0.3;2.8;2.2;0.1;1573.4;2.6;5.1;0.0;0.0
02.01.2019 00:00;63.1;2.5;0.2;1.6;1.2;0.0;865.9;2.2;5.2;0.0;0.0
02.01.2019 01:00;60.4;2.4;0.2;1.2;0.9;0.0;751.8;2.4;5.3;0.0;0.0
02.01.2019 02:00;55.0;2.7;0.1;1.7;1.3;0.1;949.3;2.6;5.0;0.7;0.0
02.01.2019 03:00;53.9;2.8;0.2;2.6;2.0;0.1;1407.3;2.9;4.8;0.0;0.0
02.01.2019 04:00;53.5;3.8;0.2;3.0;2.5;0.1;1719.8;3.7;4.6;0.0;0.0
02.01.2019 05:00;59.2;5.5;0.3;3.4;2.5;0.1;4144.4;5.2;3.9;0.0;0.0
02.01.2019 06:00;61.8;7.8;0.2;3.5;2.3;0.1;4668.8;7.7;3.2;0.0;0.0
02.01.2019 07:00;60.0;11.6;0.3;4.5;2.7;0.1;10749.7;11.5;3.1;0.0;0.0
02.01.2019 08:00;56.8;15.2;0.5;6.7;3.6;0.1;11884.0;15.0;2.9;0.0;0.0
02.01.2019 09:00;53.7;18.4;0.8;9.0;4.3;0.1;16013.7;18.7;2.1;0.0;14.8
02.01.2019 10:00;43.7;20.5;0.9;8.9;4.7;0.2;15819.0;22.4;2.2;0.0;84.8
02.01.2019 11:00;57.6;11.7;0.5;9.6;5.1;0.2;7180.0;12.5;3.0;0.0;79.2
02.01.2019 12:00;64.4;7.7;0.4;10.0;5.1;0.1;7366.7;8.1;3.6;0.0;112.0
02.01.2019 13:00;69.1;5.4;0.4;10.8;5.7;0.1;6713.8;5.6;4.1;0.0;114.5
02.01.2019 14:00;67.1;6.1;0.4;11.0;5.9;0.2;5608.3;6.2;4.1;0.0;61.2
02.01.2019 15:00;64.7;10.7;0.5;12.4;6.3;0.2;12450.6;11.3;4.5;0.0;80.2
02.01.2019 16:00;65.8;9.3;0.5;12.7;6.3;0.2;8971.5;9.6;4.7;0.0;55.3
02.01.2019 17:00;61.2;14.3;0.4;9.6;5.8;0.2;19782.8;15.3;4.2;0.1;3.5
02.01.2019 18:00;57.7;16.9;0.5;9.3;5.2;0.3;28211.7;16.8;3.5;0.0;0.0
02.01.2019 19:00;53.6;20.1;0.6;12.2;7.1;0.3;16097.4;20.2;3.5;0.0;0.0
02.01.2019 20:00;56.8;15.9;0.5;11.7;7.9;0.4;13112.4;15.8;3.5;0.0;0.0
