Station: Bern-Bollwerk
Stadt, Verkehr
Stundenmittelwerte, PREC: Stundensummen
MEZ/CET
Quelle: NABEL/MeteoSchweiz
Die Messwerte des laufenden Jahres sind vorläufig und noch nicht abschliessend geprüft.
Datum/Zeit;O3 [ug/m3];NO2 [ug/m3];CO [mg/m3];PM10 [ug/m3];PM2.5 [ug/m3];EC [ug/m3];CPC [1/cm3];NOX [ug/m3 eq. NO2];TEMP [C];PREC [mm];RAD [W/m2]
01.01.2019 01:00;12.5;37.7;0.49;54.3;44.6;1.5;25882.7;82.9;4.9;0.0;0.0
01.01.2019 02:00;21.5;30.3;0.38;33.1;26.2;0.7;20565.1;66.2;4.6;0.0;-0.1
01.01.2019 03:00;18.2;41.6;0.37;18.0;13.9;0.6;21750.2;92.4;4.7;0.0;-0.0
01.01.2019 04:00;20.5;25.3;0.34;26.2;20.1;1.3;19520.8;46.2;4.6;0.0;-0.1
01.01.2019 05:00;16.4;31.1;0.37;21.0;16.0;1.0;13684.0;72.7;4.5;0.0;-0.2
01.01.2019 06:00;19.1;30.8;0.37;27.4;20.5;1.5;17151.2;69.8;4.4;0.0;-0.3
01.01.2019 07:00;22.0;22.2;0.30;20.8;15.1;0.8;11654.2;38.9;4.0;0.0;-0.3
01.01.2019 08:00;17.6;26.4;0.33;21.5;17.2;0.4;9495.9;47.0;4.1;0.0;-0.1
01.01.2019 09:00;15.4;19.2;0.32;20.7;14.6;0.6;8649.0;31.5;3.8;0.0;3.6
01.01.2019 10:00;20.6;19.5;0.30;18.1;13.0;0.4;9816.5;32.6;4.2;0.0;18.5
01.01.2019 11:00;29.8;15.9;0.27;15.6;11.6;0.4;4942.6;25.4;4.5;0.0;58.6
01.01.2019 12:00;33.8;13.4;0.24;15.9;11.7;0.4;3468.1;22.8;4.4;0.0;40.3
01.01.2019 13:00;35.7;13.8;0.24;14.0;10.8;0.5;3547.7;21.2;4.2;0.0;45.4
01.01.2019 14:00;35.3;15.1;0.24;14.1;10.2;0.3;5074.9;23.4;4.2;0.0;52.8
01.01.2019 15:00;31.0;21.5;0.26;13.6;10.1;0.4;6365.9;39.3;4.3;0.0;39.2
01.01.2019 16:00;31.7;22.2;0.31;13.8;10.0;0.4;8462.5;40.7;4.2;0.0;21.8
01.01.2019 17:00;26.7;27.7;0.30;14.8;10.6;0.8;10133.8;52.4;4.2;0.0;9.9
01.01.2019 18:00;25.6;27.2;0.33;14.7;10.2;0.9;16600.3;47.0;4.2;0.0;-0.3
01.01.2019 19:00;25.7;25.6;0.32;14.9;10.8;0.9;10973.1;45.3;4.0;0.0;-0.3
01.01.2019 20:00;25.1;22.8;0.29;15.3;11.4;1.0;7325.2;36.9;4.3;0.0;-0.2
01.01.2019 21:00;28.7;18.8;0.28;13.2;9.9;0.7;6596.0;27.9;4.4;0.0;-0.3
01.01.2019 22:00;18.2;27.9;0.35;16.8;11.9;0.9;11444.0;47.1;4.1;0.0;-0.6
01.01.2019 23:00;20.2;25.4;0.34;14.4;11.0;0.7;9983.4;47.7;3.8;0.0;-0.9
02.01.2019 00:00;19.7;26.0;0.33;13.2;9.9;0.6;8053.8;55.9;3.6;0.0;-1.1
02.01.2019 01:00;19.2;27.7;0.30;12.8;8.9;0.9;7528.6;59.1;3.4;0.0;-0.7
02.01.2019 02:00;24.4;21.4;0.27;11.2;7.9;0.8;5855.7;34.3;3.5;0.0;-0.5
02.01.2019 03:00;28.7;13.1;0.25;9.9;7.1;0.4;4011.8;17.4;3.4;0.0;-0.6
02.01.2019 04:00;29.0;14.4;0.23;8.7;6.1;0.3;4109.4;18.5;3.4;0.0;-0.4
02.01.2019 05:00;34.1;12.0;0.26;7.7;5.1;0.2;5960.0;15.3;2.9;0.5;-2.0
02.01.2019 06:00;37.6;15.2;0.24;8.1;4.2;0.2;6411.0;22.0;2.6;0.0;-1.7
02.01.2019 07:00;24.6;21.8;0.24;7.1;4.7;0.3;8901.3;27.5;2.3;0.0;-1.2
02.01.2019 08:00;37.6;18.8;0.25;5.8;3.7;0.2;7216.8;28.0;1.1;0.2;-1.5
02.01.2019 09:00;50.1;21.1;0.23;3.2;1.7;0.2;9289.7;28.5;1.0;0.0;1.9
02.01.2019 10:00;45.6;25.1;0.25;8.8;3.4;0.4;10053.8;35.3;1.2;0.0;61.0
02.01.2019 11:00;52.5;23.5;0.23;10.1;4.7;0.3;10019.4;33.8;1.2;0.0;93.3
02.01.2019 12:00;57.0;25.9;0.27;12.0;5.2;0.3;8614.0;43.0;1.9;0.0;220.0
02.01.2019 13:00;61.7;23.0;0.24;12.3;4.8;0.3;9229.5;36.9;2.7;0.0;304.5
02.01.2019 14:00;66.5;16.7;0.22;18.0;5.4;0.4;7720.2;24.8;2.8;0.0;183.4
02.01.2019 15:00;64.9;17.0;0.22;18.7;5.8;0.4;8266.2;23.8;2.6;0.0;104.4
02.01.2019 16:00;67.1;13.3;0.24;19.9;6.1;0.5;4351.1;18.6;2.6;0.0;52.0
02.01.2019 17:00;59.8;19.2;0.25;19.2;6.3;0.4;6002.1;23.8;2.3;0.0;10.9
02.01.2019 18:00;52.2;27.6;0.27;16.7;6.6;0.5;9459.4;38.7;2.3;0.0;-0.3
02.01.2019 19:00;42.4;33.7;0.35;16.4;6.9;0.6;22335.7;44.2;2.0;0.0;-0.8
02.01.2019 20:00;45.4;27.8;0.27;20.4;8.0;0.6;13996.8;36.7;1.9;0.0;-1.1
02.01.2019 21:00;32.8;42.1;0.33;21.2;9.0;0.7;21602.7;69.5;1.7;0.0;-0.8
02.01.2019 22:00;33.6;35.9;0.34;18.8;9.6;0.5;16796.6;53.4;1.1;0.0;-0.8
02.01.2019 23:00;41.4;29.9;0.30;15.8;7.6;0.4;10045.6;48.2;0.7;0.0;-0.6
03.01.2019 00:00;42.9;28.2;0.34;11.8;6.6;0.3;9766.7;44.6;0.5;0.0;-0.7
03.01.2019 01:00;39.1;31.0;0.29;12.6;6.8;0.5;9066.0;49.3;0.4;0.0;-1.9
03.01.2019 02:00;33.1;27.0;0.29;16.4;9.6;0.4;13168.0;33.8;-0.4;0.0;-2.0
03.01.2019 03:00;23.5;27.8;0.26;27.9;17.6;0.6;10550.1;30.8;-1.1;0.0;-1.3
03.01.2019 04:00;25.0;26.5;0.25;15.3;8.8;0.4;8945.9;29.2;-0.9;0.0;-1.3
03.01.2019 05:00;26.3;26.2;0.24;18.4;8.6;0.4;11257.4;31.3;-1.5;0.0;-1.9
03.01.2019 06:00;22.3;33.8;0.26;23.9;8.6;0.5;14088.2;44.8;-1.6;0.0;-1.7
03.01.2019 07:00;15.2;46.2;0.30;22.7;8.5;0.5;19698.5;82.0;-1.9;0.0;-1.9
03.01.2019 08:00;5.3;54.0;0.35;25.4;9.2;1.1;27640.7;105.6;-2.5;0.0;-1.7
03.01.2019 09:00;10.9;57.6;0.37;27.2;8.3;0.7;28139.5;124.1;-2.5;0.0;20.3
03.01.2019 10:00;9.0;61.5;0.38;29.0;9.1;1.2;30563.4;138.4;-2.3;0.0;135.0
03.01.2019 11:00;18.9;50.7;0.33;32.4;10.3;1.0;21922.9;103.0;-1.3;0.0;250.6
03.01.2019 12:00;32.9;44.7;0.30;26.6;10.0;0.6;17415.4;86.5;-0.2;0.0;332.9
03.01.2019 13:00;52.7;26.7;0.26;18.9;9.0;0.3;15229.7;48.9;0.4;0.0;361.2
03.01.2019 14:00;56.3;19.9;0.29;18.9;7.9;0.4;17412.7;34.2;0.6;0.0;345.7
