Station: Beromünster
Land, < 1000 m
Stundenmittelwerte, PREC: Stundensummen
MEZ/CET
Quelle: NABEL/MeteoSchweiz
Die Messwerte des laufenden Jahres sind vorläufig und noch nicht abschliessend geprüft.
Datum/Zeit;O3 [ug/m3];NO2 [ug/m3];PM10 [ug/m3];PM2.5 [ug/m3];NOX [ug/m3 eq. NO2];TEMP [C];PREC [mm];RAD [W/m2]
01.01.2019 01:00;44.0;8.5;5.6;5.5;8.4;2.5;0.0;-2.3
01.01.2019 02:00;51.6;6.5;6.6;6.5;6.6;2.2;0.0;-2.5
01.01.2019 03:00;54.0;5.8;6.1;6.1;5.7;2.0;0.0;-2.4
01.01.2019 04:00;50.8;6.5;8.7;8.7;6.5;1.8;0.0;-2.0
01.01.2019 05:00;53.6;5.9;7.6;7.6;5.8;1.5;0.0;-1.9
01.01.2019 06:00;50.2;6.3;5.8;5.9;6.1;1.6;0.0;-1.0
01.01.2019 07:00;47.6;6.2;6.1;6.1;6.0;1.5;0.0;-2.4
01.01.2019 08:00;42.0;6.0;5.1;5.0;6.0;1.5;0.0;-1.9
01.01.2019 09:00;46.3;6.4;7.1;7.0;6.4;1.6;0.0;3.2
01.01.2019 10:00;46.9;6.1;5.0;5.0;6.4;1.4;0.0;31.6
01.01.2019 11:00;46.2;6.3;2.2;2.1;6.5;1.2;0.0;64.0
01.01.2019 12:00;47.8;5.9;3.1;3.0;6.4;1.3;0.0;91.8
01.01.2019 13:00;48.4;5.6;4.5;4.3;5.9;1.4;0.0;73.4
01.01.2019 14:00;45.7;6.5;6.7;6.3;6.8;1.7;0.0;53.1
01.01.2019 15:00;42.3;7.2;7.4;7.0;7.5;1.8;0.0;51.6
01.01.2019 16:00;42.2;7.6;7.3;7.2;7.8;1.9;0.0;19.8
01.01.2019 17:00;46.6;6.6;6.6;6.4;6.5;1.8;0.0;1.1
01.01.2019 18:00;43.9;7.6;6.6;6.2;7.6;1.6;0.0;-1.0
01.01.2019 19:00;40.3;8.8;7.1;6.9;8.7;1.4;0.0;-0.9
01.01.2019 20:00;35.9;10.2;7.8;7.4;10.0;1.4;0.0;-0.2
01.01.2019 21:00;46.6;6.9;5.5;5.2;6.8;1.4;0.0;-0.4
01.01.2019 22:00;51.4;5.4;3.9;3.6;5.4;1.5;0.0;-0.1
01.01.2019 23:00;48.8;5.2;3.6;3.5;5.3;1.4;0.0;-0.2
02.01.2019 00:00;48.8;5.4;3.3;3.0;5.3;1.4;0.0;-0.2
02.01.2019 01:00;48.7;4.5;6.5;3.9;4.3;1.2;0.0;-0.9
02.01.2019 02:00;51.1;4.1;6.1;3.5;3.9;1.1;0.0;-0.5
02.01.2019 03:00;54.3;3.7;4.5;2.5;3.5;0.9;0.1;-0.5
02.01.2019 04:00;57.2;3.4;2.7;1.6;3.4;0.7;0.4;-0.5
02.01.2019 05:00;57.8;3.7;2.3;1.3;3.7;0.2;0.4;-0.2
02.01.2019 06:00;67.2;3.7;2.6;1.4;3.6;-0.1;0.1;-0.3
02.01.2019 07:00;71.4;3.8;2.7;1.4;3.6;-0.5;0.0;0.0
02.01.2019 08:00;73.0;4.0;4.8;2.2;3.8;-0.6;0.0;-0.1
02.01.2019 09:00;74.1;4.1;5.0;2.4;4.1;-1.0;0.0;10.9
02.01.2019 10:00;74.3;4.2;6.2;2.8;4.4;-1.3;0.0;58.1
02.01.2019 11:00;74.9;4.5;8.5;3.2;4.6;-0.7;0.0;152.1
02.01.2019 12:00;73.2;5.5;8.5;3.3;5.8;-0.8;0.0;83.0
02.01.2019 13:00;;;9.4;3.6;;-0.6;0.0;119.6
02.01.2019 14:00;74.2;4.3;8.7;3.4;4.7;-0.4;0.0;139.3
02.01.2019 15:00;73.8;4.4;8.8;3.6;4.6;-0.5;0.0;119.7
02.01.2019 16:00;71.2;5.3;8.6;3.7;5.4;-0.7;0.0;55.8
02.01.2019 17:00;66.5;6.7;10.5;4.6;6.7;-1.0;0.0;9.7
02.01.2019 18:00;66.2;6.3;9.9;3.8;6.4;-1.2;0.4;0.0
02.01.2019 19:00;65.8;6.1;9.2;4.0;6.1;-1.5;0.0;-0.5
02.01.2019 20:00;59.2;9.2;10.5;4.6;9.3;-1.7;0.0;0.0
02.01.2019 21:00;62.0;8.7;10.4;4.4;8.6;-1.6;0.3;0.0
02.01.2019 22:00;68.1;6.2;7.9;3.7;6.2;-2.2;0.8;0.0
02.01.2019 23:00;64.2;7.1;9.4;4.4;7.1;-2.4;0.0;-0.3
03.01.2019 00:00;64.5;6.9;9.2;4.5;7.0;-2.6;0.0;-1.0
03.01.2019 01:00;66.1;5.5;9.6;4.5;5.6;-3.0;0.0;-1.0
03.01.2019 02:00;68.4;5.4;8.9;3.9;5.4;-3.0;0.0;-0.9
03.01.2019 03:00;66.6;6.6;10.4;4.3;6.8;-3.3;0.0;-1.0
03.01.2019 04:00;65.4;6.9;10.3;4.4;7.3;-3.7;0.0;-1.0
03.01.2019 05:00;65.9;6.0;10.5;4.2;6.1;-4.0;0.0;-1.0
03.01.2019 06:00;65.8;6.2;10.1;4.2;6.2;-4.1;0.0;-1.0
03.01.2019 07:00;65.5;5.8;11.8;4.4;5.7;-4.2;0.0;-1.0
03.01.2019 08:00;64.5;6.2;11.5;4.5;6.1;-4.3;0.0;-0.9
03.01.2019 09:00;58.5;10.1;11.3;5.1;10.6;-4.8;0.0;23.5
03.01.2019 10:00;55.2;9.7;13.1;5.8;11.5;-4.5;0.0;136.6
03.01.2019 11:00;56.3;9.7;14.6;6.5;13.0;-3.5;0.0;253.2
03.01.2019 12:00;60.9;8.7;13.3;6.2;11.7;-3.0;0.0;249.8
03.01.2019 13:00;63.2;8.4;13.6;6.4;11.0;-2.6;0.0;323.5
03.01.2019 14:00;64.9;8.4;12.5;6.2;11.1;-2.0;0.0;337.7
03.01.2019 15:00;63.8;10.7;11.2;5.5;12.5;-1.8;0.0;198.1
03.01.2019 16:00;55.4;18.2;11.6;5.4;20.1;-2.4;0.0;67.0
03.01.2019 17:00;49.6;20.9;12.1;5.7;21.6;-2.6;0.0;19.8
03.01.2019 18:00;43.2;23.8;14.2;6.4;23.8;-3.0;0.0;0.0
03.01.2019 19:00;41.0;25.5;15.3;6.9;25.4;-3.1;0.0;0.0
03.01.2019 20:00;35.8;28.3;18.5;8.5;28.3;-3.3;0.0;-0.2
03.01.2019 21:00;42.2;22.0;16.5;8.2;22.0;-3.2;0.0;0.0
03.01.2019 22:00;45.3;19.4;15.3;7.5;19.3;-3.0;0.0;0.0
03.01.2019 23:00;54.4;16.1;12.8;6.7;16.3;-3.6;0.1;0.0
04.01.2019 00:00;81.3;4.3;3.7;1.8;4.3;-3.2;0.0;0.0
04.01.2019 01:00;49.7;14.7;12.5;5.9;14.6;-3.8;0.0;-0.5
04.01.2019 02:00;58.1;13.1;12.3;5.9;13.1;-3.7;0.0;-0.5
04.01.2019 03:00;62.3;9.3;9.7;4.9;9.2;-3.9;0.0;-0.1
04.01.2019 04:00;56.2;10.2;11.4;5.8;10.0;-4.2;0.0;-0.9
04.01.2019 05:00;53.1;10.9;12.3;6.0;10.7;-4.4;0.0;-0.7
04.01.2019 06:00;51.8;14.7;12.1;5.8;14.9;-4.3;0.0;-0.6
