Station: Chaumont
Land, > 1000 m
Stundenmittelwerte, PREC: Stundensummen
MEZ/CET
Quelle: NABEL/MeteoSchweiz
Die Messwerte des laufenden Jahres sind vorläufig und noch nicht abschliessend geprüft.
Datum/Zeit;O3 [ug/m3];NO2 [ug/m3];PM10 [ug/m3];NOX [ug/m3 eq. NO2];TEMP [C];PREC [mm];RAD [W/m2]
01.01.2019 01:00;66.5;1.0;0.9;1.0;2.6;0.0;0.0
01.01.2019 02:00;60.5;1.3;0.9;1.3;2.2;0.0;0.0
01.01.2019 03:00;57.8;2.1;1.0;2.3;1.3;0.0;0.0
01.01.2019 04:00;51.8;2.8;2.7;2.9;0.3;0.0;0.0
01.01.2019 05:00;43.7;4.3;4.3;4.3;-0.6;0.0;0.0
01.01.2019 06:00;53.4;3.3;3.1;3.4;-0.7;0.0;0.0
01.01.2019 07:00;61.8;2.2;1.7;2.3;0.0;0.0;0.0
01.01.2019 08:00;66.0;1.1;0.3;1.1;0.0;0.0;0.0
01.01.2019 09:00;54.9;1.7;1.2;1.8;-0.6;0.0;12.7
01.01.2019 10:00;59.4;1.6;1.0;1.8;0.1;0.0;116.7
01.01.2019 11:00;59.2;1.6;1.4;1.9;0.8;0.0;213.7
01.01.2019 12:00;54.0;2.3;2.1;3.0;0.2;0.0;240.0
01.01.2019 13:00;48.7;2.6;2.1;3.2;-0.3;0.0;139.7
01.01.2019 14:00;45.8;3.0;2.2;3.6;-0.2;0.0;110.5
01.01.2019 15:00;42.2;3.6;1.8;4.1;-0.5;0.0;69.2
01.01.2019 16:00;38.2;4.3;1.8;4.8;-0.5;0.0;30.2
01.01.2019 17:00;45.0;2.8;1.3;3.0;-1.0;0.0;1.0
01.01.2019 18:00;52.1;2.4;2.0;2.5;-1.1;0.0;0.0
01.01.2019 19:00;62.0;1.9;2.4;1.9;-1.1;0.0;0.0
01.01.2019 20:00;60.5;2.0;2.1;2.1;-0.9;0.0;0.0
01.01.2019 21:00;55.0;2.6;1.6;2.6;-1.0;0.0;0.0
01.01.2019 22:00;61.4;2.2;1.1;2.2;-1.1;0.1;0.0
01.01.2019 23:00;58.1;2.1;1.1;2.2;-1.2;0.0;0.0
02.01.2019 00:00;57.6;2.0;0.7;2.0;-1.1;0.0;0.0
02.01.2019 01:00;56.4;2.1;0.7;2.1;-0.9;0.0;0.0
02.01.2019 02:00;54.9;1.9;0.4;2.0;-1.0;0.5;0.0
02.01.2019 03:00;54.1;1.9;0.3;1.9;-1.0;0.6;0.0
02.01.2019 04:00;57.5;2.0;0.7;2.0;-1.2;0.7;0.0
02.01.2019 05:00;70.1;1.8;3.7;1.9;-1.6;0.0;0.0
02.01.2019 06:00;68.4;2.1;3.9;2.2;-1.9;0.0;0.0
02.01.2019 07:00;72.0;2.0;3.7;2.1;-2.5;0.0;0.0
02.01.2019 08:00;73.5;1.9;3.9;2.0;-3.1;0.0;0.0
02.01.2019 09:00;77.4;1.8;5.9;1.8;-3.5;0.0;0.5
02.01.2019 10:00;79.5;1.8;7.4;1.9;-3.4;0.0;98.7
02.01.2019 11:00;81.4;1.6;8.1;2.1;-3.4;0.0;265.7
02.01.2019 12:00;81.1;1.5;8.4;1.8;-3.1;0.0;275.2
02.01.2019 13:00;78.3;2.0;9.6;2.3;-3.5;0.0;107.5
02.01.2019 14:00;76.5;1.9;9.5;2.1;-3.4;0.0;107.2
02.01.2019 15:00;73.7;2.3;9.7;2.7;-3.4;0.0;84.2
02.01.2019 16:00;73.0;2.3;10.3;2.5;-3.5;0.0;33.8
02.01.2019 17:00;70.8;3.4;9.6;3.5;-3.6;0.0;3.3
02.01.2019 18:00;70.3;3.1;9.9;3.2;-3.8;0.0;0.0
02.01.2019 19:00;71.3;3.2;10.3;3.2;-3.6;0.0;0.0
02.01.2019 20:00;74.6;3.2;9.3;3.3;-4.1;0.0;0.0
02.01.2019 21:00;72.9;3.3;10.0;3.5;-4.0;0.3;0.0
02.01.2019 22:00;70.3;3.7;9.1;3.9;-4.0;0.2;0.0
02.01.2019 23:00;72.4;3.8;9.3;3.8;-4.4;0.0;0.0
03.01.2019 00:00;74.5;3.6;9.6;3.7;-4.8;0.0;0.0
03.01.2019 01:00;75.3;3.4;8.8;3.5;-4.9;0.0;0.0
03.01.2019 02:00;73.0;3.6;9.0;3.6;-5.1;0.0;0.0
03.01.2019 03:00;73.9;3.3;9.5;3.3;-5.8;0.0;0.0
03.01.2019 04:00;73.7;3.3;8.7;3.3;-6.0;0.0;0.0
03.01.2019 05:00;74.2;2.9;7.2;2.9;-6.3;0.0;0.0
03.01.2019 06:00;72.5;3.2;7.7;3.2;-6.1;0.0;0.0
03.01.2019 07:00;70.6;3.5;8.4;3.5;-6.0;0.0;0.0
03.01.2019 08:00;69.3;3.7;8.1;3.7;-6.2;0.0;0.0
03.01.2019 09:00;68.8;4.1;8.1;4.4;-6.2;0.0;15.0
03.01.2019 10:00;72.8;2.8;6.2;3.1;-5.3;0.0;124.3
03.01.2019 11:00;66.8;5.3;7.4;7.5;-4.9;0.0;222.7
03.01.2019 12:00;64.8;7.1;9.0;10.7;-4.7;0.0;304.2
03.01.2019 13:00;67.5;5.9;8.8;8.8;-4.0;0.0;355.0
03.01.2019 14:00;69.4;5.5;8.1;7.9;-3.6;0.0;331.7
03.01.2019 15:00;74.8;3.5;4.6;4.6;-3.6;0.0;252.3
03.01.2019 16:00;78.8;3.0;4.1;3.6;-4.1;0.0;135.3
03.01.2019 17:00;82.6;2.0;3.7;2.1;-4.9;0.0;8.0
03.01.2019 18:00;81.7;3.0;3.1;3.1;-5.1;0.0;0.0
03.01.2019 19:00;77.9;3.6;3.5;3.6;-5.0;0.0;0.0
03.01.2019 20:00;82.5;2.1;2.6;2.2;-4.8;0.0;0.0
03.01.2019 21:00;83.9;1.7;2.1;1.7;-5.2;0.0;0.0
03.01.2019 22:00;81.6;2.0;2.8;2.0;-5.2;0.0;0.0
03.01.2019 23:00;81.2;1.9;2.5;1.9;-5.0;0.0;0.0
04.01.2019 00:00;78.2;2.2;2.4;2.3;-5.1;0.0;0.0
04.01.2019 01:00;75.3;2.8;2.3;2.8;-5.2;0.0;0.0
04.01.2019 02:00;74.5;2.9;2.2;2.9;-5.0;0.0;0.0
04.01.2019 03:00;77.5;2.3;1.3;2.3;-4.7;0.0;0.0
04.01.2019 04:00;76.0;2.4;1.5;2.4;-5.0;0.0;0.0
04.01.2019 05:00;76.0;2.4;1.5;2.4;-5.2;0.0;0.0
04.01.2019 06:00;73.0;2.8;1.5;2.8;-5.0;0.0;0.0
04.01.2019 07:00;69.8;3.3;1.6;3.3;-4.8;0.0;0.0
04.01.2019 08:00;69.5;3.4;1.7;3.4;-4.8;0.0;0.0
04.01.2019 09:00;69.0;4.5;1.1;5.3;-4.7;0.0;25.2
04.01.2019 10:00;67.0;5.3;2.6;6.3;-4.5;0.0;134.2
04.01.2019 11:00;65.9;5.2;3.2;7.0;-3.2;0.0;245.2
04.01.2019 12:00;72.6;4.0;2.3;5.6;-2.4;0.0;315.8
04.01.2019 13:00;77.2;3.7;2.1;5.1;-1.8;0.0;351.3
04.01.2019 14:00;74.9;5.2;3.0;7.3;-1.7;0.0;329.7
04.01.2019 15:00;71.4;6.9;4.2;9.4;-2.0;0.0;252.5
04.01.2019 16:00;72.1;7.4;3.7;9.0;-2.1;0.0;154.3
04.01.2019 17:00;69.2;10.0;4.0;10.5;-3.1;0.0;15.2
04.01.2019 18:00;70.4;7.7;6.1;8.0;-3.3;0.0;0.0
04.01.2019 19:00;69.7;6.3;5.0;6.7;-3.5;0.0;0.0
04.01.2019 20:00;68.5;5.5;5.3;5.7;-3.5;0.0;0.0
04.01.2019 21:00;65.5;5.6;7.0;5.6;-4.0;0.0;0.0
04.01.2019 22:00;61.5;7.0;10.6;7.1;-4.6;0.0;0.0
04.01.2019 23:00;57.4;7.8;13.1;7.9;-4.8;0.0;0.0
05.01.2019 00:00;59.8;7.3;14.0;7.4;-5.1;0.0;0.0
05.01.2019 01:00;67.8;5.7;6.7;5.8;-5.0;0.0;0.0
05.01.2019 02:00;70.7;4.9;3.4;4.9;-4.4;0.0;0.0
05.01.2019 03:00;66.4;5.1;2.6;5.1;-4.3;0.0;0.0
05.01.2019 04:00;65.1;4.8;3.5;4.8;-4.8;0.0;0.0
05.01.2019 05:00;65.0;4.6;2.7;4.7;-4.5;0.0;0.0
05.01.2019 06:00;64.3;4.3;2.2;4.3;-4.6;0.0;0.0
05.01.2019 07:00;61.4;4.4;3.1;4.5;-4.5;0.0;0.0
05.01.2019 08:00;58.7;4.5;3.6;4.5;-4.4;0.0;0.0
05.01.2019 09:00;58.4;4.8;3.6;5.0;-4.1;0.0;1.3
05.01.2019 10:00;60.9;5.5;2.2;5.9;-3.5;0.0;30.8
05.01.2019 11:00;60.2;4.6;2.3;5.1;-3.5;0.4;69.2
05.01.2019 12:00;62.7;4.5;1.7;5.1;-2.6;0.0;91.8
05.01.2019 13:00;59.3;5.0;1.8;5.7;-2.2;0.1;76.7
05.01.2019 14:00;50.8;8.4;3.9;10.0;-2.5;0.2;74.3
05.01.2019 15:00;53.3;6.9;2.0;7.7;-1.9;0.2;47.3
05.01.2019 16:00;51.8;6.2;1.5;6.6;-2.1;0.2;20.8
05.01.2019 17:00;49.9;5.5;0.7;5.8;-2.4;0.0;4.5
05.01.2019 18:00;51.4;5.0;0.7;5.1;-2.5;0.0;0.0
05.01.2019 19:00;50.1;5.2;0.9;5.3;-2.4;0.0;0.0
05.01.2019 20:00;45.9;6.5;0.7;6.5;-2.4;0.0;0.0
05.01.2019 21:00;42.7;6.5;0.8;6.5;-2.5;0.0;0.0
05.01.2019 22:00;42.8;5.6;0.8;5.7;-2.5;0.0;0.0
05.01.2019 23:00;46.5;4.8;0.8;5.0;-2.4;0.1;0.0
06.01.2019 00:00;48.3;4.6;0.7;4.7;-2.4;0.2;0.0
06.01.2019 01:00;47.4;4.5;0.5;4.5;-2.4;0.1;0.0
06.01.2019 02:00;47.4;4.5;0.7;4.5;-2.5;0.2;0.0
06.01.2019 03:00;47.6;4.4;0.7;4.4;-2.4;0.1;0.0
06.01.2019 04:00;54.5;3.8;0.8;3.8;-2.5;0.0;0.0
06.01.2019 05:00;56.5;3.4;1.0;3.5;-2.6;0.1;0.0
06.01.2019 06:00;52.6;3.5;1.1;3.5;-2.6;0.0;0.0
06.01.2019 07:00;49.7;3.9;1.0;4.0;-2.6;0.0;0.0
06.01.2019 08:00;49.7;3.7;1.4;3.8;-2.8;0.2;0.0
06.01.2019 09:00;48.1;3.6;1.1;3.7;-2.6;0.1;0.0
06.01.2019 10:00;48.7;3.3;0.9;3.5;-2.5;0.0;24.3
06.01.2019 11:00;49.5;3.3;1.1;4.0;-2.4;0.0;107.0
06.01.2019 12:00;50.5;3.5;1.3;4.3;-2.2;0.0;119.0
06.01.2019 13:00;50.3;3.3;1.4;4.0;-2.4;0.0;121.7
06.01.2019 14:00;56.2;3.2;1.5;3.8;-2.4;0.0;107.8
06.01.2019 15:00;58.9;3.2;1.8;3.7;-2.5;0.0;90.2
06.01.2019 16:00;61.9;3.3;1.8;3.8;-2.7;0.0;51.5
06.01.2019 17:00;59.1;4.0;2.2;4.3;-2.9;0.0;12.0
06.01.2019 18:00;59.0;3.7;2.4;3.9;-3.0;0.0;0.0
06.01.2019 19:00;58.7;4.0;2.2;4.4;-3.1;0.0;0.0
06.01.2019 20:00;54.9;4.4;2.5;4.9;-3.2;0.0;0.0
06.01.2019 21:00;56.7;3.7;2.5;3.8;-3.1;0.0;0.0
06.01.2019 22:00;59.5;3.3;1.7;3.4;-3.0;0.0;0.0
06.01.2019 23:00;55.3;3.6;1.9;3.9;-3.0;0.0;0.0
07.01.2019 00:00;50.9;3.9;2.3;4.2;-2.9;0.0;0.0
07.01.2019 01:00;50.6;3.7;1.8;3.9;-2.9;0.0;0.0
07.01.2019 02:00;49.6;3.1;1.8;3.1;-2.6;0.0;0.0
07.01.2019 03:00;62.6;2.5;0.7;2.5;-2.2;0.0;0.0
07.01.2019 04:00;57.6;2.9;0.8;3.0;-2.4;0.0;0.0
07.01.2019 05:00;50.2;3.3;1.3;3.5;-3.1;0.0;0.0
07.01.2019 06:00;50.0;3.9;1.8;4.2;-3.6;0.0;0.0
