Station: Davos-Seehornwald
Land, > 1000 m
Stundenmittelwerte, PREC: Stundensummen
MEZ/CET
Quelle: NABEL/MeteoSchweiz
Die Messwerte des laufenden Jahres sind vorläufig und noch nicht abschliessend geprüft.
Datum/Zeit;O3 [ug/m3];NO2 [ug/m3];PM10 [ug/m3];NOX [ug/m3 eq. NO2];TEMP [C];PREC [mm];RAD [W/m2]
01.01.2019 01:00;42.6;5.6;8.6;5.7;-3.4;0.0;-3.7
01.01.2019 02:00;43.8;6.1;37.7;6.1;-3.8;0.0;-2.6
01.01.2019 03:00;48.9;2.9;10.7;2.9;-4.2;0.0;-2.5
01.01.2019 04:00;48.1;2.6;6.4;2.6;-5.1;0.0;-3.5
01.01.2019 05:00;52.5;3.0;2.7;3.1;-5.3;0.0;-3.6
01.01.2019 06:00;54.8;2.9;1.6;3.6;-5.4;0.0;-3.0
01.01.2019 07:00;60.1;2.0;0.3;2.2;-5.1;0.0;-2.9
01.01.2019 08:00;57.6;2.3;0.4;2.5;-4.8;0.0;-3.2
01.01.2019 09:00;58.5;3.8;0.6;4.1;-3.6;0.0;3.2
01.01.2019 10:00;58.9;2.8;0.3;3.3;-2.4;0.0;12.5
01.01.2019 11:00;56.0;5.8;0.2;9.2;-0.7;0.0;130.8
01.01.2019 12:00;56.2;1.9;0.3;2.8;0.5;0.0;286.7
01.01.2019 13:00;63.8;2.1;0.2;2.9;1.9;0.0;535.7
01.01.2019 14:00;60.8;3.3;0.5;4.6;2.5;0.0;355.7
01.01.2019 15:00;62.2;3.8;0.5;4.8;1.5;0.0;298.3
01.01.2019 16:00;61.3;3.9;0.4;4.5;1.1;0.0;130.0
01.01.2019 17:00;56.1;5.3;0.4;5.5;-0.1;0.0;12.3
01.01.2019 18:00;55.1;5.8;0.6;5.8;-1.2;0.0;-4.6
01.01.2019 19:00;45.1;8.9;1.1;9.0;-2.7;0.0;-3.6
01.01.2019 20:00;42.4;5.7;1.5;5.7;-3.5;0.0;-2.3
01.01.2019 21:00;42.6;4.4;1.5;4.4;-3.8;0.0;-2.3
01.01.2019 22:00;40.5;4.5;2.5;4.5;-3.8;0.0;-2.3
01.01.2019 23:00;51.1;2.6;3.3;2.6;-3.5;0.0;-2.6
02.01.2019 00:00;52.9;2.4;3.7;2.4;-3.7;0.0;-2.8
02.01.2019 01:00;47.3;3.5;4.3;3.6;-4.1;0.0;-2.5
02.01.2019 02:00;55.4;3.3;3.0;3.4;-3.3;0.1;-2.7
02.01.2019 03:00;66.9;1.1;0.9;1.1;-2.3;0.0;-3.3
02.01.2019 04:00;63.8;1.3;0.6;1.3;-2.7;0.3;-3.4
02.01.2019 05:00;58.5;1.5;;1.5;-3.4;1.0;-2.8
02.01.2019 06:00;62.0;1.6;;1.6;-4.1;1.2;-2.4
02.01.2019 07:00;66.0;1.5;;1.5;-5.0;0.1;-2.4
