Station: Dübendorf-Empa
Vorstädtisch
Stundenmittelwerte, PREC: Stundensummen
MEZ/CET
Quelle: NABEL/MeteoSchweiz
Die Messwerte des laufenden Jahres sind vorläufig und noch nicht abschliessend geprüft.
Datum/Zeit;O3 [ug/m3];NO2 [ug/m3];SO2 [ug/m3];CO [mg/m3];PM10 [ug/m3];PM2.5 [ug/m3];EC [ug/m3];NMVOC [ppm];NOX [ug/m3 eq. NO2];TEMP [C];PREC [mm];RAD [W/m2]
01.01.2019 01:00;42.1;10.1;2.1;0.21;30.9;28.5;0.6;0.1;11.0;5.0;0.0;0.0
01.01.2019 02:00;43.6;8.5;0.9;0.20;19.6;18.8;0.3;0.0;8.9;4.8;0.0;0.0
01.01.2019 03:00;42.3;8.8;0.6;0.21;19.0;18.0;0.3;0.0;9.2;4.7;0.0;0.0
01.01.2019 04:00;44.9;6.8;0.5;0.20;15.8;15.3;0.3;0.0;7.1;4.4;0.0;0.0
01.01.2019 05:00;43.2;7.8;0.5;0.21;17.3;16.9;0.3;0.0;8.3;4.3;0.0;0.0
01.01.2019 06:00;46.2;6.8;0.3;0.19;14.7;14.3;0.2;0.0;7.1;4.3;0.0;0.0
01.01.2019 07:00;49.2;6.5;0.4;0.18;11.5;11.2;0.2;0.0;6.9;4.3;0.0;0.0
01.01.2019 08:00;46.6;6.7;0.5;0.18;10.8;10.5;0.2;0.0;7.4;4.3;0.0;0.0
01.01.2019 09:00;42.4;9.0;0.6;0.19;12.4;12.1;0.2;0.0;9.6;4.4;0.0;4.0
01.01.2019 10:00;43.8;9.5;0.5;0.19;12.4;12.0;0.2;0.0;10.2;4.4;0.0;26.5
01.01.2019 11:00;39.8;10.8;0.6;0.19;11.8;11.4;0.2;0.0;12.0;4.5;0.0;40.1
01.01.2019 12:00;43.1;9.9;0.5;0.19;12.8;12.4;0.2;0.0;11.3;5.0;0.0;101.3
01.01.2019 13:00;48.1;6.5;0.5;0.18;9.0;8.6;0.2;0.0;7.6;5.3;0.0;117.7
01.01.2019 14:00;49.7;6.5;0.5;0.19;7.0;6.6;0.1;0.0;7.7;5.4;0.0;119.4
01.01.2019 15:00;42.1;11.1;0.5;0.18;7.6;7.2;0.2;0.0;12.1;5.5;0.0;38.3
01.01.2019 16:00;36.5;13.9;0.5;0.20;11.1;10.5;0.3;0.0;14.7;5.2;0.0;6.1
01.01.2019 17:00;33.1;15.7;0.5;0.21;7.5;6.9;0.2;0.0;16.4;5.2;0.0;0.8
01.01.2019 18:00;42.3;11.5;0.5;0.19;5.4;4.7;0.2;0.0;12.1;4.9;0.0;0.0
01.01.2019 19:00;54.1;8.3;0.4;0.17;4.1;3.5;0.1;0.0;8.7;5.0;0.0;0.0
01.01.2019 20:00;55.2;6.2;0.3;0.16;1.9;1.7;0.1;0.0;6.6;5.3;0.0;0.0
01.01.2019 21:00;54.4;6.0;0.4;0.19;2.0;1.7;0.1;0.0;6.4;4.8;0.0;-0.1
01.01.2019 22:00;51.5;6.6;0.4;0.17;2.5;2.1;0.1;0.0;7.2;4.9;0.0;0.0
01.01.2019 23:00;48.0;6.1;0.5;0.18;4.0;3.7;0.1;0.0;6.6;5.0;0.0;0.0
02.01.2019 00:00;48.4;5.6;0.4;0.17;3.7;3.4;0.1;0.0;6.0;4.8;0.1;-1.7
02.01.2019 01:00;47.7;5.2;0.5;0.17;4.1;3.4;0.1;0.0;5.7;4.6;0.0;-0.7
02.01.2019 02:00;48.6;4.3;0.4;0.17;4.1;3.7;0.1;0.0;4.6;4.6;0.0;-0.1
02.01.2019 03:00;48.6;5.0;0.4;0.16;3.8;3.4;0.1;0.0;5.2;4.4;0.0;-0.3
02.01.2019 04:00;47.3;4.6;0.4;0.16;4.0;3.4;0.1;0.0;5.0;4.1;0.4;-0.5
02.01.2019 05:00;47.7;8.1;0.5;0.16;4.2;3.4;0.1;0.0;8.6;3.7;0.0;-0.2
02.01.2019 06:00;56.1;8.9;0.5;0.16;3.0;1.8;0.1;0.0;9.2;2.9;0.1;-0.8
02.01.2019 07:00;64.2;6.0;0.5;0.15;3.7;2.4;0.0;0.0;6.4;2.5;0.0;-0.5
02.01.2019 08:00;57.5;15.4;0.7;0.17;5.6;2.9;0.2;0.0;15.7;2.2;0.0;-0.1
02.01.2019 09:00;55.6;19.5;0.8;0.17;6.6;3.4;0.2;0.0;20.2;2.3;0.0;12.2
02.01.2019 10:00;61.3;16.7;0.9;0.16;6.4;3.6;0.1;0.0;17.7;2.8;0.0;39.6
02.01.2019 11:00;66.0;11.7;0.7;0.16;6.9;3.7;0.1;0.0;13.1;3.0;0.0;62.9
02.01.2019 12:00;68.7;8.8;0.6;0.16;8.6;4.6;0.1;0.0;10.0;3.0;0.0;108.6
02.01.2019 13:00;69.0;8.2;0.5;0.16;9.2;4.9;0.1;0.0;9.7;3.4;0.0;170.6
02.01.2019 14:00;65.8;10.4;0.9;0.16;9.1;4.9;0.1;0.0;12.5;3.9;0.0;196.3
02.01.2019 15:00;61.6;13.3;0.9;0.17;9.2;5.2;0.1;0.0;15.5;3.6;0.0;124.3
