Station: Jungfraujoch
Hochgebirge
Stundenmittelwerte, PREC: Stundensummen
MEZ/CET
Quelle: NABEL/MeteoSchweiz
Die Messwerte des laufenden Jahres sind vorläufig und noch nicht abschliessend geprüft.
Datum/Zeit;O3 [ug/m3];NO2 [ug/m3];SO2 [ug/m3];CO [mg/m3];PM10 [ug/m3];PM2.5 [ug/m3];NOX [ug/m3 eq. NO2];TEMP [C];PREC [mm];RAD [W/m2]
01.01.2019 01:00;70.4;0.1;0.0;0.08;0.1;0.1;0.1;-6.2;;0.0
01.01.2019 02:00;70.9;0.0;0.0;0.08;0.1;0.1;0.0;-5.1;;0.0
01.01.2019 03:00;69.3;0.0;0.0;0.07;0.2;0.1;0.0;-4.8;;0.0
01.01.2019 04:00;68.2;0.0;0.0;0.07;0.1;0.0;0.0;-4.5;;0.0
01.01.2019 05:00;69.1;0.0;0.0;0.07;0.1;0.0;0.0;-4.5;;0.0
01.01.2019 06:00;69.7;0.0;0.0;0.07;0.1;0.0;0.0;-4.9;;0.0
01.01.2019 07:00;68.2;0.0;0.0;0.07;0.1;0.0;0.0;-5.2;;0.0
01.01.2019 08:00;66.7;0.0;0.1;0.07;0.1;0.0;0.0;-5.2;;0.0
01.01.2019 09:00;66.0;0.0;0.0;0.07;0.1;0.0;0.0;-5.7;;22.5
01.01.2019 10:00;66.9;0.0;0.0;0.07;0.1;0.0;0.0;-5.7;;208.3
01.01.2019 11:00;67.8;0.0;0.0;0.07;0.2;0.1;0.0;-6.2;;320.8
01.01.2019 12:00;68.9;0.1;0.0;0.07;0.1;0.1;0.2;-6.1;;382.7
01.01.2019 13:00;68.9;;0.0;0.07;0.3;0.1;;-6.4;;409.0
01.01.2019 14:00;69.7;;0.1;0.08;0.3;0.1;;-6.5;;381.0
01.01.2019 15:00;70.4;;0.0;0.08;0.5;0.2;;-6.3;;299.5
01.01.2019 16:00;70.6;;0.0;0.08;0.5;0.2;;-7.3;;154.7
01.01.2019 17:00;70.6;;0.1;0.08;0.4;0.2;;-8.3;;13.3
01.01.2019 18:00;70.1;;0.0;0.08;0.3;0.1;;-8.4;;0.0
01.01.2019 19:00;70.8;;0.0;0.08;0.4;0.1;;-9.4;;0.0
01.01.2019 20:00;73.2;;0.0;0.08;0.3;0.1;;-9.6;;0.0
01.01.2019 21:00;71.1;;0.1;0.08;0.3;0.1;;-10.2;;0.0
01.01.2019 22:00;70.5;;0.0;0.08;0.3;0.1;;-11.3;;0.0
01.01.2019 23:00;72.9;;0.0;0.08;0.3;0.1;;-11.4;;0.0
