Station: Lausanne-César-Roux
Stadt, Verkehr
Stundenmittelwerte, PREC: Stundensummen
MEZ/CET
Quelle: NABEL/MeteoSchweiz
Die Messwerte des laufenden Jahres sind vorläufig und noch nicht abschliessend geprüft.
Datum/Zeit;O3 [ug/m3];NO2 [ug/m3];CO [mg/m3];PM10 [ug/m3];PM2.5 [ug/m3];NOX [ug/m3 eq. NO2];TEMP [C];PREC [mm];RAD [W/m2]
01.01.2019 01:00;19.8;25.7;0.32;18.2;16.8;38.3;5.5;0.0;0.0
01.01.2019 02:00;28.3;18.5;0.27;13.3;12.4;31.4;5.3;0.0;0.0
01.01.2019 03:00;31.1;14.7;0.24;13.9;13.1;21.8;5.2;0.0;0.0
01.01.2019 04:00;27.9;16.1;0.24;13.6;12.8;25.0;4.8;0.0;0.0
01.01.2019 05:00;29.6;10.7;0.23;13.0;12.4;14.6;4.3;0.0;-0.8
01.01.2019 06:00;27.7;16.2;0.22;10.4;9.8;24.0;3.9;0.0;-1.0
01.01.2019 07:00;23.7;16.9;0.23;11.8;10.9;22.4;3.7;0.0;-0.7
01.01.2019 08:00;33.3;8.4;0.21;11.1;10.5;9.6;3.8;0.0;-0.2
01.01.2019 09:00;33.8;8.1;0.22;12.4;11.8;9.5;3.8;0.0;5.0
01.01.2019 10:00;30.4;11.0;0.22;12.5;11.7;13.2;4.1;0.0;28.7
01.01.2019 11:00;26.3;18.1;0.26;13.3;12.6;30.7;4.2;0.0;50.9
01.01.2019 12:00;29.4;16.5;0.27;15.5;14.6;29.0;4.4;0.0;90.5
01.01.2019 13:00;28.8;19.4;0.29;17.8;16.5;41.8;4.5;0.0;113.3
01.01.2019 14:00;31.6;17.5;0.27;16.3;15.3;32.4;4.6;0.0;105.4
01.01.2019 15:00;34.2;21.3;0.30;15.7;14.4;37.5;5.0;0.0;77.7
01.01.2019 16:00;35.9;25.5;0.28;14.8;13.5;43.0;5.0;0.0;31.3
01.01.2019 17:00;34.5;26.9;0.29;14.0;12.7;49.9;4.9;0.0;7.6
