Station: Lugano-Università
Stadt
Stundenmittelwerte, PREC: Stundensummen
MEZ/CET
Quelle: NABEL/MeteoSchweiz
Die Messwerte des laufenden Jahres sind vorläufig und noch nicht abschliessend geprüft.
Datum/Zeit;O3 [ug/m3];NO2 [ug/m3];SO2 [ug/m3];CO [mg/m3];PM10 [ug/m3];PM2.5 [ug/m3];EC [ug/m3];CPC [1/cm3];NMVOC [ppm];NOX [ug/m3 eq. NO2];TEMP [C];PREC [mm];RAD [W/m2]
01.01.2019 01:00;10.3;40.6;3.1;0.50;43.3;39.8;1.9;17551.4;0.2;47.2;4.3;0.0;0.0
01.01.2019 02:00;6.4;44.2;3.5;0.51;40.4;36.5;1.7;16833.1;0.2;56.9;3.9;0.0;0.0
01.01.2019 03:00;5.5;44.6;3.2;0.48;37.1;32.9;1.6;15006.5;0.2;58.3;3.2;0.0;0.0
01.01.2019 04:00;9.4;39.0;3.1;0.43;32.9;29.5;1.5;15480.5;0.1;45.0;2.8;0.0;0.0
01.01.2019 05:00;10.0;38.3;3.3;0.39;29.9;26.6;1.3;13698.0;0.1;44.3;2.9;0.0;0.0
01.01.2019 06:00;7.3;40.1;5.3;0.37;28.5;25.8;1.3;18738.9;0.1;48.3;2.4;0.0;0.0
01.01.2019 07:00;3.9;43.3;7.3;0.38;27.3;25.0;1.2;29289.2;0.1;57.1;2.2;0.0;0.0
01.01.2019 08:00;5.2;41.7;6.7;0.38;27.6;25.0;1.1;28368.7;0.1;55.2;1.7;0.0;0.0
01.01.2019 09:00;8.4;36.8;6.3;0.34;26.6;23.3;1.1;27607.7;0.1;50.0;1.5;0.0;12.0
01.01.2019 10:00;12.7;35.7;7.7;0.37;27.5;24.8;1.2;28498.7;0.1;53.5;2.3;0.0;98.8
01.01.2019 11:00;17.4;37.1;7.2;0.43;36.2;32.2;1.4;19823.2;0.2;59.2;4.3;0.0;217.2
01.01.2019 12:00;25.4;35.0;6.1;0.40;37.2;32.9;1.3;16365.0;0.1;52.8;5.2;0.0;310.0
01.01.2019 13:00;34.8;32.2;4.3;0.40;40.1;34.9;1.3;11875.6;0.1;44.1;6.0;0.0;338.8
01.01.2019 14:00;34.0;33.1;3.7;0.38;42.1;36.7;1.3;9988.1;0.1;44.1;7.0;0.0;309.0
01.01.2019 15:00;37.0;31.4;3.2;0.37;41.3;36.6;1.2;8229.1;0.1;39.2;6.8;0.0;233.7
01.01.2019 16:00;39.3;34.1;3.1;0.36;36.5;32.8;1.2;8495.8;0.1;38.6;7.3;0.0;125.3
01.01.2019 17:00;20.8;49.4;3.2;0.40;37.6;33.8;1.4;12928.4;0.1;54.8;6.6;0.0;23.0
01.01.2019 18:00;9.7;57.5;4.7;0.46;36.9;32.0;1.4;21441.9;0.2;69.7;5.8;0.0;0.0
01.01.2019 19:00;12.1;50.3;4.9;0.50;39.4;33.3;1.6;25448.6;0.2;62.5;4.5;0.0;0.0
01.01.2019 20:00;12.5;45.7;5.5;0.49;40.8;36.6;1.7;27842.3;0.1;53.9;3.9;0.0;0.0
01.01.2019 21:00;12.9;42.8;5.0;0.52;41.3;37.8;1.8;28018.9;0.2;51.8;3.2;0.0;0.0
01.01.2019 22:00;13.5;40.0;4.6;0.51;40.2;37.7;1.8;27781.1;0.1;46.8;2.7;0.0;0.0
01.01.2019 23:00;16.4;34.3;3.8;0.50;42.1;39.8;1.7;23056.8;0.1;39.2;2.4;0.0;0.0
02.01.2019 00:00;15.2;33.5;3.2;0.49;38.4;36.6;1.6;15777.7;0.1;37.5;2.0;0.0;0.0
02.01.2019 01:00;17.9;29.7;2.9;0.45;27.0;32.8;1.3;15545.9;0.1;32.0;1.9;0.0;0.0
02.01.2019 02:00;16.5;30.1;2.9;0.40;25.4;30.7;1.2;12494.7;0.1;32.8;1.8;0.0;0.0
02.01.2019 03:00;24.7;32.3;3.2;0.34;21.8;26.4;0.9;11047.8;0.1;36.2;4.5;0.0;0.0
02.01.2019 04:00;85.2;4.8;0.9;0.14;2.0;0.8;0.0;692.2;0.1;5.1;12.4;0.0;0.0
02.01.2019 05:00;80.9;4.6;0.8;0.14;1.8;0.5;0.0;1175.8;0.1;5.2;11.9;0.0;0.0
02.01.2019 06:00;76.2;6.0;1.1;0.14;0.9;0.4;0.0;2184.8;0.1;6.6;11.7;0.0;0.0
02.01.2019 07:00;68.9;11.2;1.6;0.15;1.8;0.4;0.0;4637.0;0.1;12.4;11.6;0.0;0.0
02.01.2019 08:00;67.5;10.5;1.1;0.15;2.7;0.5;0.0;3860.2;0.1;12.6;11.0;0.0;0.0
02.01.2019 09:00;67.7;11.6;1.2;0.16;2.6;0.9;0.0;3634.0;0.1;13.6;10.3;0.0;12.2
02.01.2019 10:00;69.8;10.6;1.3;0.17;2.1;1.0;0.1;5024.1;0.1;12.4;10.0;0.0;88.7
02.01.2019 11:00;72.8;10.1;1.2;0.17;2.1;0.7;0.0;4732.5;0.1;12.1;10.4;0.0;281.3
02.01.2019 12:00;78.9;8.8;1.0;0.16;2.4;0.9;0.0;3562.8;0.1;11.1;10.3;0.0;357.5
02.01.2019 13:00;80.8;6.6;0.8;0.16;3.8;1.1;0.0;3744.7;0.1;8.3;9.6;0.0;383.2
02.01.2019 14:00;80.0;6.2;0.7;0.15;4.8;1.3;0.0;3772.1;0.1;7.8;9.0;0.0;353.3
02.01.2019 15:00;77.6;7.0;0.7;0.16;3.1;1.1;0.0;3093.4;0.1;8.7;8.9;0.0;272.8
02.01.2019 16:00;73.2;11.0;0.9;0.16;2.1;1.0;0.0;3268.1;0.1;13.4;8.5;0.0;155.3
02.01.2019 17:00;71.2;12.1;1.2;0.17;2.0;1.1;0.1;4961.9;0.1;14.7;7.6;0.0;29.0
02.01.2019 18:00;65.2;18.6;1.5;0.19;2.3;1.3;0.1;7869.8;0.1;21.8;6.8;0.0;0.0
02.01.2019 19:00;65.7;18.0;1.5;0.19;2.9;1.6;0.1;7489.5;0.1;20.4;6.2;0.0;0.0
02.01.2019 20:00;59.9;28.2;1.7;0.20;3.5;1.9;0.1;7657.5;0.1;34.7;5.8;0.0;0.0
02.01.2019 21:00;67.9;12.6;1.4;0.18;2.1;1.3;0.1;7235.5;0.1;14.4;5.9;0.0;0.0
02.01.2019 22:00;72.4;8.4;1.3;0.17;2.0;1.3;0.0;6256.0;0.1;8.7;6.4;0.0;0.0
02.01.2019 23:00;76.1;5.6;0.6;0.16;3.1;1.5;0.0;2981.3;0.1;5.8;6.2;0.0;0.0
03.01.2019 00:00;73.4;4.9;0.4;0.17;2.8;1.2;0.0;1543.2;0.1;5.3;6.2;0.0;0.0
03.01.2019 01:00;72.1;5.0;0.4;0.16;3.6;1.1;0.0;1397.1;0.1;5.4;6.2;0.0;0.0
03.01.2019 02:00;75.1;4.3;0.4;0.16;4.6;1.3;0.0;1115.1;0.1;4.3;6.1;0.0;0.0
03.01.2019 03:00;78.1;3.6;0.4;0.15;3.8;1.4;0.0;1195.1;0.1;3.9;5.9;0.0;0.0
03.01.2019 04:00;79.9;3.0;0.4;0.15;5.8;1.6;0.0;1108.6;0.1;3.5;5.8;0.0;0.0
03.01.2019 05:00;79.5;3.2;0.5;0.15;5.7;1.7;0.0;1393.8;0.1;3.6;5.8;0.0;0.0
03.01.2019 06:00;79.9;3.5;0.6;0.15;4.8;1.6;0.0;2441.1;0.1;3.9;6.2;0.0;0.0
03.01.2019 07:00;78.8;6.2;0.8;0.15;4.1;1.3;0.0;3595.6;0.1;7.3;6.5;0.0;0.0
03.01.2019 08:00;75.0;12.2;1.1;0.17;2.9;1.1;0.1;4028.7;0.1;14.7;6.8;0.0;0.0
03.01.2019 09:00;46.7;46.2;2.6;0.24;4.4;1.4;0.2;14975.4;0.1;57.7;6.2;0.0;11.8
03.01.2019 10:00;56.0;35.4;2.0;0.21;5.0;1.4;0.2;10766.0;0.1;48.4;6.7;0.0;89.8
03.01.2019 11:00;74.9;12.7;1.1;0.17;3.7;1.1;0.1;3982.5;0.1;15.7;8.8;0.0;285.5
03.01.2019 12:00;79.6;7.8;0.8;0.16;3.1;1.0;0.0;4854.7;0.1;9.8;9.5;0.0;343.8
03.01.2019 13:00;;;;;;;0.1;4153.9;;;9.8;0.0;312.0
03.01.2019 14:00;76.3;7.4;0.7;0.15;3.2;1.0;0.1;4891.6;0.1;8.8;10.5;0.0;350.7
03.01.2019 15:00;78.8;6.9;0.8;0.16;4.9;1.1;0.0;5400.7;0.2;8.9;10.3;0.0;275.3
03.01.2019 16:00;79.0;7.4;0.7;0.16;3.5;1.1;0.0;4028.2;0.1;8.7;9.6;0.0;156.8
03.01.2019 17:00;76.7;9.4;0.8;0.17;3.3;1.2;0.1;4696.6;0.1;11.3;8.4;0.0;29.5
03.01.2019 18:00;76.2;9.6;0.8;0.17;3.5;1.3;0.1;5042.7;0.1;11.0;7.3;0.0;0.0
03.01.2019 19:00;74.4;12.3;1.0;0.18;2.7;1.3;0.1;5062.3;0.1;14.3;7.0;0.0;0.0
03.01.2019 20:00;76.9;10.1;1.1;0.17;3.2;1.5;0.1;5333.5;0.1;11.4;6.7;0.0;0.0
03.01.2019 21:00;78.8;7.0;0.9;0.15;2.8;1.3;0.1;4788.7;0.1;7.6;6.4;0.0;0.0
03.01.2019 22:00;75.9;8.6;1.2;0.16;1.7;1.1;0.1;6429.3;0.1;8.7;6.2;0.0;0.0
03.01.2019 23:00;69.9;12.8;1.6;0.18;2.4;1.0;0.1;8586.9;0.1;12.8;5.5;0.0;0.0
04.01.2019 00:00;64.6;16.6;1.3;0.18;2.5;1.2;0.1;6348.8;0.1;17.3;5.2;0.0;0.0
04.01.2019 01:00;52.5;24.1;2.1;0.21;2.7;1.5;0.2;15558.8;0.1;24.6;4.5;0.0;0.0
