Station: Magadino-Cadenazzo
Land, < 1000 m
Stundenmittelwerte, PREC: Stundensummen
MEZ/CET
Quelle: NABEL/MeteoSchweiz
Die Messwerte des laufenden Jahres sind vorläufig und noch nicht abschliessend geprüft.
Datum/Zeit;O3 [ug/m3];NO2 [ug/m3];SO2 [ug/m3];PM10 [ug/m3];PM2.5 [ug/m3];EC [ug/m3];NOX [ug/m3 eq. NO2];TEMP [C];PREC [mm];RAD [W/m2]
01.01.2019 01:00;3.5;31.9;0.9;48.5;41.6;2.8;62.8;-0.9;0.0;0.0
01.01.2019 02:00;3.9;31.8;1.0;51.6;44.9;2.9;64.2;-1.0;0.0;0.0
01.01.2019 03:00;3.8;30.2;1.1;55.4;48.4;3.0;69.2;-1.4;0.0;0.0
01.01.2019 04:00;3.1;28.5;0.9;54.8;48.3;2.7;63.8;-1.4;0.0;0.0
01.01.2019 05:00;2.8;27.6;0.9;57.6;51.0;2.5;61.4;-1.8;0.0;0.0
01.01.2019 06:00;2.3;26.1;0.7;52.5;45.9;2.1;57.2;-2.1;0.0;0.0
01.01.2019 07:00;2.3;28.2;1.1;52.4;45.3;2.1;66.7;-2.4;0.0;0.0
01.01.2019 08:00;2.0;24.6;0.9;52.2;43.6;2.1;60.0;-2.6;0.0;0.0
01.01.2019 09:00;2.6;22.1;1.0;48.2;42.2;2.0;55.6;-2.9;0.0;9.7
01.01.2019 10:00;4.4;21.4;1.2;50.7;42.0;2.0;60.9;-2.3;0.0;54.0
01.01.2019 11:00;6.5;27.3;3.0;52.6;44.6;2.5;85.6;0.2;0.0;189.2
01.01.2019 12:00;12.8;31.6;4.6;52.3;45.3;2.2;76.3;3.1;0.0;287.8
01.01.2019 13:00;22.8;30.7;2.6;53.7;46.6;1.8;54.4;5.0;0.0;319.7
01.01.2019 14:00;28.7;31.5;2.1;54.4;46.9;1.5;48.9;5.8;0.0;296.3
01.01.2019 15:00;29.2;30.4;2.0;51.9;43.6;1.6;45.0;6.1;0.0;207.8
01.01.2019 16:00;14.6;58.4;2.4;50.6;43.2;1.8;95.2;3.7;0.0;37.5
01.01.2019 17:00;6.3;58.2;2.1;50.0;41.9;2.0;93.2;1.2;0.0;9.7
01.01.2019 18:00;3.8;58.9;2.1;50.1;39.6;2.2;115.7;0.3;0.0;0.0
01.01.2019 19:00;3.4;54.2;1.8;47.9;39.1;2.4;104.7;-0.6;0.0;0.0
01.01.2019 20:00;4.1;48.6;1.8;52.4;43.9;2.5;116.0;-0.9;0.0;0.0
01.01.2019 21:00;4.0;44.8;1.7;54.2;45.5;2.7;112.6;-1.8;0.0;0.0
01.01.2019 22:00;3.7;42.9;1.7;52.9;45.2;2.7;106.4;-1.9;0.0;0.0
01.01.2019 23:00;3.7;38.9;1.7;54.6;47.3;2.7;106.2;-2.4;0.0;0.0
02.01.2019 00:00;3.8;34.7;1.7;56.2;48.8;2.7;100.9;-2.9;0.0;0.0
02.01.2019 01:00;3.4;34.9;1.9;44.2;49.4;2.6;96.9;-2.4;0.0;0.0
02.01.2019 02:00;2.8;32.8;1.4;42.2;46.6;2.3;79.9;-2.5;0.0;0.0
02.01.2019 03:00;4.2;32.9;1.3;40.2;44.9;2.1;59.6;-0.8;0.0;0.0
02.01.2019 04:00;28.6;24.8;1.1;27.0;29.3;1.1;28.0;3.8;0.0;0.0
02.01.2019 05:00;74.0;2.7;0.6;4.2;3.4;0.1;3.1;11.5;0.0;0.0
02.01.2019 06:00;76.0;1.2;0.4;1.1;0.3;0.0;1.6;11.7;0.0;0.0
02.01.2019 07:00;72.9;1.8;0.4;2.1;0.4;0.0;2.2;11.1;0.0;0.0
02.01.2019 08:00;71.5;2.4;0.4;1.8;0.4;0.0;2.8;10.8;0.0;0.0
02.01.2019 09:00;72.9;2.4;0.4;2.1;0.8;0.0;2.8;10.1;0.0;12.0
02.01.2019 10:00;73.5;3.9;0.4;2.8;1.2;0.0;4.5;9.5;0.0;30.0
02.01.2019 11:00;77.9;3.1;0.5;2.3;0.6;0.0;3.8;9.7;0.0;231.3
02.01.2019 12:00;84.1;2.1;0.3;2.1;0.7;0.0;2.6;10.5;0.0;348.0
02.01.2019 13:00;85.5;1.7;0.2;2.7;0.9;0.0;2.0;9.8;0.0;363.8
02.01.2019 14:00;84.0;1.3;0.2;4.0;1.1;0.0;1.8;9.2;0.0;341.8
02.01.2019 15:00;82.1;1.7;0.2;2.5;0.9;0.0;2.0;8.8;0.0;250.5
02.01.2019 16:00;80.7;1.8;0.1;3.0;1.0;0.0;2.3;7.9;0.0;37.7
02.01.2019 17:00;78.9;3.2;0.2;2.2;1.0;0.0;3.3;7.1;0.0;18.7
02.01.2019 18:00;77.7;3.3;0.2;3.0;1.3;0.0;3.5;6.5;0.0;0.0
02.01.2019 19:00;77.7;3.5;0.2;2.1;1.3;0.0;3.7;6.0;0.0;0.0
02.01.2019 20:00;77.0;3.4;0.3;2.6;1.3;0.0;3.6;6.5;0.0;0.0
02.01.2019 21:00;75.8;3.2;0.3;1.8;1.0;0.0;3.5;6.3;0.0;0.0
02.01.2019 22:00;76.9;3.1;0.2;2.3;1.2;0.0;3.2;5.9;0.0;0.0
02.01.2019 23:00;77.9;2.7;0.2;1.9;1.2;0.0;2.8;6.3;0.0;0.0
03.01.2019 00:00;74.6;2.8;0.2;1.7;0.9;0.0;3.2;6.6;0.0;0.0
03.01.2019 01:00;75.2;2.6;0.2;2.0;0.9;0.0;2.8;6.7;0.0;0.0
03.01.2019 02:00;78.9;1.7;0.1;3.6;1.2;0.0;2.1;6.8;0.0;0.0
03.01.2019 03:00;81.6;1.3;0.1;2.5;1.3;0.0;1.6;6.8;0.0;0.0
03.01.2019 04:00;81.3;1.2;0.2;2.6;1.5;0.0;1.5;6.0;0.0;0.0
