Station: Payerne
Land, < 1000 m
Stundenmittelwerte, PREC: Stundensummen
MEZ/CET
Quelle: NABEL/MeteoSchweiz
Die Messwerte des laufenden Jahres sind vorläufig und noch nicht abschliessend geprüft.
Datum/Zeit;O3 [ug/m3];NO2 [ug/m3];SO2 [ug/m3];CO [mg/m3];PM10 [ug/m3];PM2.5 [ug/m3];EC [ug/m3];NOX [ug/m3 eq. NO2];TEMP [C];PREC [mm];RAD [W/m2]
01.01.2019 01:00;19.7;15.3;0.5;0.25;17.0;14.2;0.7;15.4;4.7;0.0;0.0
01.01.2019 02:00;31.2;11.2;0.5;0.22;14.7;12.0;0.4;11.3;4.9;0.0;0.0
01.01.2019 03:00;40.0;7.5;0.4;0.18;10.5;8.9;0.2;7.6;4.9;0.0;0.0
01.01.2019 04:00;40.8;7.2;0.4;0.18;9.7;8.4;0.2;7.3;4.7;0.0;0.0
01.01.2019 05:00;40.0;7.5;0.3;0.18;11.5;9.9;0.2;7.5;4.5;0.0;0.0
01.01.2019 06:00;38.3;7.9;0.4;0.18;11.4;9.7;0.2;8.0;4.4;0.0;0.0
01.01.2019 07:00;37.6;9.1;0.5;0.17;9.7;8.2;0.2;9.2;4.3;0.0;0.0
01.01.2019 08:00;43.5;7.0;0.3;0.17;10.6;9.2;0.2;7.0;4.2;0.0;0.0
01.01.2019 09:00;45.7;6.8;0.3;0.17;10.7;9.2;0.2;6.9;4.2;0.0;0.3
01.01.2019 10:00;46.8;7.1;0.3;0.17;11.3;9.7;0.2;7.2;4.1;0.0;11.8
01.01.2019 11:00;46.7;7.3;0.3;0.17;11.5;9.9;0.2;7.6;4.0;0.0;28.2
01.01.2019 12:00;45.8;6.4;0.2;0.17;10.6;9.1;0.2;6.8;4.2;0.0;74.3
01.01.2019 13:00;46.9;6.0;0.2;0.16;8.9;7.6;0.1;6.4;4.2;0.0;79.7
01.01.2019 14:00;46.2;6.0;0.2;0.16;8.0;6.8;0.2;6.5;4.2;0.0;87.5
01.01.2019 15:00;44.6;6.2;0.2;0.16;8.1;6.9;0.2;6.6;4.1;0.0;60.3
01.01.2019 16:00;43.0;6.5;0.2;0.17;8.0;6.7;0.2;6.8;4.5;0.0;39.7
01.01.2019 17:00;44.9;7.2;0.1;0.16;7.6;6.2;0.2;7.3;4.5;0.0;7.0
01.01.2019 18:00;44.0;8.0;0.2;0.17;7.4;6.3;0.2;8.2;4.4;0.0;0.0
01.01.2019 19:00;39.1;8.8;0.2;0.21;8.4;6.9;0.2;8.9;4.2;0.0;0.0
01.01.2019 20:00;34.2;10.8;0.2;0.21;9.8;8.2;0.3;10.9;4.0;0.0;0.0
01.01.2019 21:00;32.9;8.6;0.2;0.24;9.4;7.9;0.3;8.7;4.0;0.0;0.0
01.01.2019 22:00;37.7;6.6;0.2;0.19;7.7;6.3;0.2;6.7;4.2;0.0;0.0
01.01.2019 23:00;31.9;7.9;0.2;0.26;9.3;7.7;0.3;8.0;3.6;0.0;0.0
02.01.2019 00:00;32.2;8.4;0.2;0.19;8.1;6.4;0.2;8.5;2.4;0.0;0.0
02.01.2019 01:00;32.7;6.6;0.2;0.18;8.8;6.5;0.2;6.6;1.8;0.0;0.0
02.01.2019 02:00;33.3;5.2;0.2;0.17;7.5;5.3;0.1;5.2;1.7;0.0;0.0
02.01.2019 03:00;33.0;5.2;0.2;0.16;6.6;4.8;0.1;5.3;2.1;0.0;0.0
02.01.2019 04:00;26.1;7.1;0.2;0.17;7.1;5.1;0.2;7.2;1.9;0.0;0.0
02.01.2019 05:00;24.9;7.5;0.2;0.17;7.9;5.5;0.2;7.7;1.7;0.0;0.0
02.01.2019 06:00;39.5;5.3;0.2;0.16;5.8;4.1;0.1;5.4;2.2;0.0;0.0
02.01.2019 07:00;31.9;7.1;0.2;0.16;5.4;3.9;0.1;7.2;1.7;0.0;0.0
02.01.2019 08:00;40.1;9.8;0.5;0.16;4.5;3.3;0.1;9.9;2.1;0.0;0.0
02.01.2019 09:00;64.2;6.3;0.3;0.15;3.4;2.2;0.1;6.4;2.3;0.0;1.0
02.01.2019 10:00;62.2;4.5;0.2;0.15;4.1;2.3;0.1;4.6;2.3;0.0;24.2
02.01.2019 11:00;68.8;4.0;0.1;0.15;5.3;2.7;0.1;4.3;2.6;0.0;90.0
02.01.2019 12:00;76.1;3.0;0.1;0.14;7.7;3.6;0.1;3.4;2.7;0.0;136.0
02.01.2019 13:00;79.8;2.2;0.1;0.15;8.4;3.8;0.1;2.6;3.6;0.0;365.5
02.01.2019 14:00;76.5;3.2;0.1;0.15;8.1;3.6;0.1;3.6;3.5;0.0;126.7
02.01.2019 15:00;76.2;3.0;0.2;0.15;8.0;3.8;0.1;3.3;3.8;0.0;213.2
02.01.2019 16:00;71.5;4.7;0.2;0.16;9.1;4.3;0.1;5.0;3.0;0.0;60.5
02.01.2019 17:00;68.5;6.1;0.2;0.16;9.9;4.8;0.2;6.2;2.5;0.0;13.0
02.01.2019 18:00;57.4;14.1;0.6;0.20;11.1;5.5;0.5;14.2;2.0;0.0;0.0
02.01.2019 19:00;44.8;21.7;0.5;0.21;11.9;5.8;0.4;21.8;1.6;0.0;0.0
02.01.2019 20:00;38.1;23.3;0.5;0.40;17.7;7.6;0.5;24.1;1.1;0.0;0.0
02.01.2019 21:00;43.7;17.0;0.4;0.33;12.0;6.7;0.4;17.1;0.1;0.0;0.0
02.01.2019 22:00;43.3;12.9;0.2;0.39;9.9;5.7;0.3;13.0;-0.5;0.0;0.0
02.01.2019 23:00;33.7;16.3;0.3;0.36;10.5;6.4;0.4;16.5;-1.0;0.0;0.0
03.01.2019 00:00;47.9;9.3;0.3;0.27;10.7;6.3;0.3;9.4;-0.1;0.0;0.0
03.01.2019 01:00;56.8;6.5;0.2;0.18;9.5;5.5;0.2;6.6;-0.4;0.0;0.0
03.01.2019 02:00;55.7;7.5;0.3;0.18;10.1;5.6;0.2;7.6;-0.7;0.0;0.0
03.01.2019 03:00;53.3;7.4;0.3;0.18;10.2;5.6;0.2;7.4;-0.8;0.0;0.0
03.01.2019 04:00;52.1;8.2;0.3;0.18;11.5;6.0;0.2;8.3;-1.0;0.0;0.0
03.01.2019 05:00;49.2;9.5;0.3;0.18;11.3;6.3;0.2;9.6;-1.3;0.0;0.0
03.01.2019 06:00;48.1;9.3;0.4;0.18;11.8;6.6;0.2;9.4;-1.6;0.0;0.0
03.01.2019 07:00;48.3;8.5;0.3;0.18;11.6;6.7;0.2;8.6;-1.5;0.0;0.0
03.01.2019 08:00;50.6;8.2;0.2;0.17;10.2;5.8;0.2;8.3;-2.0;0.0;0.0
03.01.2019 09:00;47.0;11.4;0.3;0.19;11.3;6.1;0.3;12.0;-2.4;0.0;7.3
03.01.2019 10:00;;;;;12.3;7.0;0.3;;-1.6;0.0;122.7
