Station: Rigi-Seebodenalp
Land, > 1000 m
Stundenmittelwerte, PREC: Stundensummen
MEZ/CET
Quelle: NABEL/MeteoSchweiz
Die Messwerte des laufenden Jahres sind vorläufig und noch nicht abschliessend geprüft.
Datum/Zeit;O3 [ug/m3];NO2 [ug/m3];SO2 [ug/m3];CO [mg/m3];PM10 [ug/m3];PM2.5 [ug/m3];CPC [1/cm3];NOX [ug/m3 eq. NO2];TEMP [C];PREC [mm];RAD [W/m2]
01.01.2019 01:00;50.4;3.6;0.1;0.17;2.1;2.9;864.7;3.7;0.9;0.0;-0.1
01.01.2019 02:00;49.5;4.1;0.1;0.17;3.0;4.0;999.5;4.2;1.4;0.0;-0.1
01.01.2019 03:00;48.1;5.2;0.1;0.19;3.7;5.1;1319.0;5.2;1.7;0.0;-0.3
01.01.2019 04:00;40.6;6.0;0.1;0.20;4.9;6.9;1530.9;6.0;1.9;0.0;-0.7
01.01.2019 05:00;41.6;5.5;0.1;0.19;4.6;6.4;1313.6;5.6;1.7;0.0;-1.8
01.01.2019 06:00;52.5;2.9;0.0;0.15;2.3;3.1;670.6;2.9;0.8;0.0;-3.3
01.01.2019 07:00;55.0;3.0;0.1;0.15;2.5;3.5;687.2;3.0;1.2;0.0;-1.7
01.01.2019 08:00;51.3;3.6;0.1;0.16;4.1;5.7;827.6;3.7;1.5;0.0;-0.7
01.01.2019 09:00;44.4;4.1;0.1;0.17;3.9;5.5;975.8;4.2;1.5;0.0;4.1
01.01.2019 10:00;44.9;4.0;0.1;0.17;4.2;5.9;926.5;4.3;1.3;0.0;11.9
01.01.2019 11:00;34.7;6.3;0.1;0.20;5.3;7.4;1487.4;6.9;1.3;0.0;51.8
01.01.2019 12:00;;;;;3.2;4.5;1375.4;;1.6;0.0;167.1
01.01.2019 13:00;37.6;;0.0;;2.6;3.6;1028.6;;1.6;0.0;185.9
01.01.2019 14:00;39.5;4.6;0.0;0.18;3.0;4.0;954.1;5.6;1.3;0.0;103.7
01.01.2019 15:00;43.5;3.9;0.0;0.17;2.7;3.6;970.1;4.7;1.9;0.0;178.7
01.01.2019 16:00;40.4;5.4;0.0;0.18;3.0;4.1;1199.6;5.8;1.0;0.0;31.7
01.01.2019 17:00;44.4;4.3;0.0;0.18;3.5;4.9;1041.9;4.4;0.7;0.0;0.2
01.01.2019 18:00;43.6;4.4;0.0;0.18;4.0;5.4;1073.2;4.4;0.7;0.0;-2.2
01.01.2019 19:00;42.4;5.1;0.0;0.18;4.0;5.5;1356.6;5.1;0.6;0.0;-2.5
01.01.2019 20:00;43.8;5.0;0.0;0.19;3.6;5.1;1222.5;5.0;0.3;0.0;-2.7
01.01.2019 21:00;47.1;4.5;0.0;0.18;4.0;5.5;1067.7;4.5;0.1;0.0;-2.1
01.01.2019 22:00;47.6;4.1;0.0;0.17;3.7;5.1;1069.0;4.1;0.0;0.0;-2.0
01.01.2019 23:00;51.5;3.4;0.0;0.17;3.5;4.9;625.4;3.4;0.1;0.0;-1.8
02.01.2019 00:00;56.4;3.0;0.0;0.16;2.7;3.7;563.1;3.0;0.5;0.0;-0.5
02.01.2019 01:00;52.1;3.2;0.0;0.15;4.5;3.8;701.8;3.2;0.5;0.1;-0.2
02.01.2019 02:00;60.8;2.4;0.0;0.14;3.5;2.8;492.2;2.4;0.4;0.2;-0.3
