Station: Zürich-Kaserne
Stadt
Stundenmittelwerte, PREC: Stundensummen
MEZ/CET
Quelle: NABEL/MeteoSchweiz
Die Messwerte des laufenden Jahres sind vorläufig und noch nicht abschliessend geprüft.
Datum/Zeit;O3 [ug/m3];NO2 [ug/m3];SO2 [ug/m3];CO [mg/m3];PM10 [ug/m3];PM2.5 [ug/m3];EC [ug/m3];NMVOC [ppm];NOX [ug/m3 eq. NO2];TEMP [C];PREC [mm];RAD [W/m2]
01.01.2019 01:00;39.5;13.4;1.1;0.22;32.0;22.5;0.3;0.0;14.6;5.5;0.0;-0.4
01.01.2019 02:00;37.5;16.7;1.1;0.23;30.2;20.8;0.3;0.0;17.6;5.2;0.0;-0.4
01.01.2019 03:00;34.9;19.0;1.1;0.23;37.4;25.9;0.3;0.0;20.2;5.2;0.0;-0.9
01.01.2019 04:00;41.8;12.5;0.8;0.21;31.6;21.7;0.2;0.0;13.1;5.0;0.0;-0.8
01.01.2019 05:00;41.7;12.0;0.7;0.21;29.1;20.4;0.2;0.0;12.7;5.0;0.0;-0.9
01.01.2019 06:00;38.3;16.0;0.8;0.23;23.8;16.4;0.2;0.1;18.2;5.0;0.0;-0.7
01.01.2019 07:00;35.3;20.7;0.9;0.22;25.2;17.7;0.2;0.1;24.7;5.0;0.0;-0.7
01.01.2019 08:00;40.7;13.6;0.7;0.20;22.4;15.6;0.2;0.0;14.6;4.8;0.0;-0.8
01.01.2019 09:00;42.4;13.0;0.7;0.21;14.8;10.1;0.1;0.0;14.5;4.7;0.0;4.9
01.01.2019 10:00;38.8;15.1;0.7;0.20;15.4;10.7;0.2;0.0;18.2;4.6;0.0;30.1
01.01.2019 11:00;38.6;14.2;0.8;0.21;18.4;12.8;0.2;0.0;17.1;5.1;0.0;71.5
01.01.2019 12:00;43.0;11.2;0.8;0.21;15.0;10.7;0.2;0.0;13.9;5.3;0.0;108.6
01.01.2019 13:00;45.4;9.3;0.6;0.20;11.3;8.1;0.1;0.0;11.0;5.2;0.0;117.8
01.01.2019 14:00;50.4;8.3;0.6;0.19;8.7;6.1;0.1;0.0;9.8;5.6;0.0;168.2
01.01.2019 15:00;41.9;11.9;0.6;0.20;11.2;7.5;0.2;0.0;14.1;5.8;0.0;44.1
01.01.2019 16:00;37.1;14.5;0.7;0.21;14.5;9.9;0.2;0.0;16.4;5.7;0.0;7.2
01.01.2019 17:00;32.3;17.5;0.8;0.24;9.6;6.5;0.2;0.0;20.6;5.7;0.0;0.9
01.01.2019 18:00;41.1;15.2;0.7;0.24;7.9;5.2;0.2;0.0;18.4;5.3;0.0;-1.1
01.01.2019 19:00;52.4;12.2;0.7;0.19;6.6;3.9;0.2;0.0;13.4;5.3;0.0;-1.2
01.01.2019 20:00;54.0;10.4;0.6;0.18;3.9;2.4;0.1;0.0;11.5;5.6;0.0;-1.8
01.01.2019 21:00;50.3;12.8;0.6;0.19;4.0;2.3;0.1;0.0;14.4;5.1;0.0;-1.5
01.01.2019 22:00;48.7;10.7;0.6;0.19;4.2;2.7;0.1;0.0;11.3;5.2;0.0;-1.4
01.01.2019 23:00;49.0;8.3;0.6;0.19;5.8;3.7;0.1;0.0;8.7;5.4;0.0;-1.6
02.01.2019 00:00;46.0;9.3;0.5;0.19;5.5;3.7;0.1;0.0;10.0;5.1;0.0;-2.5
02.01.2019 01:00;45.9;8.6;0.4;0.19;5.3;3.8;0.1;0.0;9.4;5.0;0.0;-2.3
02.01.2019 02:00;47.4;7.9;0.4;0.19;5.4;4.0;0.1;0.0;8.9;5.0;0.0;-1.3
02.01.2019 03:00;49.3;7.4;0.4;0.18;4.5;3.2;0.1;0.0;8.2;4.7;0.0;-2.3
02.01.2019 04:00;46.3;9.0;0.4;0.18;4.5;3.0;0.1;0.0;10.5;4.7;0.0;-2.4
02.01.2019 05:00;47.8;12.4;0.6;0.17;4.5;2.9;0.1;0.0;14.3;4.4;0.1;-2.1
02.01.2019 06:00;46.0;15.2;0.5;0.17;3.6;2.2;0.1;0.0;17.1;3.9;0.1;-2.1
02.01.2019 07:00;62.6;12.6;0.6;0.16;4.2;2.2;0.0;0.0;14.3;3.2;0.0;-2.6
02.01.2019 08:00;65.4;15.1;0.7;0.16;6.8;2.9;0.1;0.0;16.6;3.1;0.0;-2.2
02.01.2019 09:00;66.1;15.8;1.0;0.17;7.7;3.3;0.1;0.0;17.8;3.2;0.0;8.5
02.01.2019 10:00;59.0;20.6;1.0;0.18;7.6;3.4;0.1;0.0;23.0;3.1;0.0;44.5
02.01.2019 11:00;61.8;18.4;1.0;0.19;9.2;4.0;0.1;0.0;21.2;3.2;0.0;71.1
02.01.2019 12:00;67.2;14.0;0.9;0.18;11.7;4.5;0.1;0.0;16.8;3.4;0.0;105.4
02.01.2019 13:00;68.9;11.3;0.7;0.18;12.0;4.9;0.1;0.0;13.3;3.6;0.0;147.2
02.01.2019 14:00;66.3;12.4;0.9;0.19;12.2;5.2;0.1;0.0;15.9;4.2;0.0;256.3
02.01.2019 15:00;61.2;16.6;0.8;0.20;12.3;5.2;0.2;0.0;20.1;4.0;0.0;130.2
02.01.2019 16:00;58.2;18.8;0.8;0.20;11.7;5.4;0.2;0.0;21.9;3.5;0.0;56.5
02.01.2019 17:00;54.7;20.5;0.9;0.22;12.3;5.7;0.2;0.0;23.1;3.4;0.0;6.7
02.01.2019 18:00;51.5;23.4;0.9;0.22;12.1;5.8;0.3;0.0;26.2;3.0;0.0;-2.0
02.01.2019 19:00;38.1;36.2;1.0;0.24;11.5;5.7;0.3;0.1;40.7;2.5;0.0;-2.7
02.01.2019 20:00;39.6;35.4;1.3;0.24;11.2;5.9;0.3;0.1;38.9;2.6;0.0;-1.3
02.01.2019 21:00;51.4;24.2;0.8;0.23;7.8;4.0;0.2;0.0;25.8;1.1;1.2;-1.9
02.01.2019 22:00;44.9;29.6;0.9;0.24;8.4;4.7;0.3;0.1;31.7;1.1;0.0;-2.5
02.01.2019 23:00;36.9;34.0;0.9;0.24;9.4;5.2;0.3;0.1;36.0;0.9;0.0;-3.0
03.01.2019 00:00;28.2;40.1;0.9;0.25;10.4;6.0;0.3;0.1;41.5;0.5;0.0;-2.9
03.01.2019 01:00;29.4;36.8;1.1;0.23;12.1;5.7;0.2;0.1;37.7;0.1;0.0;-3.0
03.01.2019 02:00;24.2;36.7;1.1;0.22;10.1;5.2;0.3;0.0;37.2;-0.3;0.0;-3.0
03.01.2019 03:00;12.6;44.9;1.3;0.23;10.7;5.3;0.2;0.1;46.1;-0.8;0.0;-2.9
03.01.2019 04:00;18.2;38.5;1.5;0.21;10.3;5.3;0.2;0.0;39.7;-1.1;0.0;-3.0
03.01.2019 05:00;12.6;44.5;1.7;0.23;10.7;5.5;0.2;0.1;49.9;-1.3;0.0;-2.8
03.01.2019 06:00;2.3;55.4;2.3;0.28;12.3;6.1;0.3;0.1;71.6;-1.5;0.0;-2.7
03.01.2019 07:00;1.2;55.7;2.5;0.29;11.8;6.1;0.4;0.1;87.2;-1.8;0.0;-2.7
03.01.2019 08:00;1.0;58.5;2.7;0.29;13.5;6.6;0.4;0.1;102.9;-1.9;0.0;-2.6
03.01.2019 09:00;2.4;59.4;3.3;0.35;14.4;7.5;0.6;0.1;122.9;-2.1;0.0;24.3
03.01.2019 10:00;12.0;49.8;2.9;0.31;17.4;9.5;0.5;0.1;94.3;-1.9;0.0;123.1
03.01.2019 11:00;13.2;51.8;3.5;0.34;18.2;10.2;0.6;0.1;115.9;-1.2;0.0;187.4
03.01.2019 12:00;36.7;35.3;2.7;0.27;16.1;9.1;0.4;0.1;67.5;-0.1;0.0;306.8
