date, pm25, pm10, no2, co
2020/3/3, 70, 27, 41, 
2020/3/4, 74, 25, 31, 
2020/3/5, 65, 29, 33, 
2020/3/6, 74, 34, 38, 
2020/3/7, 91, 20, 30, 
2020/3/8, 63, 30, 33, 
2020/3/9, 76, 31, 39, 
2020/3/10, 72, 23, 34, 
2020/3/11, 50, 29, 30, 
2020/3/12, 65, 15, 23, 
2020/3/13, 30, 27, 15, 
2020/3/14, 93, 23, 22, 
2020/3/15, 65, 28, 26, 
2020/3/16, 80, 40, 26, 
2020/3/17, 97, 45, 38, 
2020/3/18, 112, 42, 39, 
2020/3/19, 102, 49, 35, 
2020/3/20, 114, 33, 26, 
2020/3/21, 78, 30, 9, 
2020/3/22, 78, 20, 16, 
2020/3/23, 53, 22, 24, 
2020/3/24, 57, 20, 17, 
2020/3/25, 55, 21, 19, 
2020/3/26, 59, , , 
2020/2/1, 153, 46, 25, 
2020/2/2, 89, 49, 37, 
2020/2/3, 107, 48, 22, 
2020/2/4, 99, 23, 43, 
2020/2/5, 61, 33, 41, 
2020/2/6, 78, 50, 48, 
2020/2/7, 95, 55, 41, 
2020/2/8, 127, 66, 41, 
2020/2/9, 158, 59, 35, 
2020/2/10, 153, 41, 39, 
2020/2/11, 87, 29, 51, 
2020/2/12, 59, 45, 33, 
2020/2/13, 74, 34, 42, 
2020/2/14, 95, 57, 35, 
2020/2/15, 139, 55, 33, 
2020/2/16, 154, 51, 35, 
2020/2/17, 122, 57, 32, 
2020/2/18, 142, 55, 41, 
2020/2/19, 129, 30, 41, 
2020/2/20, 61, 51, 39, 
2020/2/21, 99, 55, 39, 
2020/2/22, 119, 48, 34, 
2020/2/23, 107, 49, 30, 
2020/2/24, 104, 60, 35, 
2020/2/25, 139, 40, 24, 
2020/2/26, 89, 18, 35, 
2020/2/27, 38, 16, 36, 
2020/2/28, 42, 29, 31, 
2020/2/29, 70, , , 
2020/1/1, 202, 64, 36, 
2020/1/2, 151, 64, 47, 
2020/1/3, 152, 51, 35, 
2020/1/4, 119, 46, 43, 
2020/1/5, 102, 48, 31, 
2020/1/6, 114, 55, 31, 
2020/1/7, 132, 58, 33, 
2020/1/8, 134, 71, 53, 
2020/1/9, 155, 79, 52, 
2020/1/10, 161, 73, 55, 
2020/1/11, 159, 55, 44, 
2020/1/12, 142, 65, 39, 
2020/1/13, 154, 74, 48, 
2020/1/14, 161, 71, 31, 
2020/1/15, 160, 74, 41, 
2020/1/16, 161, 64, 41, 
2020/1/17, 154, 21, 34, 
2020/1/18, 68, 44, 36, 
2020/1/19, 109, 25, 43, 
2020/1/20, 59, 52, 61, 
2020/1/21, 97, 55, 39, 
2020/1/22, 109, 58, 48, 
2020/1/23, 137, 71, 55, 
2020/1/24, 159, 68, 40, 
2020/1/25, 158, 68, 33, 
2020/1/26, 161, 74, 57, 
2020/1/27, 162, 58, 32, 
2020/1/28, 144, 47, 43, 
2020/1/29, 80, 49, 44, 
2020/1/30, 104, 69, 45, 
2020/1/31, 153, 62, 33, 
2019/10/1, 55, 17, 29, 
2019/10/2, 30, 17, 38, 
2019/10/3, 34, 27, 31, 
2019/10/4, 55, 37, 38, 
2019/10/5, 68, 40, 27, 
2019/10/6, 87, 12, 28, 
2019/10/7, 21, 31, 35, 
2019/10/8, 65, 32, 31, 
2019/10/9, 70, 33, 37, 
2019/10/10, 78, 44, 31, 
2019/10/11, 89, 53, 39, 
2019/10/12, 112, 56, 37, 
2019/10/13, 127, 53, 35, 
2019/10/14, 114, 46, 26, 
2019/10/15, 97, 16, 44, 
2019/10/16, 13, 28, 38, 
2019/10/17, 50, 16, 37, 
2019/10/18, 53, 25, 24, 
2019/10/19, 59, 15, 18, 
2019/10/20, 46, 13, 35, 
2019/10/21, 21, 27, 33, 
2019/10/22, 55, 47, 43, 
2019/10/23, 82, 30, 30, 
2019/10/24, 70, 24, 30, 
2019/10/25, 46, 27, 36, 
2019/10/26, 57, 29, 37, 
2019/10/27, 61, 45, 32, 
2019/10/28, 91, 42, 33, 
2019/10/29, 102, 31, 21, 
2019/10/30, 72, 26, 23, 
2019/10/31, 63, 23, 22, 
2019/11/1, 57, 30, 20, 
