Datum/Zeit;O3 [ug/m3];NO2 [ug/m3];PM10 [ug/m3];NOX [ug/m3 eq. NO2];TEMP [C];PREC [mm];RAD [W/m2]
01.01.2000;71.0;2.0;;2.8;-0.9;0.0;44.8
02.01.2000;80.0;2.3;;3.0;-0.7;0.0;52.3
03.01.2000;83.5;5.6;;6.7;-2.2;;75.8
04.01.2000;83.1;4.1;;5.2;0.1;0.5;79.5
05.01.2000;75.0;3.0;;3.9;2.2;1.9;63.2
06.01.2000;76.1;4.8;;6.5;0.4;0.0;62.7
07.01.2000;78.3;2.9;;3.8;1.9;0.0;42.5
08.01.2000;79.3;6.3;;7.8;-0.0;0.0;68.6
09.01.2000;76.8;6.4;;7.6;0.8;0.1;37.6
10.01.2000;45.1;11.2;;12.8;-1.8;0.8;30.5
11.01.2000;50.4;24.9;;32.8;-2.4;0.0;29.2
12.01.2000;43.8;18.7;;21.8;-3.8;0.0;31.0
13.01.2000;59.9;17.3;;19.6;-3.8;0.0;53.8
14.01.2000;93.9;12.3;;14.1;-2.2;0.0;86.9
15.01.2000;93.8;11.0;;13.7;-1.9;0.0;87.4
16.01.2000;88.1;12.1;;13.7;-5.6;0.0;22.3
17.01.2000;85.2;6.6;;7.6;-2.1;0.0;70.2
18.01.2000;63.4;10.6;;11.9;-1.2;1.2;25.4
19.01.2000;78.0;6.3;;7.4;-4.2;0.2;71.6
20.01.2000;72.5;9.2;;11.8;-5.1;0.0;93.1
21.01.2000;69.2;7.3;;8.4;-3.7;0.1;38.0
22.01.2000;68.8;7.5;;8.6;-2.8;4.9;21.8
23.01.2000;73.0;4.0;;4.9;-3.6;1.5;33.5
24.01.2000;75.2;10.8;;13.9;-8.6;0.0;42.6
25.01.2000;81.8;13.7;;16.7;-12.1;0.0;89.1
26.01.2000;100.0;7.6;;9.0;-7.4;0.0;106.8
27.01.2000;103.0;4.8;;6.0;-4.5;0.1;108.9
28.01.2000;92.7;4.6;;5.7;-1.3;0.0;59.8
29.01.2000;91.8;4.3;;5.3;1.0;8.1;17.7
30.01.2000;83.9;2.0;;3.0;3.4;9.1;18.3
31.01.2000;85.7;3.0;;4.2;3.8;0.0;79.3
01.02.2000;72.8;4.4;;5.6;6.5;0.0;111.5
02.02.2000;84.7;7.6;;8.8;4.2;5.9;15.0
03.02.2000;80.0;4.3;;5.4;-0.6;0.0;122.4
04.02.2000;89.6;8.8;;11.1;0.2;0.0;117.7
05.02.2000;101.0;4.4;;6.0;5.6;0.0;108.7
06.02.2000;101.3;4.8;;5.6;5.9;0.0;90.1
07.02.2000;106.5;4.8;;5.5;2.6;0.0;29.5
08.02.2000;92.1;3.1;;3.8;3.7;29.2;23.6
09.02.2000;90.7;2.8;;3.5;-0.4;1.0;83.3
10.02.2000;92.4;5.6;;7.5;1.3;0.2;127.0
11.02.2000;77.9;8.1;;9.4;-0.7;9.5;28.6
12.02.2000;78.8;6.2;;7.1;-2.9;0.0;41.0
13.02.2000;79.2;3.0;;3.7;-0.6;8.7;32.6
14.02.2000;80.3;3.5;;4.7;1.2;0.5;96.7
15.02.2000;90.8;3.5;;4.4;2.0;10.9;71.9
16.02.2000;91.4;1.9;;2.7;-1.4;12.0;69.4
17.02.2000;85.2;2.4;;3.5;-4.3;10.6;67.7
18.02.2000;85.4;4.4;;5.8;-1.9;10.0;38.7
19.02.2000;89.5;2.1;;2.9;-0.5;14.2;43.0
