Datum/Zeit,O3 [ug/m3],NO2 [ug/m3],SO2 [ug/m3],CO [mg/m3],PM10 [ug/m3],PM2.5 [ug/m3],NOX [ug/m3 eq. NO2],TEMP [C],PREC [mm],RAD [W/m2]
01.01.2000,74.0,0.1,,,,,0.1,-14.1,,37.7
02.01.2000,67.8,0.1,,,,,0.1,-9.6,,49.1
03.01.2000,67.7,0.1,,,,,0.1,-8.3,,98.1
04.01.2000,73.5,0.1,,,,,0.1,-8.0,,89.8
05.01.2000,74.0,0.1,,,,,0.1,-9.4,,80.4
06.01.2000,71.0,0.1,,,,,0.1,-7.9,,68.3
07.01.2000,60.9,0.1,,,,,0.1,-10.0,,88.8
08.01.2000,86.1,0.1,,,,,0.1,-10.1,,81.2
09.01.2000,75.2,0.1,,,,,0.1,-13.1,,42.8
10.01.2000,61.9,0.1,,,,,0.1,-12.6,,47.8
11.01.2000,91.0,0.1,,,,,0.1,-13.4,,109.7
12.01.2000,104.4,,,,,,,-9.3,,94.7
13.01.2000,72.0,,,,,,,-12.3,,95.4
14.01.2000,71.7,,,,,,,-13.9,,96.1
15.01.2000,70.9,0.2,,,,,0.2,-11.7,,85.1
16.01.2000,77.5,0.1,,,,,0.1,-10.8,,98.2
17.01.2000,77.0,0.1,,,,,0.1,-9.9,,98.7
18.01.2000,63.4,0.6,,,,,0.6,-13.2,,16.5
19.01.2000,68.3,0.4,,,,,0.4,-16.4,,82.8
20.01.2000,72.6,,,,,,,-14.6,,66.2
21.01.2000,72.2,,,,,,,-15.6,,52.2
22.01.2000,76.8,,,,,,,-17.3,,47.9
23.01.2000,57.4,,,,,,,-20.0,,34.2
24.01.2000,74.0,,,,,,,-21.3,,121.1
25.01.2000,73.9,0.1,,,,,0.1,-19.6,,120.2
26.01.2000,77.8,0.1,,,,,0.1,-12.5,,119.9
27.01.2000,76.3,0.1,,,,,0.1,-12.8,,122.6
28.01.2000,80.5,0.1,,,,,0.1,-16.2,,107.9
29.01.2000,81.4,0.1,,,,,0.1,-11.7,,35.6
30.01.2000,75.8,0.1,,,,,0.2,-8.4,,14.7
31.01.2000,74.1,0.0,,,,,0.1,-7.9,,95.0
01.02.2000,72.8,0.0,,,,,0.0,-4.4,,128.4
02.02.2000,83.3,0.5,,,,,0.5,-7.9,,49.4
03.02.2000,70.4,0.1,,0.12,,,0.1,-13.7,,131.5
04.02.2000,78.4,0.1,,0.11,,,0.1,-10.5,,136.0
05.02.2000,67.8,0.0,,0.11,,,0.1,-6.8,,132.8
06.02.2000,62.8,0.1,,0.1,,,0.1,-6.5,,103.9
07.02.2000,76.5,0.1,,0.11,,,0.1,-10.6,,119.2
08.02.2000,76.6,0.1,,0.1,,,0.1,-7.7,,40.4
09.02.2000,68.4,0.6,,0.12,,,0.7,-16.9,,34.3
10.02.2000,79.0,0.1,,0.11,,,0.1,-12.8,,162.0
11.02.2000,70.0,0.2,,0.1,,,0.3,-10.8,,85.8
12.02.2000,81.9,0.1,,0.12,,,0.2,-15.4,,175.1
13.02.2000,71.8,0.1,,0.11,,,0.1,-12.9,,62.1
14.02.2000,90.1,0.1,,0.13,,,0.1,-13.6,,157.8
15.02.2000,85.1,0.1,,0.11,,,0.2,-11.2,,135.7
16.02.2000,73.9,0.4,,0.11,,,0.4,-16.4,,64.5
17.02.2000,64.5,0.5,,0.13,,,0.6,-22.0,,41.8
18.02.2000,72.6,,,0.11,,,,-14.9,,28.9
19.02.2000,67.1,0.6,,0.13,,,0.7,-15.1,,45.5
20.02.2000,72.1,0.9,,0.16,,,1.2,-17.9,,65.5
21.02.2000,85.1,0.1,,0.1,,,0.1,-17.2,,138.8
22.02.2000,79.6,0.0,,0.09,,,0.1,-16.2,,156.3
23.02.2000,,0.0,,0.11,,,0.1,-16.8,,171.1
24.02.2000,80.9,0.0,,0.1,,,0.1,-10.7,,101.6
25.02.2000,78.0,0.1,,0.08,,,0.1,-9.7,,59.2
26.02.2000,83.5,0.1,,0.08,,,0.1,-10.8,,188.0
27.02.2000,82.5,0.0,,0.1,,,0.1,-8.5,,198.0
28.02.2000,74.1,0.1,,0.1,,,0.1,-7.3,,196.0
29.02.2000,76.3,0.4,,0.14,,,0.4,-11.4,,74.2
01.03.2000,73.5,0.4,,0.15,,,0.5,-14.0,,69.9
02.03.2000,82.7,0.6,,0.15,,,0.8,-17.7,,162.7
03.03.2000,86.5,,,0.11,,,,-10.5,,171.9
04.03.2000,75.0,,,0.14,,,,-15.4,,160.1
05.03.2000,76.3,,,0.13,,,,-16.4,,218.9
06.03.2000,71.8,0.0,,0.1,,,0.0,-10.2,,221.2
07.03.2000,76.1,0.0,,0.1,,,0.0,-10.3,,185.5
08.03.2000,79.4,0.0,,0.1,,,0.0,-9.0,,117.3
09.03.2000,76.8,,,0.11,,,,-6.7,,40.7
10.03.2000,78.4,0.1,,0.1,,,0.1,-8.2,,96.7
11.03.2000,89.9,,,0.11,,,,-9.2,,213.0
12.03.2000,94.9,0.1,,0.12,,,0.1,-8.7,,241.1
13.03.2000,93.1,0.2,,0.12,,,0.2,-9.6,,245.8
14.03.2000,81.2,0.1,,0.1,,,0.1,-10.3,,99.5
15.03.2000,83.6,0.5,,0.13,,,0.7,-14.1,,150.7
16.03.2000,81.6,0.1,,0.13,,,0.1,-13.4,,97.5
17.03.2000,71.6,0.2,,0.12,,,0.2,-11.3,,138.9
18.03.2000,58.3,0.9,,0.12,,,1.0,-11.8,,161.2
19.03.2000,103.3,0.3,,0.12,,,0.3,-12.2,,258.3
20.03.2000,87.2,0.1,,0.13,,,0.1,-12.2,,259.7
21.03.2000,91.0,0.0,,0.14,,,0.1,-9.8,,263.2
22.03.2000,83.2,0.1,,0.12,,,0.1,-8.8,,270.1
23.03.2000,80.5,0.0,,0.11,,,0.1,-7.3,,135.9
24.03.2000,92.3,0.3,,0.14,,,0.4,-8.8,,172.8
25.03.2000,87.6,0.3,,0.14,,,0.3,-11.2,,228.0
26.03.2000,87.9,0.4,,0.15,,,0.4,-12.8,,128.0
27.03.2000,75.1,0.4,,0.14,,,0.5,-17.1,,195.5
28.03.2000,81.3,,,0.16,,,,-16.1,,201.6
29.03.2000,90.5,,,0.17,,,,-14.1,,136.2
30.03.2000,,,,0.19,,,,-16.6,,202.0
31.03.2000,92.9,,,0.21,,,,-14.7,,176.2
01.04.2000,102.6,,,0.21,,,,-14.8,,278.9
