Datum/Zeit;O3 [ug/m3];NO2 [ug/m3];SO2 [ug/m3];CO [mg/m3];PM10 [ug/m3];PM2.5 [ug/m3];EC [ug/m3];CPC [1/cm3];NMVOC [ppm];NOX [ug/m3 eq. NO2];TEMP [C];PREC [mm];RAD [W/m2]
01.01.2000;56.8;50.3;20.7;0.96;;;;;0.3;93.3;0.4;0.0;61.8
02.01.2000;37.2;52.8;22.4;1.08;;;;;0.3;107.8;0.8;0.0;57.2
03.01.2000;29.3;54.1;22.9;1.39;;;;;0.4;145.0;1.5;0.0;69.6
04.01.2000;39.4;54.1;24.5;1.58;;;;;0.5;166.9;1.9;0.0;70.8
05.01.2000;23.5;56.0;26.8;1.68;;;;;0.6;190.6;3.0;0.0;62.8
06.01.2000;15.8;46.5;23.9;1.22;;;;;0.4;131.1;2.8;0.0;63.5
07.01.2000;25.4;50.3;25.4;1.51;;;;;0.5;166.9;3.2;0.0;56.9
08.01.2000;32.7;50.5;23.8;1.26;;;;;0.4;126.5;3.2;0.0;68.5
09.01.2000;21.0;51.1;23.8;1.26;;;;;0.3;116.8;3.3;0.0;42.3
10.01.2000;18.7;57.3;23.7;1.50;;;;;0.4;166.1;2.9;0.0;59.0
11.01.2000;24.2;73.5;25.4;1.55;;;;;0.4;183.6;3.6;0.0;58.9
12.01.2000;12.1;75.3;21.8;1.48;;;;;0.4;183.4;1.8;0.0;39.4
13.01.2000;9.0;81.3;26.5;1.15;;;;;0.3;150.5;1.8;0.0;13.2
14.01.2000;21.2;60.6;22.8;1.36;;;;;0.4;158.0;1.4;0.0;44.5
15.01.2000;51.6;52.3;23.9;1.20;;;;;0.4;124.1;3.5;0.0;72.5
16.01.2000;50.0;49.2;22.0;0.89;;;;;0.2;83.2;2.9;0.0;67.8
17.01.2000;52.7;54.8;21.9;1.13;;;;;0.3;133.5;5.7;0.0;32.8
18.01.2000;73.2;20.1;4.9;0.27;;;;;0.1;29.9;14.7;0.0;60.0
19.01.2000;69.0;39.0;8.7;0.53;;;;;0.2;70.2;9.0;0.0;82.4
20.01.2000;39.6;65.3;24.8;1.30;;;;;0.4;175.9;3.2;0.0;78.4
21.01.2000;72.7;40.4;16.7;0.87;;;;;0.3;103.6;7.2;0.0;85.6
22.01.2000;42.8;56.4;18.6;0.80;;;;;0.2;94.3;5.7;0.0;74.8
23.01.2000;68.4;33.1;11.5;0.59;;;;;0.2;52.5;5.9;0.0;91.0
24.01.2000;54.0;49.9;19.7;0.99;;;;;0.3;131.4;2.4;0.0;88.8
25.01.2000;58.3;42.7;14.5;0.51;;;;;0.1;77.9;-0.7;0.0;82.9
26.01.2000;38.0;59.3;19.5;1.07;;;;;0.3;128.5;-1.5;0.0;88.6
27.01.2000;33.8;66.5;24.5;1.30;;;;;0.4;158.1;0.1;0.0;94.2
28.01.2000;41.1;70.3;27.6;1.45;;;;;0.4;186.9;1.2;0.0;90.7
29.01.2000;13.6;71.4;29.9;1.46;;;;;0.4;157.1;1.0;0.0;59.1
30.01.2000;71.2;36.6;20.7;0.67;;;;;0.2;66.6;8.3;0.0;111.2
31.01.2000;18.2;64.0;28.1;1.70;;;;;0.5;230.2;6.4;0.0;98.0
01.02.2000;25.4;74.4;21.7;1.24;;;;;0.4;173.1;6.9;0.0;56.6
02.02.2000;15.7;67.9;21.4;1.37;;;;;0.5;179.8;7.0;0.0;31.2
03.02.2000;63.0;55.6;15.3;1.23;;;;;0.4;157.4;10.0;0.0;109.9
04.02.2000;49.3;68.1;21.0;1.21;;;;;0.4;156.3;6.4;0.0;98.5
05.02.2000;43.5;64.7;21.1;1.28;;;;;0.4;131.6;5.2;0.0;95.7
06.02.2000;47.4;63.4;19.6;1.30;;;;;0.3;117.6;5.4;0.0;92.5
07.02.2000;61.3;69.3;21.3;1.52;;;;;0.4;161.9;6.5;0.0;92.8
08.02.2000;52.3;64.2;18.2;1.30;;;;;0.4;154.0;7.0;0.0;86.2
09.02.2000;74.2;41.0;10.3;0.82;;;;;0.3;85.7;8.3;0.0;127.5
10.02.2000;70.7;50.9;15.0;0.85;;;;;0.3;112.4;8.0;0.0;120.6
11.02.2000;22.9;64.9;21.5;1.16;;;;;0.4;159.2;5.4;0.0;37.3
12.02.2000;69.5;56.4;19.2;1.02;;;;;0.3;117.8;6.1;0.0;106.4
13.02.2000;70.6;53.8;20.2;0.82;;;;;0.2;84.6;5.4;0.0;111.0
14.02.2000;52.8;75.8;23.1;1.49;;;;;0.5;183.0;6.7;0.0;128.7
15.02.2000;73.3;81.1;24.6;1.36;;;;;0.4;154.7;6.3;0.0;101.5
16.02.2000;49.7;77.0;17.4;1.14;;;;;0.3;120.3;5.8;1.1;35.4
17.02.2000;73.8;35.5;7.9;0.53;;;;;0.2;51.5;5.4;0.0;93.2
18.02.2000;63.5;49.5;16.8;0.95;;;;;0.3;101.5;4.6;0.0;96.9
19.02.2000;67.2;40.4;13.8;0.60;;;;;0.2;60.3;5.9;0.0;137.8
20.02.2000;66.7;18.8;4.8;0.49;;;;;0.1;33.4;8.2;0.0;147.0
21.02.2000;77.8;32.2;6.2;0.52;;;;;0.1;45.9;6.7;0.0;152.7
22.02.2000;69.6;53.3;15.1;0.86;;;;;0.2;96.3;4.2;0.0;133.8
23.02.2000;76.4;61.7;14.8;0.97;;;;;0.3;111.0;3.5;0.0;130.0
24.02.2000;85.0;76.1;16.8;1.14;;;;;0.3;122.8;4.1;0.0;129.4
25.02.2000;96.5;80.5;19.4;1.28;;;;;0.4;134.9;5.7;0.0;120.1
26.02.2000;96.4;74.7;17.7;1.14;;;;;0.3;111.5;6.2;0.0;112.4
27.02.2000;92.5;79.6;15.5;1.15;;;;;0.3;102.9;5.9;0.0;71.1
28.02.2000;43.4;91.7;17.8;1.54;;;;;0.4;160.0;5.7;0.0;61.8
29.02.2000;11.5;88.8;11.6;1.44;;;;;0.4;138.7;6.2;9.7;6.9
