Datum/Zeit,O3 [ug/m3],NO2 [ug/m3],SO2 [ug/m3],PM10 [ug/m3],PM2.5 [ug/m3],EC [ug/m3],NOX [ug/m3 eq. NO2],TEMP [C],PREC [mm],RAD [W/m2]
01.01.2000,41.2,37.1,10.2,,,,98.1,-2.4,0.0,54.1
02.01.2000,46.0,39.0,12.3,,,,91.8,-1.8,0.0,56.4
03.01.2000,38.6,46.5,12.8,,,,192.6,-1.9,0.0,67.5
04.01.2000,20.0,49.1,15.1,,,,244.3,-1.8,0.0,68.5
05.01.2000,34.6,41.8,13.7,,,,210.9,-0.1,0.0,64.3
06.01.2000,31.4,36.3,10.9,,,,169.0,-0.2,0.0,65.5
07.01.2000,22.5,42.7,12.1,,,,198.5,0.1,0.0,61.8
08.01.2000,47.9,38.6,9.7,,,,153.2,-0.3,0.0,69.3
09.01.2000,31.4,35.4,10.1,,,,121.7,0.8,0.0,41.4
10.01.2000,39.2,41.0,11.1,,,,202.9,0.5,0.0,64.9
11.01.2000,36.4,41.2,11.8,,,,183.2,1.3,0.0,62.0
12.01.2000,15.2,49.1,12.0,,,,171.6,-0.3,0.0,54.1
13.01.2000,14.0,57.6,14.2,,,,157.4,0.7,0.0,14.6
14.01.2000,36.8,48.4,13.2,,,,88.6,0.0,0.0,59.2
15.01.2000,44.2,46.3,10.2,,,,121.1,1.5,0.0,78.2
16.01.2000,51.1,38.3,10.8,,,,99.2,0.2,0.0,71.3
17.01.2000,61.8,41.8,9.9,,,,90.8,2.8,0.0,40.9
18.01.2000,86.4,4.9,2.2,,,,5.1,13.8,0.0,54.5
19.01.2000,85.1,8.4,1.2,,,,9.0,9.2,0.0,85.7
20.01.2000,56.3,41.9,9.8,,,,144.0,0.6,0.0,83.6
21.01.2000,89.3,22.2,5.9,,,,67.0,5.2,0.0,87.2
22.01.2000,73.7,30.6,4.8,,,,36.8,5.6,0.0,74.7
23.01.2000,79.7,16.3,2.7,,,,26.6,3.9,0.0,68.8
24.01.2000,80.1,21.8,3.4,,,,24.8,2.7,0.0,96.4
25.01.2000,69.6,27.5,7.0,,,,39.0,-0.6,0.0,86.2
26.01.2000,64.3,45.9,9.8,,,,130.9,-3.2,0.0,92.3
27.01.2000,60.8,47.1,12.7,,,,162.0,-2.5,0.0,96.4
28.01.2000,61.3,49.8,14.3,,,,160.0,-1.7,0.0,89.3
29.01.2000,28.5,48.0,13.5,,,,154.0,-1.5,0.0,61.8
30.01.2000,64.6,22.6,9.6,,,,51.5,5.7,0.0,81.3
31.01.2000,38.5,36.8,10.1,,,,151.7,3.9,0.0,102.1
01.02.2000,38.7,55.6,12.7,,,,171.3,4.1,0.0,70.2
02.02.2000,15.3,54.7,10.5,,,,111.3,5.6,0.0,38.8
03.02.2000,86.6,23.2,4.1,,,,66.0,8.6,0.0,108.9
04.02.2000,72.8,39.4,8.3,,,,102.8,4.9,0.0,102.9
05.02.2000,71.3,46.2,10.8,,,,128.5,2.9,0.0,101.6
06.02.2000,67.0,36.6,8.0,,,,99.0,3.1,0.0,95.3
07.02.2000,73.3,49.4,9.6,,,,144.0,4.2,0.0,92.4
08.02.2000,74.9,50.4,9.0,,,,133.6,4.8,0.0,102.8
09.02.2000,88.1,22.5,3.0,,,,44.6,7.1,0.0,102.5
10.02.2000,75.4,31.4,4.9,,,,66.2,5.8,0.0,119.4
11.02.2000,19.1,49.3,11.0,,,,118.7,4.2,0.0,39.4
12.02.2000,68.9,44.4,8.6,,,,94.9,4.6,0.0,109.8
13.02.2000,80.4,39.1,7.9,,,,74.9,3.1,0.0,127.5
14.02.2000,69.5,48.2,9.6,,,,116.6,4.8,0.0,131.6
15.02.2000,77.5,62.2,11.9,,,,111.7,4.2,0.0,111.8
16.02.2000,65.9,59.8,12.0,,,,88.5,5.3,0.4,45.4
17.02.2000,75.5,24.0,3.1,,,,27.0,2.8,0.0,99.1
18.02.2000,78.0,30.4,5.7,,,,41.6,2.2,0.0,86.7
19.02.2000,79.4,17.9,5.1,,,,21.4,5.5,0.8,147.1
20.02.2000,74.7,10.1,3.4,,,,10.9,6.0,0.0,147.5
21.02.2000,90.3,14.4,4.0,,,,16.5,6.1,0.0,154.1
22.02.2000,83.0,42.3,10.6,,,,69.5,2.5,0.0,139.4
23.02.2000,84.6,49.2,11.5,,,,114.5,1.7,0.0,126.9
24.02.2000,95.8,54.0,11.7,,,,118.9,2.1,0.0,140.5
25.02.2000,118.0,57.1,12.0,,,,115.9,3.5,0.0,110.1
26.02.2000,118.1,55.6,12.5,,,,112.8,5.0,0.0,125.6
27.02.2000,95.2,48.1,9.1,,,,74.8,4.2,0.0,110.8
28.02.2000,87.2,,9.1,,,,,4.8,0.0,102.6
29.02.2000,30.8,62.8,10.8,,,,107.7,6.0,,11.0
01.03.2000,42.3,51.0,7.0,,,,70.3,6.2,3.3,34.8
02.03.2000,96.9,10.6,3.4,,,,11.2,8.7,0.0,179.2
03.03.2000,79.9,34.8,7.5,,,,56.5,3.6,0.0,105.0
04.03.2000,99.5,21.5,7.4,,,,50.5,6.7,0.0,165.2
05.03.2000,96.1,4.2,2.7,,,,4.9,8.5,0.0,187.4
06.03.2000,102.5,35.5,10.1,,,,55.6,4.3,0.0,171.0
07.03.2000,115.6,48.5,12.1,,,,83.1,5.1,0.0,163.3
08.03.2000,117.4,46.1,12.6,,,,86.8,6.6,0.0,166.7
09.03.2000,85.6,31.2,10.8,,,,65.7,13.6,0.0,178.3
10.03.2000,84.9,9.6,3.6,,,,10.6,16.3,0.0,192.0
11.03.2000,146.6,37.5,11.1,,,,45.3,11.4,0.0,171.5
12.03.2000,115.4,34.6,8.5,,,,42.5,9.1,0.0,178.9
13.03.2000,125.2,41.6,11.5,,,,63.0,9.4,0.0,178.0
14.03.2000,131.9,47.4,14.6,,,,67.3,10.1,0.0,153.3
15.03.2000,102.1,23.4,8.7,,,,48.7,10.8,0.0,209.1
16.03.2000,99.6,9.7,5.5,,,,13.8,11.6,0.0,209.2
17.03.2000,82.3,8.4,4.2,,,,10.8,14.0,0.0,198.5
18.03.2000,82.1,10.0,6.6,,,,12.2,13.8,0.0,204.9
19.03.2000,100.8,11.8,6.0,,,,13.4,11.5,0.0,190.0
20.03.2000,101.4,15.7,8.3,,,,16.9,9.1,0.5,176.9
21.03.2000,112.4,38.3,16.2,,,,58.7,8.3,0.0,200.9
22.03.2000,135.4,44.7,20.6,,,,75.7,8.7,0.0,201.5
23.03.2000,118.1,54.6,19.7,,,,75.2,8.9,0.0,126.1
24.03.2000,55.3,62.4,13.4,,,,86.4,9.7,0.1,46.7
25.03.2000,118.1,30.9,7.6,,,,43.1,11.4,0.0,137.6
26.03.2000,96.9,17.5,4.5,,,,18.3,7.5,51.0,26.9
27.03.2000,72.7,24.5,7.3,,,,33.5,8.1,0.0,100.9
28.03.2000,91.4,19.4,5.1,,,,25.9,7.9,7.7,91.8
29.03.2000,70.6,32.2,4.2,,,,38.9,6.2,16.3,70.8
30.03.2000,117.4,26.0,6.4,,,,33.2,8.4,0.0,237.8
31.03.2000,127.2,17.9,5.3,,,,19.8,9.5,0.8,196.2
01.04.2000,131.5,14.0,2.7,,,,14.3,10.1,2.4,246.4
02.04.2000,99.9,19.1,5.5,,,,20.0,7.4,2.4,59.7
03.04.2000,80.5,35.0,2.8,,,,36.3,7.4,22.6,24.8
04.04.2000,74.3,25.2,3.1,,,,27.1,8.2,6.2,68.5
05.04.2000,107.3,21.9,4.4,,,,30.5,10.7,0.0,187.8
06.04.2000,93.9,15.7,4.2,,,,20.8,13.1,0.0,210.5
07.04.2000,104.2,22.9,6.5,,,,28.5,10.6,0.0,260.9
08.04.2000,126.4,26.7,10.9,,,,40.7,10.7,0.0,268.7
09.04.2000,127.5,25.3,9.2,,,,28.9,9.2,3.0,106.0
10.04.2000,107.1,18.9,3.3,,,,20.0,9.2,1.5,101.6
11.04.2000,83.4,30.0,4.8,,,,35.2,9.4,5.2,73.0
12.04.2000,86.0,25.6,3.6,,,,27.4,9.6,31.0,83.2
13.04.2000,65.1,46.4,5.6,,,,59.0,10.0,16.2,53.2
14.04.2000,77.6,31.6,4.3,,,,34.6,11.0,11.9,72.5
15.04.2000,84.2,19.4,3.0,,,,21.5,9.1,63.8,22.7
16.04.2000,79.9,16.9,4.4,,,,19.7,7.9,6.3,68.0
17.04.2000,89.4,26.7,3.9,,,,30.1,7.6,56.3,20.8
18.04.2000,80.3,26.8,4.5,,,,29.1,8.0,33.8,22.6
19.04.2000,104.4,14.3,4.3,,,,17.7,13.9,0.5,177.4
20.04.2000,105.3,21.1,4.6,,,,27.2,16.4,0.0,221.3
21.04.2000,138.7,21.0,6.3,,,,25.3,16.7,0.0,263.3
22.04.2000,149.8,20.2,6.4,,,,22.8,16.5,0.0,261.6
23.04.2000,115.9,12.9,6.1,,,,15.1,15.1,10.4,144.4
24.04.2000,99.6,5.2,2.8,,,,6.4,14.9,17.2,213.4
25.04.2000,124.9,12.3,4.2,,,,16.5,15.4,0.0,301.6
26.04.2000,125.5,20.9,6.3,,,,27.9,15.5,0.0,254.7
27.04.2000,121.6,26.4,6.3,,,,35.4,15.4,0.0,162.5
28.04.2000,84.7,19.4,3.5,,,,20.2,13.5,28.4,31.0
29.04.2000,103.0,14.6,2.9,,,,15.9,12.6,19.7,55.4
30.04.2000,103.8,19.9,4.2,,,,26.9,15.7,0.1,154.5
01.05.2000,123.5,11.2,3.1,,,,14.9,17.7,0.0,280.4
02.05.2000,118.2,18.3,4.7,,,,23.6,16.5,0.3,188.5
03.05.2000,102.7,17.4,3.2,,,,22.5,17.1,0.0,237.6
04.05.2000,126.0,17.4,2.7,,,,19.8,16.9,0.9,225.4
05.05.2000,93.4,22.0,3.9,,,,26.2,15.9,3.8,136.3
06.05.2000,80.0,17.6,2.1,,,,19.0,14.4,20.9,53.2
07.05.2000,82.4,12.2,2.8,,,,13.4,15.1,3.9,97.1
08.05.2000,79.2,15.6,2.3,,,,21.5,16.1,0.3,129.1
09.05.2000,144.0,15.5,3.5,,,,25.5,17.2,2.0,268.8
10.05.2000,86.5,14.6,2.0,,,,17.1,18.0,15.2,181.7
11.05.2000,118.1,12.5,1.9,,,,14.5,19.4,15.9,223.1
12.05.2000,96.3,,,,,,,17.8,12.5,158.4
13.05.2000,126.3,10.9,1.7,,,,14.0,17.6,1.0,234.6
14.05.2000,132.0,5.2,1.1,,,,5.9,19.9,1.7,326.0
15.05.2000,148.9,8.9,1.5,,,,10.4,20.8,0.0,315.0
16.05.2000,162.1,13.0,2.0,,,,15.6,20.4,0.0,300.5
17.05.2000,149.6,14.7,2.3,,,,16.8,19.2,0.0,172.5
18.05.2000,112.4,16.3,2.1,,,,17.4,16.9,33.9,85.0
19.05.2000,116.0,8.1,1.6,,,,9.2,18.5,0.3,343.7
20.05.2000,117.9,6.6,1.6,,,,7.4,18.4,0.7,344.4
21.05.2000,93.0,11.5,5.0,,,,12.4,14.8,0.0,105.2
22.05.2000,118.4,7.6,1.2,,,,8.7,18.8,15.2,346.0
23.05.2000,166.9,11.3,2.6,,,,13.3,17.7,0.0,320.4
24.05.2000,76.6,25.4,3.1,,,,27.4,16.4,0.2,55.9
25.05.2000,130.1,23.3,2.3,,,,28.9,18.8,0.0,163.7
26.05.2000,38.0,34.4,2.8,,,,42.8,17.6,,61.0
27.05.2000,116.9,15.5,2.8,,,,16.9,17.5,8.2,108.6
28.05.2000,74.2,9.4,1.8,,,,10.3,16.5,14.8,67.1
29.05.2000,125.6,7.9,2.1,,,,11.1,19.2,0.5,343.5
30.05.2000,100.4,16.5,2.1,,,,18.3,15.3,3.4,110.5
31.05.2000,122.3,15.6,2.3,,,,18.9,19.2,0.0,321.6
01.06.2000,160.7,10.5,3.4,,,,11.4,18.9,0.0,324.1
02.06.2000,,18.1,2.8,,,,19.2,20.9,0.0,261.6
03.06.2000,,17.9,2.2,,,,19.2,22.0,0.0,283.5
04.06.2000,190.3,11.1,2.5,,,,11.9,22.7,0.0,273.5
05.06.2000,129.6,12.3,1.5,,,,14.3,22.0,2.9,271.9
06.06.2000,95.3,16.6,2.0,,,,18.9,20.3,2.1,144.9
07.06.2000,138.3,6.5,1.5,,,,7.5,22.1,0.0,335.1
08.06.2000,78.4,17.3,1.6,,,,20.6,17.8,7.3,107.9
09.06.2000,169.1,15.0,1.7,,,,18.8,20.7,0.0,294.6
10.06.2000,190.8,16.6,2.6,,,,17.9,21.9,4.7,276.3
11.06.2000,104.4,5.5,1.2,,,,5.9,18.8,16.2,90.6
12.06.2000,91.4,9.2,1.5,,,,10.9,20.7,0.1,201.3
13.06.2000,110.4,14.4,2.5,,,,17.2,21.0,4.8,205.0
14.06.2000,153.9,10.3,1.7,,,,12.7,20.6,0.8,263.6
15.06.2000,93.4,8.7,1.3,,,,11.1,23.0,0.0,267.3
16.06.2000,117.5,6.3,1.0,,,,8.0,24.0,0.0,331.8
17.06.2000,188.2,7.9,1.8,,,,8.5,22.6,0.0,352.5
18.06.2000,163.5,8.4,2.5,,,,9.1,21.8,0.0,320.6
19.06.2000,,15.9,2.2,,,,17.8,21.1,0.0,339.0
20.06.2000,188.8,13.3,2.1,,,,14.9,21.7,0.0,343.5
21.06.2000,,15.2,3.2,,,,17.5,22.4,0.0,348.7
22.06.2000,,16.1,3.4,,,,17.8,23.0,0.0,306.8
23.06.2000,,,,,,,,,,
24.06.2000,,,,,,,,,,
25.06.2000,,,,,,,,,,
26.06.2000,,,,,,,,,,
27.06.2000,196.5,12.0,,,,,13.5,20.5,0.0,305.1
28.06.2000,167.2,20.0,,,,,22.4,20.0,5.7,206.5
29.06.2000,163.6,10.8,,,,,12.0,20.3,0.0,274.0
30.06.2000,,15.7,,,,,18.3,20.6,0.1,274.2
01.07.2000,164.7,18.2,,,,,19.8,21.9,1.0,191.4
02.07.2000,150.2,14.0,,,,,15.2,23.4,6.2,264.3
03.07.2000,148.1,18.6,,,,,20.8,23.7,0.2,131.2
04.07.2000,89.4,15.9,,,,,17.8,21.1,,101.3
05.07.2000,136.7,9.8,,,,,12.0,22.3,0.0,346.3
06.07.2000,,,,,,,,,,
07.07.2000,,,,,,,,,,
08.07.2000,109.9,7.3,,,,,8.2,23.3,0.0,324.5
09.07.2000,111.6,3.6,,,,,4.2,19.7,0.0,262.2
10.07.2000,73.3,18.0,,,,,20.0,17.3,8.5,53.9
11.07.2000,85.0,10.7,,,,,12.1,15.5,51.6,161.9
12.07.2000,83.2,8.8,,,,,11.3,16.6,0.0,285.1
13.07.2000,95.0,8.8,,,,,10.2,18.0,0.0,311.8
14.07.2000,76.7,17.6,,,,,22.3,16.2,0.0,142.9
15.07.2000,96.6,4.9,,,,,5.7,18.2,0.0,334.9
16.07.2000,84.5,4.2,,,,,4.9,18.2,0.0,298.3
17.07.2000,135.2,11.1,,,,,13.7,17.8,0.0,241.7
18.07.2000,177.4,14.4,,,,,17.2,18.5,0.0,328.0
19.07.2000,198.0,13.4,,,,,14.9,20.6,0.0,316.8
20.07.2000,168.2,10.7,,,,,12.3,20.7,0.0,294.4
21.07.2000,,17.7,,,,,19.9,21.0,0.0,306.8
22.07.2000,,19.1,,,,,20.7,22.2,0.0,262.2
23.07.2000,130.6,18.5,,,,,19.9,20.3,12.5,69.9
24.07.2000,108.8,12.4,,,,,14.0,18.6,100.0,25.8
25.07.2000,120.5,11.8,,,,,16.1,19.9,8.0,246.0
26.07.2000,131.9,9.3,,,,,10.9,21.0,33.7,277.1
27.07.2000,117.8,14.4,,,,,17.2,21.3,0.0,271.2
28.07.2000,100.8,14.8,,,,,19.0,21.5,1.0,251.3
29.07.2000,103.0,7.7,,,,,9.0,19.9,0.0,303.8
30.07.2000,88.1,4.5,,,,,5.2,21.3,0.0,334.7
31.07.2000,131.9,8.6,,,,,10.6,20.5,0.0,319.8
01.08.2000,178.2,10.2,,,,,11.4,21.5,0.0,305.4
02.08.2000,164.5,17.2,,,,,19.4,21.6,1.8,212.9
03.08.2000,72.4,19.3,,,,,22.7,18.6,40.5,39.3
04.08.2000,54.3,15.4,,,,,19.1,17.4,1.6,72.0
05.08.2000,92.4,9.1,,,,,10.3,18.0,1.3,191.5
06.08.2000,108.8,5.4,,,,,5.9,18.6,2.2,202.8
07.08.2000,103.9,7.9,,,,,9.0,21.1,0.0,277.4
08.08.2000,138.9,10.3,,,,,12.1,20.5,0.0,272.3
09.08.2000,158.6,9.7,,,,,11.4,21.5,0.0,245.2
10.08.2000,187.2,11.9,,,,,14.6,21.7,0.0,276.4
11.08.2000,190.1,12.3,,,,,14.2,22.8,0.0,266.3
12.08.2000,166.1,13.9,,,,,16.0,23.2,0.0,233.3
13.08.2000,129.4,9.1,,,,,10.2,21.6,0.0,246.4
14.08.2000,135.6,10.1,,,,,12.4,22.8,0.0,282.3
15.08.2000,187.0,9.3,,,,,10.5,23.4,0.0,275.3
16.08.2000,153.8,12.6,,,,,14.8,23.9,0.0,251.1
17.08.2000,152.0,13.0,,,,,15.1,22.4,0.1,215.0
18.08.2000,111.4,15.3,,,,,19.0,21.9,0.0,193.0
19.08.2000,150.0,8.3,,,,,9.4,23.6,14.1,249.7
20.08.2000,168.5,10.4,,,,,11.8,23.7,0.0,256.6
21.08.2000,153.3,12.6,,,,,14.9,23.2,6.0,217.8
22.08.2000,155.2,9.4,,,,,11.6,22.2,0.0,261.0
23.08.2000,143.4,13.0,,,,,15.5,22.4,0.0,260.2
24.08.2000,169.9,15.7,,,,,19.0,22.4,,237.1
25.08.2000,148.5,15.3,,,,,18.0,21.9,0.0,276.8
26.08.2000,192.6,16.0,,,,,19.3,20.8,0.0,247.9
27.08.2000,104.6,15.5,,,,,16.7,19.8,0.0,60.6
28.08.2000,133.9,12.0,,,,,15.5,19.7,0.0,263.5
29.08.2000,130.7,16.0,,,,,18.6,19.8,1.3,207.0
30.08.2000,62.3,29.2,,,,,35.9,17.2,15.1,55.5
31.08.2000,62.8,22.0,,,,,25.4,17.0,21.2,48.2
01.09.2000,126.7,13.7,,,,,19.0,18.1,0.0,256.6
02.09.2000,142.9,16.0,,,,,19.5,18.8,0.0,214.9
03.09.2000,89.8,5.6,,,,,6.4,18.6,0.0,254.7
04.09.2000,95.0,7.5,,,,,9.0,18.3,0.0,249.6
05.09.2000,103.6,12.1,,,,,14.0,15.8,0.0,253.6
06.09.2000,143.1,20.4,,,,,25.3,16.3,0.0,225.2
07.09.2000,101.1,15.7,,,,,21.4,19.0,0.0,215.2
08.09.2000,110.3,14.8,,,,,20.6,16.8,0.0,245.2
09.09.2000,144.5,21.3,,,,,26.4,16.9,0.0,232.0
10.09.2000,172.3,17.2,,,,,19.6,18.2,0.0,222.9
11.09.2000,194.4,20.6,,,,,26.5,19.3,0.0,211.7
12.09.2000,185.1,23.0,,,,,25.8,19.7,0.0,140.9
13.09.2000,180.0,28.9,,,,,35.5,19.4,0.0,170.0
14.09.2000,190.0,21.7,,,,,26.6,19.1,0.2,186.8
15.09.2000,158.9,19.8,,,,,24.3,20.8,0.0,167.9
16.09.2000,84.0,21.4,,,,,24.7,18.8,14.6,62.9
17.09.2000,100.8,9.7,,,,,11.0,17.3,0.0,216.7
18.09.2000,49.8,26.7,,,,,43.1,14.8,0.3,69.2
19.09.2000,75.1,20.5,,,,,26.4,16.9,19.1,59.4
20.09.2000,81.8,12.9,,,,,14.2,18.3,26.9,77.9
21.09.2000,81.7,8.2,,,,,10.3,16.5,27.0,189.9
22.09.2000,88.6,13.4,,,,,17.0,15.2,0.0,211.8
23.09.2000,127.8,16.2,,,,,27.3,15.4,0.0,195.9
24.09.2000,103.9,12.8,,,,,13.6,17.9,0.0,126.0
25.09.2000,110.2,21.0,,,,,28.2,17.4,0.0,174.4
26.09.2000,120.3,22.4,,,,,32.5,17.2,0.0,174.3
27.09.2000,121.2,21.0,,,,,32.7,17.3,0.0,166.3
28.09.2000,92.2,26.3,,,,,36.4,16.8,0.0,75.0
29.09.2000,106.9,29.0,,,,,33.1,17.2,2.3,73.0
30.09.2000,64.9,24.6,,,,,27.0,16.1,64.6,18.2
01.10.2000,68.1,10.7,,,,,11.9,13.6,28.2,20.5
02.10.2000,46.8,19.1,,,,,33.6,13.4,3.4,35.6
03.10.2000,52.6,14.3,,,,,24.2,15.2,0.2,106.7
04.10.2000,44.9,18.7,,,,,38.6,15.1,0.4,146.8
05.10.2000,85.9,17.7,,,,,35.5,16.7,8.7,124.8
06.10.2000,67.9,12.2,,,,,20.7,15.2,4.8,85.4
07.10.2000,85.2,3.3,,,,,4.1,12.3,0.0,172.7
08.10.2000,87.8,12.3,,,,,14.6,13.1,0.0,167.3
09.10.2000,92.7,27.2,,,,,42.4,12.8,0.0,168.8
10.10.2000,60.5,20.7,,,,,24.4,11.9,12.3,16.8
11.10.2000,41.2,22.1,,,,,26.6,11.3,83.4,15.8
12.10.2000,54.6,21.0,,,,,24.6,13.1,67.0,13.9
13.10.2000,63.1,33.9,,,,,44.9,15.5,48.6,12.0
14.10.2000,43.7,18.4,,,,,28.2,15.6,29.3,13.0
15.10.2000,93.5,10.9,,,,,12.5,14.6,49.0,13.3
16.10.2000,91.5,11.1,,,,,11.7,12.0,41.7,19.5
17.10.2000,48.1,24.4,,,,,54.9,12.2,6.4,46.1
18.10.2000,38.8,19.3,,,,,67.0,12.5,0.0,104.6
19.10.2000,25.3,16.6,,,,,48.6,11.1,0.0,78.6
20.10.2000,24.6,20.2,,,,,59.6,13.2,0.0,88.7
21.10.2000,56.2,13.8,,,,,43.7,13.6,0.0,50.2
22.10.2000,72.2,15.4,,,,,25.3,10.9,0.0,118.5
23.10.2000,55.4,21.9,,,,,65.6,10.0,0.0,128.5
24.10.2000,63.2,26.8,,,,,92.3,9.8,0.0,120.1
25.10.2000,9.8,26.2,,,,,98.6,10.0,0.0,37.2
26.10.2000,10.7,22.7,,,,,105.3,11.0,0.0,65.7
27.10.2000,51.1,23.1,,,,,96.4,9.9,0.0,122.9
28.10.2000,69.1,29.0,,,,,71.2,10.0,0.0,103.7
29.10.2000,12.6,25.2,,,,,52.9,9.8,0.0,21.6
30.10.2000,23.8,30.9,,,,,68.4,11.4,13.6,13.7
31.10.2000,82.6,16.3,,,,,16.5,12.9,98.5,13.0
01.11.2000,,,,,,,,,,
02.11.2000,,,,,,,,,,
03.11.2000,16.2,44.2,,,,,64.2,8.2,57.8,11.3
04.11.2000,68.6,14.6,,,,,16.1,9.9,20.7,107.3
05.11.2000,66.8,17.2,,,,,19.9,6.7,0.1,90.8
06.11.2000,62.9,24.0,,,,,24.7,5.1,76.0,5.5
07.11.2000,9.6,44.4,,,,,122.0,5.9,10.7,32.0
08.11.2000,31.9,40.6,,,,,82.0,7.5,9.1,36.0
09.11.2000,29.3,37.6,,,,,61.3,6.6,7.5,24.5
10.11.2000,14.8,32.5,,,,,75.1,6.6,0.0,46.9
11.11.2000,48.4,27.1,,,,,64.4,3.5,0.0,98.1
12.11.2000,38.5,26.8,,,,,37.3,4.8,7.5,12.6
13.11.2000,39.6,36.8,,,,,92.6,5.6,39.0,7.1
14.11.2000,3.2,41.6,,,,,98.1,8.3,84.4,5.8
15.11.2000,11.2,41.2,,,,,106.7,9.3,6.1,38.4
16.11.2000,16.7,42.9,,,,,74.7,7.7,23.4,15.9
17.11.2000,59.9,22.3,,,,,23.7,7.3,68.2,8.6
18.11.2000,79.6,9.5,,,,,10.2,7.8,0.0,58.0
19.11.2000,63.6,22.0,,,,,51.1,4.2,0.0,86.4
20.11.2000,33.7,35.0,,,,,79.1,4.3,8.2,16.9
21.11.2000,29.1,30.5,,,,,89.6,5.2,5.8,42.8
22.11.2000,13.6,27.9,,,,,90.8,6.6,0.3,51.1
23.11.2000,42.6,22.9,,,,,77.0,6.9,29.1,11.0
24.11.2000,38.3,32.2,,,,,43.7,5.9,35.3,10.9
25.11.2000,7.6,28.0,,,,,72.1,5.2,0.3,22.4
26.11.2000,26.8,26.4,,,,,40.3,3.2,0.0,38.1
27.11.2000,42.9,36.2,,,,,131.5,3.5,0.0,62.7
28.11.2000,38.4,39.8,,,,,233.5,3.4,0.0,75.4
29.11.2000,8.4,30.3,,,,,244.0,2.7,0.0,63.1
30.11.2000,7.5,28.4,,,,,239.6,3.1,0.0,67.6
01.12.2000,14.3,27.5,,,,,191.6,4.0,0.0,61.3
02.12.2000,2.9,30.9,,,,,150.5,7.2,7.4,9.4
03.12.2000,1.8,37.3,,,,,123.4,8.0,17.4,16.2
04.12.2000,3.3,31.0,,,,,118.6,7.9,2.7,22.9
