Datum/Zeit;O3 [ug/m3];NO2 [ug/m3];PM10 [ug/m3];NOX [ug/m3 eq. NO2];TEMP [C];PREC [mm];RAD [W/m2]
01.01.2000;67.0;5.8;;7.3;-4.4;1.6;48.4
02.01.2000;76.5;2.3;;2.9;-4.0;0.0;75.3
03.01.2000;75.2;2.2;;2.8;-2.2;0.0;76.5
04.01.2000;74.8;3.0;;3.7;-1.7;;77.9
05.01.2000;78.9;2.0;;2.6;-0.7;0.0;51.8
06.01.2000;81.0;2.9;;3.5;0.1;0.0;72.8
07.01.2000;78.5;2.7;;3.3;-1.6;0.0;76.3
08.01.2000;78.8;3.3;;4.0;-2.4;0.0;78.6
09.01.2000;78.3;3.7;;4.3;-2.7;0.0;49.4
10.01.2000;64.1;6.2;;7.1;-2.9;0.0;36.4
11.01.2000;69.4;3.8;;4.5;-5.5;0.0;81.0
12.01.2000;74.1;2.4;;3.0;-5.2;0.0;84.0
13.01.2000;78.7;2.2;;2.9;-5.8;0.0;86.4
14.01.2000;78.5;3.6;;4.4;-5.0;0.0;85.7
15.01.2000;72.8;3.1;;3.8;-2.4;0.0;84.3
16.01.2000;73.5;5.9;;6.8;-7.6;0.0;88.5
17.01.2000;78.7;2.0;;2.4;-4.4;0.2;37.3
18.01.2000;62.0;4.8;;5.4;-3.0;4.5;24.5
19.01.2000;68.3;5.0;;5.7;-7.5;0.1;81.3
20.01.2000;74.8;4.6;;5.2;-9.0;0.0;95.8
21.01.2000;66.5;9.1;;10.3;-8.3;0.5;28.5
22.01.2000;64.0;5.1;;6.2;-6.1;2.1;56.2
23.01.2000;64.2;4.7;;5.4;-7.0;0.3;48.7
24.01.2000;71.9;5.2;;6.2;-11.8;0.8;95.2
25.01.2000;93.1;2.9;;3.8;-14.8;0.0;103.6
26.01.2000;85.6;2.9;;3.7;-9.2;0.0;103.2
27.01.2000;85.1;2.7;;3.3;-5.1;0.0;103.8
28.01.2000;84.8;3.6;;4.3;-6.4;0.0;103.5
29.01.2000;85.0;3.5;;4.3;-3.8;3.0;45.9
30.01.2000;72.2;3.1;;3.6;0.2;48.6;7.1
31.01.2000;61.4;4.4;;5.8;0.1;0.1;107.7
01.02.2000;70.7;2.6;;3.5;2.1;0.0;111.5
02.02.2000;73.3;4.1;;5.1;1.1;3.2;46.3
03.02.2000;72.3;5.8;;6.5;-2.3;0.4;81.5
04.02.2000;81.5;2.9;;3.5;-3.6;0.0;119.9
05.02.2000;80.3;1.9;;2.5;1.7;0.0;87.2
06.02.2000;74.3;2.1;;2.7;3.3;0.0;99.0
07.02.2000;80.0;3.9;;4.4;0.5;0.4;100.3
08.02.2000;84.4;3.4;;3.9;1.4;8.5;68.0
09.02.2000;82.9;1.7;;2.2;-3.4;8.6;46.6
10.02.2000;83.7;3.2;;4.1;-4.3;0.0;133.9
11.02.2000;85.7;7.6;;8.4;-2.3;0.6;51.9
12.02.2000;72.7;6.7;;8.7;-3.9;0.0;80.1
13.02.2000;75.1;5.3;;5.9;-3.0;7.4;82.4
14.02.2000;85.9;4.6;;5.7;-2.0;0.4;129.8
15.02.2000;92.3;4.6;;5.6;-2.0;3.5;64.0
16.02.2000;80.1;4.1;;4.8;-4.3;5.9;40.8
17.02.2000;76.5;4.3;;5.0;-8.9;4.6;57.8
18.02.2000;71.3;9.0;;10.2;-7.3;8.0;46.2
19.02.2000;78.0;1.7;;2.1;-2.8;14.2;52.7
20.02.2000;66.1;4.3;;5.2;-6.0;1.3;70.9
21.02.2000;85.1;4.5;;5.7;-10.3;0.1;162.6
22.02.2000;92.2;3.6;;4.4;-7.1;0.0;146.0
23.02.2000;88.4;2.6;;3.2;-6.7;0.0;151.3
24.02.2000;89.8;2.0;;2.5;-4.2;0.7;112.0
25.02.2000;69.7;3.3;;4.5;0.7;1.8;86.7
26.02.2000;84.2;3.4;;4.1;-1.2;0.0;161.0
27.02.2000;94.6;2.8;;3.4;0.6;0.0;173.9
28.02.2000;99.8;4.5;;4.9;2.1;0.0;170.7
29.02.2000;95.5;8.3;;8.8;0.6;0.0;108.3
01.03.2000;89.6;5.6;;6.5;-0.7;2.2;72.9
02.03.2000;81.5;3.6;;4.4;-6.4;0.3;140.0
03.03.2000;93.3;4.0;;4.7;-2.2;0.0;137.6
04.03.2000;83.4;3.5;;4.2;-3.3;3.1;94.4
05.03.2000;85.8;3.8;;4.2;-8.1;0.0;188.8
06.03.2000;89.4;3.2;;3.9;-1.3;0.0;191.9
07.03.2000;97.3;2.7;;3.2;0.5;0.0;189.0
08.03.2000;94.1;5.7;;6.4;-0.3;8.4;91.4
09.03.2000;74.4;5.0;;6.4;3.2;14.3;97.4
10.03.2000;82.5;3.6;;4.1;2.0;4.8;43.3
11.03.2000;79.4;2.9;;3.4;3.9;0.0;178.9
12.03.2000;96.4;4.4;;5.2;2.1;0.0;199.6
13.03.2000;111.9;4.5;;5.0;2.1;0.0;203.7
14.03.2000;92.5;9.0;;9.8;0.2;4.2;72.5
15.03.2000;83.6;4.7;;5.4;-3.6;4.8;138.4
16.03.2000;73.8;7.8;;8.7;-5.0;14.3;41.6
17.03.2000;69.0;5.2;;6.1;-1.7;5.1;106.0
18.03.2000;56.7;6.3;;7.6;-1.5;2.6;127.7
