Datum/Zeit;O3 [ug/m3];NO2 [ug/m3];SO2 [ug/m3];CO [mg/m3];PM10 [ug/m3];PM2.5 [ug/m3];EC [ug/m3];CPC [1/cm3];NOX [ug/m3 eq. NO2];TEMP [C];PREC [mm];RAD [W/m2]
01.01.2000;31.7;39.0;20.2;0.88;;;;;107.1;1.7;0.7;40.4
02.01.2000;35.0;29.6;5.9;0.69;;;;;68.5;2.4;0.0;29.8
03.01.2000;40.2;45.3;6.6;0.63;;;;;184.1;2.4;0.0;29.0
04.01.2000;16.3;53.0;7.0;0.72;;;;;219.2;1.8;1.3;29.2
05.01.2000;11.1;55.3;12.1;1.03;;;;;307.5;4.0;2.4;42.4
06.01.2000;8.4;48.1;5.6;0.75;;;;;194.0;3.8;0.2;20.2
07.01.2000;9.1;44.0;10.4;1.00;;;;;268.7;3.6;0.0;43.1
08.01.2000;14.5;37.5;5.8;0.99;55.6;;;;152.7;2.9;0.0;29.0
09.01.2000;3.0;33.6;6.9;1.04;61.7;;;;126.3;3.3;2.5;19.9
10.01.2000;17.0;40.6;4.9;0.63;20.3;;;;189.8;3.6;1.0;25.4
11.01.2000;16.5;34.8;4.5;0.56;24.9;;;;119.2;3.2;0.0;20.2
12.01.2000;19.1;33.8;4.6;0.60;40.6;;;;138.3;2.0;0.0;15.0
13.01.2000;21.5;47.5;6.6;0.90;59.9;;;;293.0;1.2;0.0;56.8
14.01.2000;11.6;45.2;4.5;0.95;69.3;;;;161.2;-1.6;0.0;27.9
15.01.2000;26.1;42.2;3.7;0.64;60.4;;;;62.9;-0.7;0.0;76.0
16.01.2000;34.0;22.9;4.0;0.46;50.1;;;;25.6;-0.6;0.0;18.1
17.01.2000;24.8;51.8;9.3;0.86;55.7;;;;306.6;-0.3;0.0;50.1
18.01.2000;53.9;47.8;21.0;0.62;34.6;;;;196.9;3.9;0.2;50.9
19.01.2000;57.5;35.4;4.3;0.44;27.2;;;;104.6;1.6;0.0;46.5
20.01.2000;37.7;48.6;7.7;0.73;35.6;;;;261.2;-0.2;0.0;85.7
21.01.2000;19.1;50.2;11.7;0.69;52.5;;;;187.5;1.3;0.0;18.0
22.01.2000;41.7;33.6;10.0;0.57;36.7;;;;81.8;1.8;2.8;15.9
23.01.2000;44.3;25.4;8.6;0.48;19.2;;;;58.0;1.8;10.8;40.0
24.01.2000;63.7;21.3;6.0;0.39;25.1;;;;27.7;-4.2;1.2;84.6
25.01.2000;55.5;38.1;10.6;0.68;47.4;;;;96.6;-8.2;0.0;96.2
26.01.2000;17.4;69.7;15.1;1.14;82.4;;;;330.6;-8.8;0.0;64.0
27.01.2000;15.2;73.5;13.0;1.27;89.0;;;;359.9;-6.9;0.0;52.5
28.01.2000;9.3;74.9;16.0;1.13;91.5;;;;323.0;-2.6;0.0;54.4
29.01.2000;71.6;39.2;7.8;0.56;29.0;;;;88.3;2.9;8.5;23.7
30.01.2000;;;;;7.6;;;;;;;
31.01.2000;;;;;16.9;;;;;;;
01.02.2000;6.8;47.7;12.3;0.78;33.8;;;;305.0;3.6;0.0;57.3
02.02.2000;1.1;;10.4;1.16;45.4;;;;;3.5;6.9;17.5
03.02.2000;53.0;35.4;4.2;0.52;19.6;;;;141.3;5.0;0.0;76.3
04.02.2000;15.9;46.2;8.1;0.91;38.8;;;;287.6;1.9;0.2;99.2
05.02.2000;34.2;48.4;8.7;1.12;51.1;;;;209.4;4.4;0.0;103.6
06.02.2000;27.7;40.8;9.1;1.21;62.6;;;;161.5;3.4;0.0;79.7
07.02.2000;72.8;41.1;9.7;0.64;31.9;;;;177.6;5.9;0.6;37.4
08.02.2000;83.8;24.5;4.6;0.28;9.0;;;;72.1;9.2;28.8;35.9
09.02.2000;80.5;34.4;2.2;0.33;14.0;;;;110.0;5.7;1.1;74.1
10.02.2000;32.2;;8.6;0.61;32.8;;;;;4.4;0.8;123.5
11.02.2000;50.5;28.2;4.2;0.40;19.0;;;;68.0;4.5;10.3;23.0
12.02.2000;65.0;31.9;4.7;0.61;21.7;;;;119.9;3.2;0.0;34.5
13.02.2000;59.9;16.7;7.0;0.38;14.9;;;;32.4;4.6;8.6;27.5
14.02.2000;28.8;46.2;9.1;0.71;26.0;;;;271.0;6.7;0.0;77.6
15.02.2000;62.5;39.5;6.8;0.46;15.8;;;;141.7;7.3;10.6;32.9
16.02.2000;77.6;32.1;3.4;0.31;7.4;;;;103.3;4.9;11.1;57.2
17.02.2000;74.0;38.8;4.4;0.37;10.3;;;;147.6;1.8;4.4;81.4
18.02.2000;51.5;35.5;3.6;0.40;11.5;;;;131.9;2.7;9.0;47.7
19.02.2000;78.3;24.5;2.9;0.39;8.6;;;;65.9;5.9;6.7;53.1
20.02.2000;64.1;18.2;1.5;0.39;9.9;;;;42.1;2.0;4.2;48.7
21.02.2000;55.4;43.7;4.3;0.66;25.8;;;;180.8;-0.1;0.0;114.4
22.02.2000;68.6;48.2;6.5;0.87;36.7;;;;228.3;0.8;0.1;147.0
23.02.2000;56.0;54.2;6.9;0.84;43.5;;;;293.8;1.1;0.0;132.8
