Datum/Zeit,O3 [ug/m3],NO2 [ug/m3],CO [mg/m3],PM10 [ug/m3],PM2.5 [ug/m3],EC [ug/m3],CPC [1/cm3],NOX [ug/m3 eq. NO2],TEMP [C],PREC [mm],RAD [W/m2]
01.01.2000,22.4,50.2,1.58,,,,,177.9,,,
02.01.2000,25.0,38.2,1.05,,,,,123.3,,,
03.01.2000,41.4,44.1,1.27,,,,,178.0,,,
04.01.2000,18.1,47.7,1.49,,,,,203.1,,,
05.01.2000,15.0,54.0,1.84,,,,,272.6,,,
06.01.2000,11.0,43.9,1.55,,,,,211.7,,,
07.01.2000,11.9,51.2,1.71,,,,,227.2,,,
08.01.2000,14.7,50.7,1.74,,,,,200.0,,,
09.01.2000,17.3,48.9,1.67,,,,,179.5,,,
10.01.2000,6.3,41.7,1.31,,,,,183.6,,,
11.01.2000,3.5,39.9,1.12,,,,,159.5,,,
12.01.2000,13.5,44.2,1.65,,,,,221.1,,,
13.01.2000,11.7,55.1,1.97,,,,,249.6,,,
14.01.2000,20.0,57.1,1.59,,,,,219.1,,,
15.01.2000,10.7,53.4,1.39,,,,,171.4,,,
16.01.2000,31.4,42.9,1.13,,,,,120.2,,,
17.01.2000,13.5,58.8,2.2,,,,,291.1,,,
18.01.2000,19.1,53.7,1.59,,,,,224.0,,,
19.01.2000,26.3,58.5,1.35,,,,,204.7,,,
20.01.2000,24.3,60.6,1.85,,,,,256.9,,,
21.01.2000,16.8,62.7,1.91,,,,,256.5,,,
22.01.2000,34.5,41.6,1.04,,,,,123.0,,,
23.01.2000,45.9,31.8,0.66,,,,,62.1,,,
24.01.2000,40.3,41.4,0.71,,,,,92.9,,,
25.01.2000,37.2,54.6,1.03,,,,,124.6,,,
26.01.2000,14.0,72.9,1.75,,,,,235.1,,,
27.01.2000,25.9,70.2,1.75,,,,,228.5,,,
28.01.2000,11.0,76.4,2.21,,,,,280.2,,,
29.01.2000,51.3,54.3,1.34,,,,,158.0,,,
30.01.2000,64.1,23.1,0.47,,,,,45.1,,,
31.01.2000,61.7,47.3,1.87,,,,,255.0,,,
01.02.2000,14.7,48.2,2.2,,,,,295.2,,,
02.02.2000,4.5,52.0,2.25,,,,,321.7,,,
03.02.2000,24.5,57.8,2.05,,,,,289.3,,,
04.02.2000,36.6,54.0,2.02,,,,,293.5,,,
05.02.2000,36.6,54.4,1.7,,,,,208.4,,,
06.02.2000,13.5,51.6,2.25,,,,,266.3,,,
07.02.2000,38.9,48.4,1.03,,,,,147.4,,,
08.02.2000,57.6,43.0,0.8,,,,,118.6,,,
09.02.2000,68.6,40.1,0.73,,,,,98.2,,,
10.02.2000,47.1,51.5,1.37,,,,,195.7,,,
11.02.2000,17.3,52.3,1.22,,,,,177.4,,,
12.02.2000,44.9,35.3,0.78,,,,,85.4,,,
13.02.2000,31.2,42.5,1.18,,,,,130.7,,,
14.02.2000,48.2,44.9,1.26,,,,,171.8,,,
15.02.2000,34.0,53.4,1.2,,,,,173.5,,,
16.02.2000,68.5,37.7,0.61,,,,,81.1,,,
17.02.2000,54.9,45.3,0.78,,,,,101.1,,,
18.02.2000,44.2,56.1,1.5,,,,,210.0,,,
19.02.2000,63.9,28.7,0.58,,,,,60.4,,,
20.02.2000,50.4,30.8,0.85,,,,,83.7,,,
21.02.2000,32.5,59.8,1.42,,,,,195.6,,,
22.02.2000,39.3,63.5,1.59,,,,,222.8,,,
23.02.2000,46.1,64.8,1.61,,,,,223.5,,,
24.02.2000,28.8,68.9,1.65,,,,,231.9,,,
25.02.2000,30.8,53.8,1.54,,,,,211.1,,,
26.02.2000,44.0,44.6,1.68,,,,,203.6,,,
27.02.2000,56.5,42.1,1.34,,,,,148.2,,,
