Datum/Zeit,O3 [ug/m3],NO2 [ug/m3],CO [mg/m3],PM10 [ug/m3],PM2.5 [ug/m3],NOX [ug/m3 eq. NO2],TEMP [C],PREC [mm],RAD [W/m2]
01.01.2000,31.1,51.3,0.95,,,112.8,2.4,,48.1
02.01.2000,34.8,44.4,0.97,,,106.1,3.1,,69.0
03.01.2000,37.6,50.8,1.24,,,140.4,3.0,,54.4
04.01.2000,34.6,60.5,1.41,,,168.1,3.5,,73.6
05.01.2000,,,1.7,,,,5.8,,40.6
06.01.2000,,,,,,,,,
07.01.2000,11.9,58.1,1.45,,,167.5,3.4,,73.1
08.01.2000,14.3,60.6,1.31,,,152.0,3.4,,41.0
09.01.2000,19.6,61.2,1.22,,,131.5,4.5,,35.5
10.01.2000,13.9,42.0,0.94,,,102.7,4.5,,10.0
11.01.2000,13.8,36.6,0.78,,,82.7,3.6,,13.9
12.01.2000,17.8,47.7,1.25,,,143.4,2.8,,79.3
13.01.2000,22.5,56.3,1.52,,,162.8,1.7,,79.1
14.01.2000,26.6,62.8,1.69,,,186.2,1.1,,79.5
15.01.2000,15.3,53.7,1.35,,,137.0,-0.3,,61.9
16.01.2000,35.8,33.9,0.61,,,49.1,-1.1,,18.1
17.01.2000,30.0,49.6,1.58,,,176.8,-0.1,,76.3
18.01.2000,32.2,51.9,1.31,,,163.7,3.4,,42.1
19.01.2000,57.0,28.4,0.37,,,43.4,2.3,,85.3
20.01.2000,46.4,46.5,1.02,,,117.9,0.3,,83.6
21.01.2000,45.6,38.1,0.69,,,81.7,1.7,,43.0
22.01.2000,28.2,45.4,1.06,,,108.4,1.4,,9.8
23.01.2000,36.9,45.5,0.92,,,92.7,1.3,,25.0
24.01.2000,51.0,32.6,0.53,,,53.9,-1.8,,62.0
25.01.2000,38.1,40.4,0.72,,,63.5,-5.2,,32.7
26.01.2000,28.2,59.3,1.16,,,130.6,-4.0,,48.4
27.01.2000,19.6,65.4,1.38,,,160.4,-2.6,,44.0
28.01.2000,19.9,78.0,1.7,,,205.4,-0.3,,40.3
29.01.2000,41.1,62.6,1.33,,,135.7,3.1,,13.2
30.01.2000,46.7,38.5,0.7,,,70.4,7.1,,10.1
31.01.2000,27.2,48.4,1.73,,,205.5,6.8,,85.8
01.02.2000,9.4,51.1,2.15,,,251.6,6.0,,94.9
02.02.2000,7.6,54.0,1.44,,,165.1,7.2,,8.8
