Datum/Zeit,O3 [ug/m3],NO2 [ug/m3],PM10 [ug/m3],PM2.5 [ug/m3],NOX [ug/m3 eq. NO2],TEMP [C],PREC [mm],RAD [W/m2]
01.01.2000,26.7,55.0,,,140.6,-3.1,0.0,35.8
02.01.2000,,54.7,,,150.8,-3.4,0.0,44.1
03.01.2000,27.7,66.6,,,228.2,-3.0,0.0,54.9
04.01.2000,24.5,71.0,,,266.8,-3.3,0.0,55.1
05.01.2000,22.5,67.9,,,222.5,-0.4,0.0,46.2
06.01.2000,16.7,70.4,,,249.9,-2.1,0.0,47.9
07.01.2000,23.8,68.1,,,244.5,-2.6,0.0,56.4
08.01.2000,17.5,66.9,,,228.8,-3.5,0.0,48.5
09.01.2000,22.5,66.0,,,197.3,-0.2,0.0,45.5
10.01.2000,23.0,61.2,,,186.7,1.4,0.0,54.4
11.01.2000,33.8,61.3,,,146.8,0.4,0.0,61.7
12.01.2000,32.1,67.8,,,217.9,-3.2,0.0,62.5
13.01.2000,38.4,73.7,,,252.2,-4.6,0.0,64.4
14.01.2000,35.0,73.3,,,223.3,-4.3,0.0,65.4
15.01.2000,27.0,63.7,,,215.6,-3.8,0.0,64.5
16.01.2000,19.8,55.2,,,88.3,-2.2,0.0,20.0
17.01.2000,38.5,57.0,,,146.2,-2.9,0.0,63.4
18.01.2000,16.0,62.7,,,175.2,-1.2,0.0,41.6
19.01.2000,39.8,59.3,,,198.8,-1.2,0.0,70.9
20.01.2000,38.1,60.7,,,206.0,-2.7,0.0,72.2
21.01.2000,33.3,62.1,,,172.8,-2.5,0.0,67.2
22.01.2000,17.4,56.4,,,159.6,-3.6,0.8,28.8
23.01.2000,61.2,25.2,,,36.1,0.7,0.1,56.0
24.01.2000,45.6,41.4,,,96.0,-1.2,0.0,76.1
25.01.2000,46.5,53.7,,,124.6,-4.4,0.0,83.3
26.01.2000,50.3,67.8,,,172.5,-6.6,0.0,86.6
27.01.2000,50.5,72.5,,,189.8,-5.8,0.0,87.2
28.01.2000,38.6,77.9,,,240.3,-4.8,0.0,69.0
29.01.2000,12.1,76.2,,,164.0,-1.6,5.3,32.6
30.01.2000,8.7,57.4,,,140.7,3.2,13.8,14.7
31.01.2000,26.0,42.1,,,201.1,4.0,0.0,81.1
01.02.2000,24.5,44.8,,,209.7,3.0,0.0,93.9
02.02.2000,2.0,51.1,,,248.3,2.8,2.6,27.3
03.02.2000,53.0,45.3,,,169.0,3.8,0.0,99.5
04.02.2000,47.5,50.2,,,158.8,1.8,0.0,102.8
05.02.2000,39.7,55.2,,,181.8,2.7,0.0,99.3
06.02.2000,46.1,45.5,,,144.7,3.8,0.0,92.1
07.02.2000,50.2,44.2,,,152.3,4.8,0.0,68.3
08.02.2000,21.6,52.4,,,162.8,5.3,17.3,25.3
09.02.2000,76.6,26.7,,,43.9,5.8,1.1,47.9
10.02.2000,55.7,49.2,,,152.7,3.1,0.0,115.5
11.02.2000,26.7,48.3,,,127.1,3.7,1.1,34.2
12.02.2000,33.3,37.6,,,89.9,3.3,0.0,41.7
13.02.2000,39.8,36.7,,,87.7,2.6,0.0,50.7
14.02.2000,53.4,40.8,,,111.4,4.6,0.0,123.8
15.02.2000,48.4,44.6,,,101.0,4.1,1.1,85.7
16.02.2000,84.4,31.1,,,53.0,3.9,7.7,55.0
17.02.2000,71.1,39.8,,,73.2,-0.0,1.5,31.8
18.02.2000,49.7,57.0,,,114.4,,,
19.02.2000,80.7,36.2,,,57.5,4.8,,49.2
20.02.2000,61.4,21.3,,,35.3,2.0,0.8,99.2
21.02.2000,62.7,47.0,,,119.4,-0.2,0.0,143.7
22.02.2000,75.1,48.2,,,95.0,1.3,0.0,142.8
23.02.2000,79.8,53.2,,,124.7,1.0,0.0,144.8
24.02.2000,71.0,60.5,,,126.8,1.5,0.0,84.8
25.02.2000,60.0,56.0,,,138.0,4.1,0.3,79.8
26.02.2000,85.9,36.9,,,98.7,6.6,0.0,132.2
27.02.2000,93.6,45.6,,,97.3,6.6,0.0,154.6
28.02.2000,90.9,46.0,,,81.8,8.0,0.0,148.6
29.02.2000,100.2,44.4,,,84.7,7.9,4.7,75.6
01.03.2000,69.4,40.2,,,89.2,3.9,18.8,28.8
02.03.2000,74.0,28.8,,,52.6,3.8,0.4,170.5
03.03.2000,73.5,45.5,,,103.6,3.7,0.0,130.8
04.03.2000,71.0,31.7,,,54.5,5.6,4.4,136.0
05.03.2000,87.0,28.5,,,49.7,2.8,0.0,179.2
06.03.2000,88.5,47.5,,,99.2,3.5,0.0,175.6
07.03.2000,69.2,53.1,,,126.4,4.5,0.0,129.1
08.03.2000,108.7,48.0,,,98.8,7.1,0.2,154.2
09.03.2000,58.6,42.6,,,122.7,10.6,0.2,117.9
10.03.2000,79.7,41.2,,,80.2,10.9,0.0,132.0
11.03.2000,81.4,34.4,,,70.9,10.2,0.0,167.0
12.03.2000,94.2,33.1,,,57.6,9.3,0.0,186.8
13.03.2000,101.6,40.8,,,82.4,8.9,0.0,185.0
14.03.2000,80.5,38.8,,,69.5,10.0,0.9,91.6
15.03.2000,68.1,23.7,,,34.1,7.7,2.0,96.2
16.03.2000,81.2,33.9,,,63.9,5.4,0.0,147.8
17.03.2000,65.5,31.4,,,83.2,7.2,0.0,139.5
18.03.2000,64.8,23.2,,,46.8,7.7,0.0,172.0
19.03.2000,74.2,21.2,,,33.4,8.7,0.0,180.8
20.03.2000,93.1,30.9,,,63.7,7.2,0.0,203.5
21.03.2000,108.2,42.4,,,89.2,6.7,0.0,200.2
22.03.2000,116.1,48.1,,,79.2,8.7,0.0,208.5
23.03.2000,58.0,62.0,,,95.2,8.9,0.0,96.1
24.03.2000,65.2,46.4,,,78.9,9.8,0.0,142.0
25.03.2000,109.4,31.3,,,53.5,10.5,0.0,203.3
26.03.2000,83.9,20.6,,,28.7,7.4,3.9,97.2
27.03.2000,86.4,25.1,,,41.1,5.7,0.7,170.0
28.03.2000,95.8,,,,,5.7,0.0,204.8
29.03.2000,74.8,28.7,,,51.7,5.7,2.5,85.2
30.03.2000,99.3,33.5,,,77.5,6.1,0.0,216.6
31.03.2000,109.9,38.1,,,91.5,6.2,0.0,169.2
01.04.2000,103.9,22.7,,,29.2,7.7,0.1,205.5
02.04.2000,119.3,22.4,,,28.9,8.5,0.0,209.0
03.04.2000,106.1,40.9,,,91.0,10.9,0.0,119.5
04.04.2000,89.5,38.6,,,82.9,10.5,0.0,159.8
05.04.2000,70.1,28.4,,,49.9,8.6,0.9,118.2
06.04.2000,60.0,24.4,,,45.5,8.2,0.0,186.8
07.04.2000,89.9,29.3,,,41.6,8.7,0.0,241.7
08.04.2000,124.1,36.7,,,57.1,9.4,0.0,255.6
09.04.2000,124.3,26.8,,,33.2,10.3,0.0,147.2
10.04.2000,104.4,42.8,,,79.8,11.2,0.0,176.2
11.04.2000,101.1,30.8,,,49.6,11.2,0.7,199.9
12.04.2000,95.5,27.9,,,45.8,8.8,4.8,162.5
13.04.2000,64.7,42.5,,,71.2,8.1,5.2,65.1
14.04.2000,98.8,31.4,,,56.8,12.0,0.0,239.3
15.04.2000,109.5,27.4,,,39.7,10.1,1.1,156.0
16.04.2000,111.4,17.5,,,22.1,10.5,0.0,188.1
17.04.2000,84.8,35.4,,,56.1,8.5,0.6,42.7
18.04.2000,76.4,34.2,,,63.9,7.8,0.0,130.2
19.04.2000,98.0,28.2,,,69.5,9.4,0.0,281.4
20.04.2000,115.6,37.5,,,67.6,12.1,0.0,275.4
21.04.2000,128.1,35.0,,,51.8,15.3,0.0,256.1
22.04.2000,135.6,26.1,,,32.9,17.4,0.0,264.0
23.04.2000,96.9,22.3,,,27.9,13.7,13.1,121.1
24.04.2000,83.8,16.6,,,28.4,9.2,5.9,202.1
25.04.2000,115.2,27.2,,,56.8,12.1,0.0,290.9
26.04.2000,124.6,33.9,,,55.5,16.1,0.0,250.0
27.04.2000,98.5,31.7,,,69.5,16.6,0.0,169.8
28.04.2000,107.9,18.7,,,24.5,15.8,0.4,171.4
29.04.2000,100.7,17.6,,,24.5,11.4,2.7,157.2
30.04.2000,102.4,21.8,,,35.2,14.7,0.0,242.7
