Datum/Zeit;O3 [ug/m3];NO2 [ug/m3];SO2 [ug/m3];CO [mg/m3];PM10 [ug/m3];PM2.5 [ug/m3];EC [ug/m3];NOX [ug/m3 eq. NO2];TEMP [C];PREC [mm];RAD [W/m2]
01.01.2000;45.6;22.1;2.9;0.47;;;;24.6;0.8;0.0;41.5
02.01.2000;53.1;19.0;2.0;0.46;;;;22.8;1.2;0.0;43.9
03.01.2000;50.1;22.7;2.0;0.36;;;;25.4;1.2;0.0;55.2
04.01.2000;32.4;33.3;1.9;0.52;;;;42.0;-0.7;0.2;32.1
05.01.2000;56.7;38.0;2.7;0.52;;;;57.2;3.9;0.1;32.0
06.01.2000;42.2;31.8;1.6;0.45;;;;37.8;2.7;0.0;21.6
07.01.2000;38.2;29.7;1.4;0.47;;;;36.0;1.8;0.0;38.5
08.01.2000;43.6;38.3;1.8;0.64;;;;47.3;1.4;0.0;34.8
09.01.2000;22.9;35.8;2.6;0.71;;;;46.6;2.6;0.0;33.5
10.01.2000;25.7;32.0;2.6;0.57;;;;42.6;3.0;0.4;14.9
11.01.2000;10.8;37.9;2.2;0.49;;;;50.0;2.2;0.0;11.6
12.01.2000;44.1;29.4;1.5;0.49;;;;40.8;0.8;0.0;56.3
13.01.2000;;34.1;1.8;0.53;;;;43.3;-0.4;0.0;69.4
14.01.2000;45.7;40.7;2.8;0.72;;;;81.4;-2.3;0.0;71.1
15.01.2000;27.6;47.1;1.9;0.65;;;;58.0;-2.5;0.0;27.5
16.01.2000;50.8;23.0;2.6;0.42;;;;24.4;-1.9;0.0;22.4
17.01.2000;43.9;33.4;3.5;0.52;;;;55.3;-1.6;0.0;72.5
18.01.2000;46.9;31.7;2.8;0.43;;;;50.8;1.8;0.3;32.5
19.01.2000;72.0;21.2;2.7;0.32;;;;24.4;1.0;0.0;72.8
20.01.2000;57.7;34.9;3.1;0.48;;;;57.2;-1.7;0.0;77.7
21.01.2000;58.2;31.9;2.6;0.45;;;;40.4;-0.1;0.0;29.6
22.01.2000;53.6;18.6;2.5;0.34;;;;20.3;0.0;0.7;19.1
23.01.2000;61.5;13.6;2.1;0.28;;;;14.8;0.1;0.3;27.3
24.01.2000;73.2;17.2;3.8;0.34;;;;20.1;-3.2;0.1;84.1
25.01.2000;52.7;30.9;5.3;0.50;;;;36.3;-7.7;0.0;51.8
26.01.2000;54.2;42.9;3.2;0.73;;;;60.6;-9.4;0.0;67.0
27.01.2000;55.2;41.7;2.2;0.66;;;;50.6;-5.6;0.0;71.5
28.01.2000;40.2;53.5;2.8;0.79;;;;81.4;-4.5;0.0;44.6
29.01.2000;79.7;23.6;2.9;0.32;;;;24.5;3.5;0.7;16.2
30.01.2000;73.2;11.1;1.8;0.21;;;;11.8;7.2;2.3;17.6
31.01.2000;63.1;25.7;2.0;0.34;;;;33.4;6.2;0.0;73.0
01.02.2000;22.9;30.7;1.8;0.56;;;;66.9;0.8;0.0;45.2
02.02.2000;28.2;33.5;4.9;0.75;;;;98.8;3.5;3.8;12.5
03.02.2000;75.1;23.7;2.1;0.36;;;;31.8;3.7;0.0;100.8
04.02.2000;64.0;31.1;2.2;0.47;;;;53.3;1.0;0.0;101.5
05.02.2000;69.2;29.5;2.5;0.67;;;;36.9;2.5;0.0;96.5
06.02.2000;50.1;33.3;4.1;0.64;;;;41.7;3.5;0.0;82.8
07.02.2000;71.8;20.6;3.2;0.32;;;;22.3;6.8;0.0;28.7
08.02.2000;72.7;15.7;1.7;0.24;;;;17.0;7.7;14.5;34.4
09.02.2000;87.9;10.4;1.4;0.23;;;;11.5;4.7;1.3;41.0
10.02.2000;63.1;26.1;2.1;0.36;;;;41.2;3.3;0.0;113.0
11.02.2000;59.1;21.1;1.9;0.30;;;;24.6;4.1;7.0;22.1
12.02.2000;70.2;14.4;2.1;0.30;;;;15.7;2.8;0.0;40.0
13.02.2000;65.3;13.7;1.7;0.29;;;;14.7;4.2;1.7;31.1
