Datum/Zeit;O3 [ug/m3];NO2 [ug/m3];PM10 [ug/m3];PM2.5 [ug/m3];NOX [ug/m3 eq. NO2];TEMP [C];PREC [mm];RAD [W/m2]
01.01.2000;68.4;16.5;;;18.3;1.3;0.9;28.3
02.01.2000;67.8;17.1;;;21.4;1.5;0.1;25.4
03.01.2000;53.7;19.2;;;23.5;-0.6;0.0;37.0
04.01.2000;71.8;14.2;;;16.0;2.5;1.2;68.7
05.01.2000;72.7;17.1;;;21.0;4.7;4.2;27.2
06.01.2000;30.8;30.3;;;42.1;1.3;0.0;33.8
07.01.2000;26.6;35.9;;;57.0;0.5;0.0;49.8
08.01.2000;66.7;27.3;;;42.1;2.0;0.0;65.5
09.01.2000;71.4;20.0;;;24.7;2.2;1.1;19.0
10.01.2000;20.1;27.8;;;37.2;2.8;1.8;15.2
11.01.2000;25.6;25.1;;;32.0;1.4;0.0;12.8
12.01.2000;32.5;24.1;;;28.9;-0.2;0.0;13.8
13.01.2000;44.2;24.0;;;33.4;-1.6;0.0;55.4
14.01.2000;18.2;41.9;;;68.0;-4.2;0.0;29.4
15.01.2000;21.6;45.4;;;65.1;-3.2;0.0;31.8
16.01.2000;34.5;24.0;;;27.7;-2.5;0.0;13.6
17.01.2000;;26.6;;;34.1;-0.5;0.0;27.8
18.01.2000;41.5;23.3;;;26.2;3.0;0.0;19.1
19.01.2000;62.2;17.9;;;21.1;-0.2;0.0;49.5
20.01.2000;60.8;30.4;;;37.9;-2.3;0.0;64.5
21.01.2000;51.1;20.3;;;21.9;0.3;0.2;14.8
22.01.2000;57.5;14.9;;;16.4;1.1;3.1;17.9
23.01.2000;60.1;14.3;;;16.0;0.3;3.2;33.5
24.01.2000;62.3;24.9;;;33.5;-7.6;1.2;57.2
25.01.2000;52.3;38.1;;;51.6;-10.5;0.0;70.1
26.01.2000;;;;;;-12.1;0.0;92.7
27.01.2000;;;;;;-12.8;0.0;95.1
28.01.2000;81.4;48.4;;;79.8;-4.6;0.0;84.7
29.01.2000;88.5;13.3;;;14.3;4.3;7.4;28.3
30.01.2000;73.5;7.4;;;8.1;7.4;4.7;28.4
31.01.2000;79.0;12.4;;;14.0;6.5;0.0;68.8
01.02.2000;50.0;27.6;;;58.5;4.1;0.0;100.6
02.02.2000;59.5;26.7;;;31.9;7.2;11.8;19.3
03.02.2000;46.0;23.5;;;27.3;3.8;0.1;57.3
04.02.2000;39.9;28.6;;;43.4;1.3;0.0;105.0
05.02.2000;60.2;30.0;;;37.8;4.7;0.0;71.0
06.02.2000;71.3;19.8;;;26.0;4.6;0.0;77.8
07.02.2000;85.3;14.0;;;15.6;6.3;0.5;21.1
08.02.2000;82.2;;;;;7.8;20.7;40.3
09.02.2000;85.5;;;;;3.9;7.6;46.7
10.02.2000;65.5;;;;;4.3;0.0;118.4
11.02.2000;80.6;18.7;;;22.1;3.2;15.8;16.9
12.02.2000;60.0;17.0;;;18.7;1.5;0.0;35.8
13.02.2000;69.1;9.1;;;10.0;3.5;12.3;41.7
14.02.2000;66.4;18.8;;;21.9;4.9;0.3;42.9
15.02.2000;80.6;14.5;;;16.0;6.0;7.1;44.1
16.02.2000;85.5;9.6;;;10.7;3.5;7.4;42.3
17.02.2000;78.5;13.2;;;15.1;-0.3;2.3;56.8
18.02.2000;76.2;13.4;;;15.5;1.5;9.5;50.4
19.02.2000;81.7;8.6;;;9.5;4.1;8.3;49.2
20.02.2000;59.9;10.4;;;11.4;0.6;2.4;35.4
21.02.2000;80.7;17.6;;;25.0;-3.1;0.0;145.0
22.02.2000;84.9;20.2;;;27.3;-1.4;0.0;146.1
23.02.2000;63.2;29.9;;;42.6;-0.5;0.0;99.0
24.02.2000;86.9;21.1;;;29.0;2.0;2.0;56.7
25.02.2000;79.9;12.6;;;13.9;7.2;10.1;56.8
26.02.2000;54.8;18.3;;;21.6;4.6;0.6;52.9
27.02.2000;84.1;15.0;;;20.9;4.6;0.0;141.9
28.02.2000;104.0;16.4;;;24.4;8.0;0.0;157.2
29.02.2000;88.5;15.4;;;17.2;7.0;23.2;29.2
01.03.2000;85.6;11.2;;;12.3;4.9;18.8;37.5
02.03.2000;77.4;13.5;;;15.2;1.8;1.1;107.2
03.03.2000;91.6;8.8;;;10.3;5.3;0.0;146.6
04.03.2000;90.2;7.5;;;8.5;3.6;17.2;113.8
05.03.2000;;;;;;-0.0;0.0;181.2
06.03.2000;80.7;25.0;;;34.3;1.3;0.0;179.0
07.03.2000;113.3;18.8;;;20.8;6.7;0.0;169.0
08.03.2000;86.5;12.6;;;13.9;7.8;2.3;94.4
09.03.2000;84.9;8.6;;;10.0;12.5;1.5;116.8
10.03.2000;79.8;15.2;;;16.7;9.2;0.3;47.4
11.03.2000;83.5;10.3;;;11.5;9.9;0.0;148.4
12.03.2000;94.9;10.5;;;12.3;6.7;0.0;157.9
13.03.2000;87.0;22.6;;;33.3;5.3;0.0;179.0
14.03.2000;77.5;17.8;;;19.9;8.2;10.0;85.2
15.03.2000;83.6;9.3;;;10.4;3.7;2.1;98.8
16.03.2000;68.9;14.2;;;15.4;2.4;2.1;14.5
17.03.2000;69.6;18.6;;;21.4;5.5;1.8;29.9
18.03.2000;52.9;13.7;;;15.0;5.4;10.5;37.0
