Datum/Zeit;O3 [ug/m3];NO2 [ug/m3];SO2 [ug/m3];CO [mg/m3];PM10 [ug/m3];PM2.5 [ug/m3];EC [ug/m3];NMVOC [ppm];NOX [ug/m3 eq. NO2];TEMP [C];PREC [mm];RAD [W/m2]
01.01.2000;38.0;44.4;10.6;0.56;;;;0.1;53.2;2.7;1.5;21.1
02.01.2000;34.7;37.8;9.6;0.53;;;;0.0;54.5;3.3;0.0;16.0
03.01.2000;42.5;35.8;6.4;0.47;;;;0.0;45.2;2.0;0.0;25.9
04.01.2000;30.5;53.3;10.5;0.68;;;;0.1;83.3;1.8;1.0;60.5
05.01.2000;33.4;55.5;9.1;0.70;;;;0.1;90.0;4.7;1.2;24.0
06.01.2000;19.9;43.6;6.9;0.54;;;;0.1;58.4;3.3;0.0;32.4
07.01.2000;14.2;55.9;11.7;0.83;;;;0.2;111.8;3.0;0.0;51.0
08.01.2000;39.5;58.6;10.9;0.72;;;;0.2;82.8;3.7;0.0;60.0
09.01.2000;24.9;55.1;13.6;0.62;;;;0.1;74.1;3.6;2.9;16.4
10.01.2000;21.1;48.4;11.8;0.73;;;;0.2;114.0;3.4;1.3;9.3
11.01.2000;13.5;38.9;7.5;0.62;;;;0.1;67.3;2.9;0.0;9.4
12.01.2000;13.8;42.5;9.6;0.67;;;;0.1;83.5;1.8;0.0;7.5
13.01.2000;41.7;43.3;8.5;0.62;;;;0.1;73.9;1.1;0.0;47.9
14.01.2000;13.2;54.1;12.1;0.98;;;;0.2;140.2;-1.0;0.0;64.7
15.01.2000;18.0;52.1;7.3;0.76;;;;0.2;89.4;-1.3;0.0;25.6
16.01.2000;36.2;29.9;6.8;0.51;;;;0.1;38.8;-0.9;0.0;13.7
17.01.2000;23.6;52.4;15.2;0.79;;;;0.2;104.6;0.7;0.0;23.9
18.01.2000;27.1;46.4;12.5;0.55;;;;0.1;69.3;4.5;0.2;11.3
19.01.2000;49.6;48.3;11.9;0.59;;;;0.2;82.0;2.0;0.3;25.3
20.01.2000;32.5;58.1;19.2;0.86;;;;0.2;141.2;0.2;0.0;66.1
21.01.2000;33.7;39.3;8.7;0.48;;;;0.1;48.3;2.0;0.0;9.6
22.01.2000;41.6;35.4;7.3;0.47;;;;0.1;42.7;2.4;4.2;10.8
23.01.2000;45.2;40.9;10.2;0.51;;;;0.1;53.9;1.6;3.2;19.8
24.01.2000;53.4;30.3;9.8;0.46;;;;0.1;39.3;-4.5;0.4;73.4
25.01.2000;46.2;48.8;14.0;0.66;;;;0.1;69.3;;0.7;82.3
26.01.2000;19.0;73.9;22.0;1.03;;;;0.2;156.6;-6.8;0.2;43.4
27.01.2000;20.6;77.3;16.5;0.97;;;;0.2;140.9;-4.9;0.0;63.7
28.01.2000;27.7;89.4;23.5;1.19;;;;0.3;190.9;-1.6;0.0;58.7
29.01.2000;77.9;28.9;7.9;0.38;;;;0.0;32.2;5.7;3.4;16.0
30.01.2000;72.0;18.5;5.2;0.26;;;;0.0;20.0;8.7;8.9;14.7
31.01.2000;69.4;40.4;9.8;0.64;;;;0.1;90.9;8.6;0.0;81.5
