Titel;Links
Dir wird eine Stunde Schlaf geklaut – diese 13 Menschen wissen, wie du dich …;https://www.watson.ch/spass/leben/581198620-zeitumstellung-zur-sommerzeit-diese-13-menschen-leiden-mit-dir
Welche Zahl hat Linus im Kopf? Wenn du Logik kannst, findest du es heraus;https://www.watson.ch/wissen/spass/472665022-welche-zahl-hat-linus-im-kopf-mit-logischem-denken-findest-du-es-heraus
Ihr habt uns gesagt, was bei euch in der Hausbar steht: Hier die Drinks-Rezepte dazu;https://www.watson.ch/spass/leben/957601682-zeig-deine-hausbar-und-wir-sagen-dir-welche-drinks-du-machen-kannst
Zeig uns deine Hausbar, und wir sagen dir, welche Cocktails du dir machen kannst;https://www.watson.ch/spass/leben/934480222-zeig-deine-hausbar-und-wir-sagen-dir-welche-drinks-du-machen-kannst
Wer nicht aus «Lozärn» ist, wird bei diesem Quiz kläglich scheitern;https://www.watson.ch/spass/quiz/251432004-wer-nicht-aus-luzern-ist-wird-bei-diesem-quiz-klaeglich-scheitern
Legendäre Plattencover im Zeitalter von Social Distancing;https://www.watson.ch/spass/bilderwelten/716243199-bilder-legendaere-plattencover-im-zeitalter-von-social-distancing
«Social Dis Dance» und 14 weitere Corona-Tänze, die du jetzt können musst!;https://www.watson.ch/videos/spass/735046056-lustiges-video-15-taenze-zum-coronavirus-die-du-jetzt-koennen-musst
Neue Woche, altes Virus: Die 19 lustigsten Corona-Memes;https://www.watson.ch/spass/coronavirus/251061712-coronavirus-das-sind-die-19-lustigsten-bilder-und-memes-der-woche
Du brauchst Ablenkung oder Aufmunterung? Hier entlang!;https://www.watson.ch/spass/cute%20news/145751208-lustige-bilder-von-tieren-die-dich-aufmuntern-und-von-corona-ablenken
Bullshit Bingo für Zuhause! Damit du das Gefühl hast, *irgendwas* gemacht zu …;https://www.watson.ch/spass/leben/186797877-in-zeiten-von-corona-bullshit-bingo-fuer-alle-die-zuhause-bleiben
9 Ideen, wie die Welt ungefähr aussehen wird, wenn wir (irgendwann mal wieder) raus dürfen;https://www.watson.ch/spass/klischeekanone/533524051-coronavirus-wie-das-leben-nach-der-quarantaene-aussehen-wird
Keep Calm and Carry On – wenn ein Weltkriegsplakat plötzlich wieder hochaktuell wird;https://www.watson.ch/wissen/spass/554338708-keep-calm-and-carry-on-wenn-ein-weltkriegsplakat-wieder-hochaktuell-ist
Frisch aus dem Home-Office: Ein *hausgemachter* PICDUMP! 🤤;https://www.watson.ch/spass/picdump/225641622-picdump-315-hier-kommen-die-lustigsten-memes-bilder-aus-dem-internet
18 Fotos, die dir in Zeiten des Coronavirus die Hoffnung an die Menschheit …;https://www.watson.ch/spass/gef%C3%BChle/725666232-coronavirus-so-clever-gehen-die-menschen-mit-den-einschraenkungen-um
Einbrechen in Zeiten des Corona – ein Direktbetroffener schildert sein Leiden;https://www.watson.ch/spass/leben/162334714-was-machen-einbrecher-in-zeiten-der-coronavirus-epidemie-ein-interview
Asterix-Papi Uderzo ist tot – mache ihn beim Gallier-Quiz stolz;https://www.watson.ch/spass/quiz/705324518-albert-uderzo-92-jaehrig-verstorben-das-asterix-quiz-zu-seinen-ehren
Die #stayhomechallenge dreht weiter – mit Kugelbahnen und Mentos gegen die Langeweile;https://www.watson.ch/videos/spass/429024395-coronavirus-und-die-stayhomechallenge-kreativ-gegen-die-langeweile
Einfach 17 der besten Coronavirus-Tweets, die dich heute durch den Tag bringen;https://www.watson.ch/spass/coronavirus/143864307-einfach-17-lustige-coronavirus-witze-die-auch-dich-zum-lachen-bringen
Einsam und gelangweilt? Hier kommen die 24 lustigsten Fails der Woche;https://www.watson.ch/spass/fail-dienstag/427537909-einsam-und-gelangweilt-hier-kommen-die-24-lustigsten-fails-der-woche
Leute hamstern WC-Papier. Doch wofür? Wir hätten da ein paar Theorien;https://www.watson.ch/spass/lifestyle/660448879-leute-hamstern-wc-papier-doch-wofuer-wir-haetten-da-ein-paar-theorien
So (un-) angenehm ist die Corona-Quarantäne für Promis;https://www.watson.ch/leben/spass/537748280-corona-quarantaene-so-un-angenehm-lebt-es-sich-bei-diesen-8-promis
Können wir mal über das neue Batmobile reden?;https://www.watson.ch/spass/leben/737212762-robert-pattinsons-batmobile-ist-da-alle-batmobiles-von-1939-bis-heute
Wie sich deine Uni-Ziele im Laufe deines Studiums verändern (werden);https://www.watson.ch/spass/klischeekanone/341139680-wie-sich-deine-uni-ziele-im-laufe-deines-studiums-veraendern-werden
QDH: Dieses Mal nicht vom Chef, dafür garantiert virenfrei;https://www.watson.ch/spass/wissen/826379077-qdh-dieses-mal-nicht-vom-chef-dafuer-garantiert-virenfrei
Kennst du die Zweitnamen jener Promis, die mit Initialen angeben?;https://www.watson.ch/spass/quiz/662080647-kennst-du-die-zweitnamen-jener-promis-die-mit-initialen-angeben
«Musse bleiben alle zuhause!» – Diese Trapattoni-Imitation musst du gesehen haben 😂;https://www.watson.ch/schweiz/spass/300941627-roger-wicki-als-trapattoni-haelt-coronavirus-wutrede
Kinder, Eltern und Home-Officeler: Lasst uns zusammen den grössten KroGuFanten zeichnen!;https://www.watson.ch/spass/gerechtigkeit%20siegt/839805194-krogufant-bei-watson-lasst-uns-zusammen-zeichnen
Brauchst du wirklich noch mehr WC-Papier? Dieser Rechner hilft dir;https://www.watson.ch/spass/coronavirus/513199208-coronavirus-so-viel-wc-papier-brauchst-du-in-der-quarantaene
«Scheiss auf deine Gruppe!» – Was wir all den Corona-Idioten sagen wollen;https://www.watson.ch/videos/spass/263566624-video-was-wir-all-den-corona-idioten-sagen-wollen
Jede Menge lustige Tierbilder, um dich etwas abzulenken;https://www.watson.ch/spass/cute%20news/652571675-jede-menge-lustige-tierbilder-um-dich-etwas-abzulenken
10 Streams, mit denen du dich auch im Home-Office-Alltag unterhalten kannst;https://www.watson.ch/spass/musik/584237253-zehn-streams-um-sich-in-den-zeiten-des-coronavirus-zuhause-zu-unterhalten
19 genial-lustige Coronavirus-Memes, die uns durchhalten lassen;https://www.watson.ch/spass/lifestyle/656496924-lustige-coronavirus-witze-19-geniale-bilder-die-uns-durchhalten-lassen
Ha! 18 Fotografen, die den perfekten Moment erwischt haben 😲;https://www.watson.ch/spass/lifestyle/404116097-ha-18-fotografen-die-den-perfekten-moment-erwischt-haben
Hallo, het na öppert WC-Papier? LG, PICDUMP;https://www.watson.ch/spass/picdump/816545377-picdump-314-hier-kommen-die-lustigsten-memes-bilder-aus-dem-internet
Diese 31 schlechten Marken-Fälschungen sind nur dazu da, um dich zum Lachen zu …;https://www.watson.ch/spass/lifestyle/420615184-die-31-lustigsten-schlechten-marken-faelschungen
Du langweilst dich zu Hause? Diese 18 Dinge könntest du jetzt lernen!;https://www.watson.ch/spass/leben/295112917-corona-pause-diese-18-dinge-koenntest-du-jetzt-zu-hause-lernen
Auf Sport-Entzug in der Quarantäne? Keine Angst, es gibt Alternativen;https://www.watson.ch/sport/spass/238027660-coronavirus-auf-sport-entzug-die-alternativen-in-der-quarantaene
15 Bilder von Idioten, die «Keine Panik!» irgendwie falsch verstanden haben 🤦;https://www.watson.ch/spass/coronavirus/984218039-notstand-wegen-coronavirus-so-solltest-du-dich-nicht-verhalten
Wer lehnt da so lasziv an der Palme? Das ist doch nicht etwa die neue Bachelorette?!;https://www.watson.ch/leben/spass/290263195-bachelorette-2020-das-ist-chanelle-wyrsch
Einsam und erschöpft? Hier kommen 21 Fails für garantiert bessere Laune;https://www.watson.ch/spass/fail-dienstag/961103161-einsam-und-erschoepft-hier-kommen-21-fails-fuer-garantiert-bessere-laune
10 hochgelobte Spiele, die ich nie, nie wieder spielen werde;https://www.watson.ch/spass/blogs/887746804-10-hochgelobte-spiele-die-ich-nie-nie-wieder-spielen-werde
QDH: Huber macht Homeoffice. Ob ihm das hilft?;https://www.watson.ch/wissen/spass/628320657-qdh-huber-macht-homeoffice-ob-ihm-das-hilft
15 inspirierende Beispiele, wie du deinen Job kündigen könntest;https://www.watson.ch/spass/bilderwelten/787654283-job-kuendigen-15-lustige-beispiele-wie-du-es-tun-koenntest
Kannst du logisch denken? Dann weisst du, wer welches Kleid trägt!;https://www.watson.ch/wissen/spass/976268826-kannst-du-logisch-denken-dann-weisst-du-wer-welches-kleid-traegt
Trump will mit Flussdiagramm Corona-Ängste lindern – doch das Internet hat …;https://www.watson.ch/international/spass/584729714-trump-will-mit-flussdiagramm-corona-aengste-lindern-doch-wird-zum-meme
Keine Panik! Hör lieber die neue Corona-CD!;https://www.watson.ch/videos/spass/513594881-diese-corona-cd-ist-alles-was-du-jetzt-brauchst
